arm,rep,ns
nlto-abi,1,3115625.00
lto-base,1,3946550.00
lto-abi,1,3718795.80
nlto-base,1,3103408.40
lto-base,2,3930658.30
lto-abi,2,3718270.80
nlto-base,2,3113254.20
nlto-abi,2,3103033.30
lto-abi,3,3708370.80
nlto-base,3,3113204.20
nlto-abi,3,3112370.80
lto-base,3,3928804.20
nlto-base,4,3112891.70
nlto-abi,4,3116875.00
lto-base,4,3932250.00
lto-abi,4,3729266.60
nlto-abi,5,3114375.00
lto-base,5,3936408.40
lto-abi,5,3709320.80
nlto-base,5,3128487.50
lto-base,6,3932987.50
lto-abi,6,3711404.20
nlto-base,6,3107508.40
nlto-abi,6,3113695.90
lto-abi,7,3729500.00
nlto-base,7,3109833.40
nlto-abi,7,3102487.50
lto-base,7,3928254.20
nlto-base,8,3101083.30
nlto-abi,8,3109720.80
lto-base,8,3926091.70
lto-abi,8,3719170.80
nlto-abi,9,3126362.50
lto-base,9,3923212.50
lto-abi,9,3715650.00
nlto-base,9,3105950.00
lto-base,10,3925295.80
lto-abi,10,3712470.80
nlto-base,10,3106370.80
nlto-abi,10,3101275.00
lto-abi,11,3709616.70
nlto-base,11,3106679.20
nlto-abi,11,3113270.80
lto-base,11,3918291.60
nlto-base,12,3114108.30
nlto-abi,12,3097475.00
lto-base,12,3937716.60
lto-abi,12,3725750.00
nlto-abi,13,3113150.00
lto-base,13,3920408.30
lto-abi,13,3703895.80
nlto-base,13,3110625.00
lto-base,14,3916883.30
lto-abi,14,3698637.50
nlto-base,14,3100912.50
nlto-abi,14,3093779.10
lto-abi,15,3712483.40
nlto-base,15,3068237.50
nlto-abi,15,3100308.30
lto-base,15,3895229.10
nlto-base,16,3099550.00
nlto-abi,16,3089720.80
lto-base,16,3916258.30
lto-abi,16,3710525.00
nlto-abi,17,3119508.40
lto-base,17,3918962.50
lto-abi,17,3693725.00
nlto-base,17,3093462.50
lto-base,18,3915287.50
lto-abi,18,3691845.90
nlto-base,18,3104091.70
nlto-abi,18,3109029.20
lto-abi,19,3709204.10
nlto-base,19,3074837.50
nlto-abi,19,3100279.20
lto-base,19,3931004.10
nlto-base,20,3110404.10
nlto-abi,20,3091212.50
lto-base,20,3913483.30
lto-abi,20,3704187.50
nlto-abi,21,3096908.30
lto-base,21,3908216.70
lto-abi,21,3703937.50
nlto-base,21,3093062.50
lto-base,22,3911454.20
lto-abi,22,3702537.50
nlto-base,22,3097729.10
nlto-abi,22,3097170.80
lto-abi,23,3704041.60
nlto-base,23,3117495.80
nlto-abi,23,3093616.60
lto-base,23,3919875.00
nlto-base,24,3095762.50
nlto-abi,24,3096550.00
lto-base,24,3913200.00
lto-abi,24,3699520.90
nlto-abi,25,3110162.50
lto-base,25,3903025.00
lto-abi,25,3693629.10
nlto-base,25,3102104.20
