arm,rep,server_s,client_s,ok
plain,0,0.2765059999999999,2.154017,600
base,0,0.27551000000000014,2.150941,600
abi,0,0.27179099999999945,2.145785,600
base,1,0.2754519999999996,2.150857000000001,600
abi,1,0.27420800000000023,2.1532889999999996,600
plain,1,0.2715569999999996,2.1436640000000007,600
abi,2,0.27422799999999903,2.144286000000001,600
plain,2,0.2732330000000003,2.151638,600
base,2,0.2739579999999977,2.146110000000001,600
plain,3,0.2725559999999989,2.1488840000000025,600
base,3,0.2737879999999997,2.152005,600
abi,3,0.27280000000000015,2.1517540000000004,600
base,4,0.27412999999999865,2.1574720000000003,600
abi,4,0.27300099999999894,2.163138000000001,600
plain,4,0.27174799999999877,2.165628,600
abi,5,0.27325399999999966,2.1691220000000015,600
plain,5,0.2726779999999973,2.1748100000000026,600
base,5,0.2746139999999979,2.1815260000000016,600
plain,6,0.2739760000000029,2.183323999999997,600
base,6,0.2766270000000066,2.188138999999998,600
abi,6,0.27607700000000435,2.1880759999999952,600
base,7,0.2781099999999981,2.1946949999999994,600
abi,7,0.2770049999999973,2.192253000000001,600
plain,7,0.2759889999999974,2.1930200000000024,600
abi,8,0.27595399999999337,2.195040000000004,600
plain,8,0.27673099999999984,2.1974640000000036,600
base,8,0.2785569999999993,2.201601000000002,600
plain,9,0.2777719999999988,2.2000959999999985,600
base,9,0.2781030000000051,2.202382,600
abi,9,0.2776090000000053,2.2115439999999964,600
base,10,0.27961600000000075,2.209665999999995,600
abi,10,0.27872300000000294,2.2098409999999973,600
plain,10,0.2783540000000002,2.2072660000000006,600
abi,11,0.27884899999999746,2.2106710000000014,600
plain,11,0.27858700000000525,2.2112469999999966,600
base,11,0.28038700000000105,2.2118419999999936,600
plain,12,0.2795129999999979,2.2131690000000113,600
base,12,0.28019799999998796,2.208870000000001,600
abi,12,0.2802950000000024,2.209147999999999,600
base,13,0.280930000000005,2.209809,600
abi,13,0.27911700000000295,2.2125279999999954,600
plain,13,0.27995200000000864,2.211571999999993,600
abi,14,0.28033100000000033,2.210721000000003,600
plain,14,0.27961600000000075,2.2114759999999976,600
base,14,0.281763999999999,2.2121569999999977,600
