arm,rep,ns
nlto-abi,1,59326.97
lto-base,1,69360.47
lto-abi,1,68346.69
nlto-base,1,63299.24
lto-base,2,69506.97
lto-abi,2,70214.20
nlto-base,2,59050.80
nlto-abi,2,61817.26
lto-abi,3,69488.62
nlto-base,3,62839.11
nlto-abi,3,62858.56
lto-base,3,78178.51
nlto-base,4,56593.70
nlto-abi,4,63670.48
lto-base,4,70684.83
lto-abi,4,68473.60
nlto-abi,5,62178.54
lto-base,5,71786.38
lto-abi,5,65231.90
nlto-base,5,64632.86
lto-base,6,71748.40
lto-abi,6,69666.08
nlto-base,6,64035.35
nlto-abi,6,63946.24
lto-abi,7,68806.33
nlto-base,7,63030.82
nlto-abi,7,66506.05
lto-base,7,71706.34
nlto-base,8,62271.57
nlto-abi,8,68958.47
lto-base,8,70303.71
lto-abi,8,72916.51
nlto-abi,9,60907.77
lto-base,9,69952.95
lto-abi,9,65845.30
nlto-base,9,62407.93
lto-base,10,75974.71
lto-abi,10,62377.83
nlto-base,10,60856.85
nlto-abi,10,57036.44
lto-abi,11,60035.19
nlto-base,11,58075.83
nlto-abi,11,58187.04
lto-base,11,75462.63
nlto-base,12,67862.98
nlto-abi,12,63223.21
lto-base,12,77197.13
lto-abi,12,65890.40
nlto-abi,13,56335.44
lto-base,13,79031.52
lto-abi,13,63673.35
nlto-base,13,57998.14
lto-base,14,72944.64
lto-abi,14,69095.26
nlto-base,14,60162.59
nlto-abi,14,60660.04
lto-abi,15,66705.97
nlto-base,15,65323.61
nlto-abi,15,61341.06
lto-base,15,73247.59
nlto-base,16,60225.67
nlto-abi,16,58929.97
lto-base,16,74263.24
lto-abi,16,67366.64
nlto-abi,17,59375.12
lto-base,17,75644.87
lto-abi,17,65810.92
nlto-base,17,60380.12
lto-base,18,70805.74
lto-abi,18,68349.51
nlto-base,18,60906.52
nlto-abi,18,62521.09
lto-abi,19,68929.59
nlto-base,19,62755.69
nlto-abi,19,61790.68
lto-base,19,70103.34
nlto-base,20,59025.29
nlto-abi,20,61901.38
lto-base,20,67269.18
lto-abi,20,68529.09
nlto-abi,21,59612.66
lto-base,21,71502.87
lto-abi,21,65702.61
nlto-base,21,58879.84
lto-base,22,69747.92
lto-abi,22,62413.05
nlto-base,22,62974.70
nlto-abi,22,65106.50
lto-abi,23,63101.96
nlto-base,23,57168.63
nlto-abi,23,62830.19
lto-base,23,70113.91
nlto-base,24,63193.89
nlto-abi,24,60859.10
lto-base,24,79129.97
lto-abi,24,67401.72
nlto-abi,25,57629.39
lto-base,25,70681.58
lto-abi,25,65136.84
nlto-base,25,55640.11
lto-base,26,73317.73
lto-abi,26,69459.87
nlto-base,26,54917.86
nlto-abi,26,57689.21
lto-abi,27,65235.59
nlto-base,27,61048.75
nlto-abi,27,62064.73
lto-base,27,75135.33
nlto-base,28,63006.33
nlto-abi,28,56725.77
lto-base,28,75537.00
lto-abi,28,67293.79
nlto-abi,29,59670.85
lto-base,29,75672.77
lto-abi,29,66357.66
nlto-base,29,63169.32
lto-base,30,73789.03
lto-abi,30,69397.09
nlto-base,30,63810.19
nlto-abi,30,59305.99
