bench,arm,cfg,cycles,insts,ops,fetchInsts,icacheLines,icacheStall,l1i_acc,l1i_miss,l1d_acc,l1d_miss,l2_miss,bpLookups,bpBTBHits,condPred,condIncorr,bpSquash,bpSquashCond,sqInsts,iqFull,robFull,renBlocked,decBlocked,ftqFull,fetchRun,nisn0,ditWrites,ditCycles
aesni256gcm_decrypt,base,serdit,1076.74,1473.0,1727.0,1406.76,156.64,157.62,156.64,0.0,431.62,0.0,0.14,146.28,146.28,89.5,0.0,28.48,22.7,22.32,587.24,0.0,593.1,628.04,1040.24,917.94,710.96,0.0,0.0
aesni256gcm_decrypt,base,spec,1076.74,1473.0,1727.0,1406.76,156.64,157.62,156.64,0.0,431.62,0.0,0.14,146.28,146.28,89.5,0.0,28.48,22.7,22.32,587.24,0.0,593.1,628.04,1040.24,917.94,710.96,0.0,0.0
aesni256gcm_decrypt,notwin,serdit,1689.56,1492.0,1750.0,1501.82,107.02,108.02,107.02,0.0,467.16,0.0,0.0,121.12,121.12,71.12,0.0,0.9,0.42,0.0,486.0,0.0,492.56,1294.4,1680.46,1581.52,1330.62,15.0,1505.56
aesni256gcm_decrypt,notwin,spec,1180.64,1492.0,1750.0,1370.28,104.92,104.0,104.92,0.0,437.32,0.0,0.0,123.58,123.58,69.24,0.0,3.62,1.58,0.0,751.7,0.0,760.76,789.76,1170.32,1076.56,841.62,15.0,1146.64
aesni256gcm_decrypt,notwinnop,serdit,1149.96,1492.0,1750.0,1458.0,108.62,108.52,108.62,0.0,430.08,0.0,0.0,142.62,142.62,79.1,0.0,43.94,21.08,0.0,665.18,17.6,672.04,744.76,1119.98,1040.56,792.64,0.0,0.0
aesni256gcm_decrypt,notwinnop,spec,1149.96,1492.0,1750.0,1458.0,108.62,108.52,108.62,0.0,430.08,0.0,0.0,142.62,142.62,79.1,0.0,43.94,21.08,0.0,665.18,17.6,672.04,744.76,1119.98,1040.56,792.64,0.0,0.0
aesni256gcm_decrypt,rt,serdit,1095.62,1477.0,1735.0,1545.62,183.58,183.02,183.58,0.0,435.78,0.0,0.0,164.4,164.4,96.34,0.0,63.16,35.36,173.96,549.32,0.0,563.16,589.76,1047.9,910.58,686.24,0.0,0.0
aesni256gcm_decrypt,rt,spec,1095.62,1477.0,1735.0,1545.62,183.58,183.02,183.58,0.0,435.78,0.0,0.0,164.4,164.4,96.34,0.0,63.16,35.36,173.96,549.32,0.0,563.16,589.76,1047.9,910.58,686.24,0.0,0.0
aesni256gcm_decrypt,taint,serdit,1339.0,1479.0,1737.0,1668.74,152.02,152.04,152.02,0.0,434.94,0.0,0.0,144.1,144.1,91.1,0.0,23.88,20.42,143.0,737.0,0.0,744.0,852.0,1307.88,1185.94,923.06,2.0,1298.0
aesni256gcm_decrypt,taint,spec,1177.02,1479.0,1737.0,1548.4,152.96,152.0,152.96,0.0,441.06,0.0,0.0,147.4,147.4,88.16,0.0,23.8,19.72,141.0,663.0,0.0,673.0,698.0,1145.44,1023.98,781.04,2.0,1165.0
aesni256gcm_decrypt,taintnop,serdit,1088.66,1479.0,1737.0,1533.8,150.9,150.96,150.9,0.0,440.8,0.0,0.02,147.76,147.76,89.32,0.0,24.96,20.36,145.6,561.96,0.0,571.96,607.42,1055.08,936.62,701.96,0.0,0.0
aesni256gcm_decrypt,taintnop,spec,1088.66,1479.0,1737.0,1533.8,150.9,150.96,150.9,0.0,440.8,0.0,0.02,147.76,147.76,89.32,0.0,24.96,20.36,145.6,561.96,0.0,571.96,607.42,1055.08,936.62,701.96,0.0,0.0
aesni256gcm_encrypt,base,serdit,1217.04,1229.0,1469.0,1484.48,143.1,143.12,143.1,0.0,347.02,0.0,0.0,109.16,109.16,69.08,0.0,26.18,15.1,40.12,663.3,22.94,724.88,762.8,1188.8,1072.9,836.86,0.0,0.0
aesni256gcm_encrypt,base,spec,1217.04,1229.0,1469.0,1484.48,143.1,143.12,143.1,0.0,347.02,0.0,0.0,109.16,109.16,69.08,0.0,26.18,15.1,40.12,663.3,22.94,724.88,762.8,1188.8,1072.9,836.86,0.0,0.0
aesni256gcm_encrypt,notwin,serdit,1524.02,1245.0,1489.0,1273.92,131.04,131.02,131.04,0.0,338.98,0.0,0.0,77.04,77.04,48.0,0.0,0.2,0.12,0.0,471.0,0.0,474.0,1141.0,1519.94,1392.98,1196.02,12.0,1444.0
aesni256gcm_encrypt,notwin,spec,1211.0,1245.0,1489.0,1446.58,142.08,142.1,142.08,0.0,342.0,0.0,0.0,84.08,84.08,54.06,0.0,0.18,0.1,0.0,682.0,25.0,742.76,786.78,1206.78,1068.88,843.82,12.0,1191.0
aesni256gcm_encrypt,notwinnop,serdit,1212.0,1245.0,1489.0,1446.58,142.08,142.1,142.08,0.0,342.0,0.0,0.0,84.08,84.08,54.06,0.0,0.18,0.1,0.0,683.0,25.0,744.76,789.78,1207.78,1069.88,844.82,0.0,0.0
aesni256gcm_encrypt,notwinnop,spec,1212.0,1245.0,1489.0,1446.58,142.08,142.1,142.08,0.0,342.0,0.0,0.0,84.08,84.08,54.06,0.0,0.18,0.1,0.0,683.0,25.0,744.76,789.78,1207.78,1069.88,844.82,0.0,0.0
aesni256gcm_encrypt,rt,serdit,1218.28,1233.0,1477.0,1522.68,144.94,145.7,144.94,0.0,350.14,0.0,0.0,130.8,130.8,79.42,0.0,46.9,25.46,61.6,655.18,21.46,715.96,752.94,1167.86,1070.82,834.36,0.0,0.0
aesni256gcm_encrypt,rt,spec,1218.28,1233.0,1477.0,1522.68,144.94,145.7,144.94,0.0,350.14,0.0,0.0,130.8,130.8,79.42,0.0,46.9,25.46,61.6,655.18,21.46,715.96,752.94,1167.86,1070.82,834.36,0.0,0.0
aesni256gcm_encrypt,taint,serdit,1258.4,1235.0,1479.0,1332.94,133.64,133.62,133.64,0.0,342.04,0.0,0.0,104.42,104.42,64.14,0.0,27.58,16.26,57.1,645.76,0.0,649.82,852.76,1229.0,1123.7,921.92,2.0,1219.38
aesni256gcm_encrypt,taint,spec,1142.0,1235.0,1479.0,1597.66,154.08,153.08,154.08,0.0,349.0,0.0,0.0,133.08,133.08,88.06,0.0,49.18,34.1,119.0,567.0,23.98,627.78,668.76,1091.78,986.9,746.82,2.0,1124.0
aesni256gcm_encrypt,taintnop,serdit,1140.0,1235.0,1479.0,1607.66,154.08,154.08,154.08,0.0,349.0,0.0,0.0,133.08,133.08,88.06,0.0,49.18,34.1,131.0,564.0,23.98,626.78,665.76,1089.78,983.9,741.82,0.0,0.0
aesni256gcm_encrypt,taintnop,spec,1140.0,1235.0,1479.0,1607.66,154.08,154.08,154.08,0.0,349.0,0.0,0.0,133.08,133.08,88.06,0.0,49.18,34.1,131.0,564.0,23.98,626.78,665.76,1089.78,983.9,741.82,0.0,0.0
chacha20_poly1305_decrypt,base,serdit,2289.82,5057.0,5525.0,5171.9,449.28,448.66,449.28,0.0,750.16,0.0,0.0,277.72,277.72,166.74,0.0,16.16,12.52,55.88,648.34,0.0,715.68,773.56,2256.88,1839.88,1101.68,0.0,0.0
chacha20_poly1305_decrypt,base,spec,2289.82,5057.0,5525.0,5171.9,449.28,448.66,449.28,0.0,750.16,0.0,0.0,277.72,277.72,166.74,0.0,16.16,12.52,55.88,648.34,0.0,715.68,773.56,2256.88,1839.88,1101.68,0.0,0.0
chacha20_poly1305_decrypt,notwin,serdit,3827.44,5183.0,5715.0,5195.74,466.04,466.06,466.04,0.0,837.74,0.0,0.0,276.2,276.2,153.16,0.0,1.8,0.88,0.0,693.0,0.0,742.0,2452.4,3821.26,3361.34,2596.5,61.0,3450.98
chacha20_poly1305_decrypt,notwin,spec,2405.82,5183.0,5715.0,5305.5,490.2,492.46,490.2,0.0,769.44,0.0,0.0,327.6,327.6,171.22,0.0,51.62,23.44,94.68,694.84,0.0,738.72,818.7,2346.04,1910.86,1167.44,61.0,2353.58
