bench,arm,cfg,roi_n,cycles_per_op,insts_per_op,dit_writes,dit_set,dit_clear,dit_read,dit_suppressed,dit_cycles,dit_exit,wall_s
aesni256gcm_decrypt,base,serdit,50,1076.7,1473.0,0.0,0.0,0.0,0.0,0.0,0.0,,23.9
aesni256gcm_decrypt,base,spec,50,1076.7,1473.0,0.0,0.0,0.0,0.0,0.0,0.0,,23.8
aesni256gcm_decrypt,notwin,serdit,50,1689.6,1492.0,750.0,500.0,250.0,0.0,0.0,75278.0,,26.5
aesni256gcm_decrypt,notwin,spec,50,1180.6,1492.0,750.0,500.0,250.0,0.0,0.0,57332.0,,23.5
aesni256gcm_decrypt,notwinnop,serdit,50,1150.0,1492.0,0.0,0.0,0.0,0.0,0.0,0.0,,26.9
aesni256gcm_decrypt,notwinnop,spec,50,1150.0,1492.0,0.0,0.0,0.0,0.0,0.0,0.0,,27.8
aesni256gcm_decrypt,rt,serdit,50,1095.6,1477.0,0.0,0.0,0.0,0.0,0.0,0.0,,23.8
aesni256gcm_decrypt,rt,spec,50,1095.6,1477.0,0.0,0.0,0.0,0.0,0.0,0.0,,23.9
aesni256gcm_decrypt,taint,serdit,50,1339.0,1479.0,100.0,50.0,50.0,0.0,0.0,64900.0,,26.5
aesni256gcm_decrypt,taint,spec,50,1177.0,1479.0,100.0,50.0,50.0,0.0,0.0,58250.0,,23.5
aesni256gcm_decrypt,taintnop,serdit,50,1088.7,1479.0,0.0,0.0,0.0,0.0,0.0,0.0,,27.1
aesni256gcm_decrypt,taintnop,spec,50,1088.7,1479.0,0.0,0.0,0.0,0.0,0.0,0.0,,24.4
aesni256gcm_encrypt,base,serdit,50,1217.0,1229.0,0.0,0.0,0.0,0.0,0.0,0.0,,23.9
aesni256gcm_encrypt,base,spec,50,1217.0,1229.0,0.0,0.0,0.0,0.0,0.0,0.0,,26.9
aesni256gcm_encrypt,notwin,serdit,50,1524.0,1245.0,600.0,400.0,200.0,0.0,0.0,72200.0,,26.7
aesni256gcm_encrypt,notwin,spec,50,1211.0,1245.0,600.0,400.0,200.0,0.0,0.0,59550.0,,27.6
aesni256gcm_encrypt,notwinnop,serdit,50,1212.0,1245.0,0.0,0.0,0.0,0.0,0.0,0.0,,24.4
aesni256gcm_encrypt,notwinnop,spec,50,1212.0,1245.0,0.0,0.0,0.0,0.0,0.0,0.0,,26.6
aesni256gcm_encrypt,rt,serdit,50,1218.3,1233.0,0.0,0.0,0.0,0.0,0.0,0.0,,27.1
aesni256gcm_encrypt,rt,spec,50,1218.3,1233.0,0.0,0.0,0.0,0.0,0.0,0.0,,27.6
aesni256gcm_encrypt,taint,serdit,50,1258.4,1235.0,100.0,50.0,50.0,0.0,0.0,60969.0,,24.1
aesni256gcm_encrypt,taint,spec,50,1142.0,1235.0,100.0,50.0,50.0,0.0,0.0,56200.0,,24.3
aesni256gcm_encrypt,taintnop,serdit,50,1140.0,1235.0,0.0,0.0,0.0,0.0,0.0,0.0,,27.8
aesni256gcm_encrypt,taintnop,spec,50,1140.0,1235.0,0.0,0.0,0.0,0.0,0.0,0.0,,27.6
chacha20_poly1305_decrypt,base,serdit,50,2289.8,5057.0,0.0,0.0,0.0,0.0,0.0,0.0,,25.8
chacha20_poly1305_decrypt,base,spec,50,2289.8,5057.0,0.0,0.0,0.0,0.0,0.0,0.0,,29.8
chacha20_poly1305_decrypt,notwin,serdit,50,3827.4,5183.0,3050.0,2100.0,950.0,0.0,13150.0,172549.0,,30.2
chacha20_poly1305_decrypt,notwin,spec,50,2405.8,5183.0,3050.0,2100.0,950.0,0.0,13320.0,117679.0,,28.9
chacha20_poly1305_decrypt,notwinnop,serdit,50,2387.4,5183.0,0.0,0.0,0.0,0.0,0.0,0.0,,25.3
chacha20_poly1305_decrypt,notwinnop,spec,50,2387.4,5183.0,0.0,0.0,0.0,0.0,0.0,0.0,,25.6
chacha20_poly1305_decrypt,rt,serdit,50,2369.6,5122.0,0.0,0.0,0.0,0.0,0.0,0.0,,26.9
chacha20_poly1305_decrypt,rt,spec,50,2369.6,5122.0,0.0,0.0,0.0,0.0,0.0,0.0,,28.9
chacha20_poly1305_decrypt,taint,serdit,50,3160.7,5154.0,1600.0,1050.0,550.0,0.0,12900.0,147386.0,,29.3
chacha20_poly1305_decrypt,taint,spec,50,2442.6,5154.0,1600.0,1050.0,550.0,0.0,12979.0,121185.0,,25.8
chacha20_poly1305_decrypt,taintnop,serdit,50,2429.5,5154.0,0.0,0.0,0.0,0.0,0.0,0.0,,25.6
