bench,arm,cfg,roi_n,cycles_per_op,insts_per_op,dit_writes,dit_set,dit_clear,dit_read,dit_suppressed,dit_cycles,dit_exit,wall_s
aesni256gcm_decrypt,pad0,spec,50,1083.1,1473.0,0.0,0.0,0.0,0.0,0.0,0.0,,23.8
aesni256gcm_decrypt,pad12,spec,50,1084.1,1473.0,0.0,0.0,0.0,0.0,0.0,0.0,,24.2
aesni256gcm_decrypt,pad128,spec,50,1081.5,1473.0,0.0,0.0,0.0,0.0,0.0,0.0,,26.2
aesni256gcm_decrypt,pad16,spec,50,1084.1,1473.0,0.0,0.0,0.0,0.0,0.0,0.0,,24.1
aesni256gcm_decrypt,pad24,spec,50,1084.1,1473.0,0.0,0.0,0.0,0.0,0.0,0.0,,23.2
aesni256gcm_decrypt,pad256,spec,50,1084.2,1473.0,0.0,0.0,0.0,0.0,0.0,0.0,,26.5
aesni256gcm_decrypt,pad32,spec,50,1084.1,1473.0,0.0,0.0,0.0,0.0,0.0,0.0,,23.6
aesni256gcm_decrypt,pad4,spec,50,1084.1,1473.0,0.0,0.0,0.0,0.0,0.0,0.0,,23.8
aesni256gcm_decrypt,pad48,spec,50,1084.1,1473.0,0.0,0.0,0.0,0.0,0.0,0.0,,26.9
aesni256gcm_decrypt,pad64,spec,50,1084.1,1473.0,0.0,0.0,0.0,0.0,0.0,0.0,,26.8
aesni256gcm_decrypt,pad8,spec,50,1084.1,1473.0,0.0,0.0,0.0,0.0,0.0,0.0,,23.3
aesni256gcm_decrypt,pad96,spec,50,1081.5,1473.0,0.0,0.0,0.0,0.0,0.0,0.0,,27.0
aesni256gcm_encrypt,pad0,spec,50,1208.0,1229.0,0.0,0.0,0.0,0.0,0.0,0.0,,23.6
aesni256gcm_encrypt,pad12,spec,50,1208.0,1229.0,0.0,0.0,0.0,0.0,0.0,0.0,,24.1
aesni256gcm_encrypt,pad128,spec,50,1208.8,1229.0,0.0,0.0,0.0,0.0,0.0,0.0,,26.7
aesni256gcm_encrypt,pad16,spec,50,1208.0,1229.0,0.0,0.0,0.0,0.0,0.0,0.0,,24.3
aesni256gcm_encrypt,pad24,spec,50,1208.0,1229.0,0.0,0.0,0.0,0.0,0.0,0.0,,23.6
aesni256gcm_encrypt,pad256,spec,50,1208.0,1229.0,0.0,0.0,0.0,0.0,0.0,0.0,,26.6
aesni256gcm_encrypt,pad32,spec,50,1208.0,1229.0,0.0,0.0,0.0,0.0,0.0,0.0,,23.8
aesni256gcm_encrypt,pad4,spec,50,1208.0,1229.0,0.0,0.0,0.0,0.0,0.0,0.0,,23.8
aesni256gcm_encrypt,pad48,spec,50,1208.0,1229.0,0.0,0.0,0.0,0.0,0.0,0.0,,24.2
aesni256gcm_encrypt,pad64,spec,50,1208.0,1229.0,0.0,0.0,0.0,0.0,0.0,0.0,,26.7
aesni256gcm_encrypt,pad8,spec,50,1208.0,1229.0,0.0,0.0,0.0,0.0,0.0,0.0,,24.1
aesni256gcm_encrypt,pad96,spec,50,1208.8,1229.0,0.0,0.0,0.0,0.0,0.0,0.0,,25.9
chacha20_poly1305_decrypt,pad0,spec,50,2334.0,5057.0,0.0,0.0,0.0,0.0,0.0,0.0,,26.3
chacha20_poly1305_decrypt,pad12,spec,50,2352.6,5057.0,0.0,0.0,0.0,0.0,0.0,0.0,,25.2
chacha20_poly1305_decrypt,pad128,spec,50,2326.3,5057.0,0.0,0.0,0.0,0.0,0.0,0.0,,29.2
chacha20_poly1305_decrypt,pad16,spec,50,2352.6,5057.0,0.0,0.0,0.0,0.0,0.0,0.0,,24.9
chacha20_poly1305_decrypt,pad24,spec,50,2352.6,5057.0,0.0,0.0,0.0,0.0,0.0,0.0,,28.6
chacha20_poly1305_decrypt,pad256,spec,50,2348.4,5057.0,0.0,0.0,0.0,0.0,0.0,0.0,,28.6
chacha20_poly1305_decrypt,pad32,spec,50,2352.6,5057.0,0.0,0.0,0.0,0.0,0.0,0.0,,28.5
chacha20_poly1305_decrypt,pad4,spec,50,2352.6,5057.0,0.0,0.0,0.0,0.0,0.0,0.0,,26.1
chacha20_poly1305_decrypt,pad48,spec,50,2352.6,5057.0,0.0,0.0,0.0,0.0,0.0,0.0,,29.2
chacha20_poly1305_decrypt,pad64,spec,50,2352.6,5057.0,0.0,0.0,0.0,0.0,0.0,0.0,,25.7
chacha20_poly1305_decrypt,pad8,spec,50,2352.6,5057.0,0.0,0.0,0.0,0.0,0.0,0.0,,25.4
chacha20_poly1305_decrypt,pad96,spec,50,2326.3,5057.0,0.0,0.0,0.0,0.0,0.0,0.0,,25.4
chacha20_poly1305_encrypt,pad0,spec,50,2253.3,4810.0,0.0,0.0,0.0,0.0,0.0,0.0,,25.5
chacha20_poly1305_encrypt,pad12,spec,50,2302.0,4810.0,0.0,0.0,0.0,0.0,0.0,0.0,,30.7
chacha20_poly1305_encrypt,pad128,spec,50,2245.6,4810.0,0.0,0.0,0.0,0.0,0.0,0.0,,28.3
chacha20_poly1305_encrypt,pad16,spec,50,2302.0,4810.0,0.0,0.0,0.0,0.0,0.0,0.0,,25.2
chacha20_poly1305_encrypt,pad24,spec,50,2302.0,4810.0,0.0,0.0,0.0,0.0,0.0,0.0,,29.3
chacha20_poly1305_encrypt,pad256,spec,50,2243.8,4810.0,0.0,0.0,0.0,0.0,0.0,0.0,,29.9
chacha20_poly1305_encrypt,pad32,spec,50,2302.0,4810.0,0.0,0.0,0.0,0.0,0.0,0.0,,26.1
chacha20_poly1305_encrypt,pad4,spec,50,2302.0,4810.0,0.0,0.0,0.0,0.0,0.0,0.0,,26.2
chacha20_poly1305_encrypt,pad48,spec,50,2302.0,4810.0,0.0,0.0,0.0,0.0,0.0,0.0,,29.3
chacha20_poly1305_encrypt,pad64,spec,50,2302.0,4810.0,0.0,0.0,0.0,0.0,0.0,0.0,,28.9
chacha20_poly1305_encrypt,pad8,spec,50,2302.0,4810.0,0.0,0.0,0.0,0.0,0.0,0.0,,25.5
chacha20_poly1305_encrypt,pad96,spec,50,2245.6,4810.0,0.0,0.0,0.0,0.0,0.0,0.0,,25.2
ed25519,pad0,spec,20,78113.1,171769.0,0.0,0.0,0.0,0.0,0.0,0.0,,209.5
ed25519,pad12,spec,20,84106.9,171769.0,0.0,0.0,0.0,0.0,0.0,0.0,,145.2
ed25519,pad128,spec,20,78112.2,171769.0,0.0,0.0,0.0,0.0,0.0,0.0,,212.9
ed25519,pad16,spec,20,84106.9,171769.0,0.0,0.0,0.0,0.0,0.0,0.0,,165.8
ed25519,pad24,spec,20,84106.9,171769.0,0.0,0.0,0.0,0.0,0.0,0.0,,192.3
ed25519,pad256,spec,20,79166.1,171769.0,0.0,0.0,0.0,0.0,0.0,0.0,,144.9
ed25519,pad32,spec,20,84106.9,171769.0,0.0,0.0,0.0,0.0,0.0,0.0,,143.1
ed25519,pad4,spec,20,84106.9,171769.0,0.0,0.0,0.0,0.0,0.0,0.0,,185.2
ed25519,pad48,spec,20,84106.9,171769.0,0.0,0.0,0.0,0.0,0.0,0.0,,183.2
ed25519,pad64,spec,20,84106.9,171769.0,0.0,0.0,0.0,0.0,0.0,0.0,,142.8
ed25519,pad8,spec,20,84106.9,171769.0,0.0,0.0,0.0,0.0,0.0,0.0,,194.9
ed25519,pad96,spec,20,78112.2,171769.0,0.0,0.0,0.0,0.0,0.0,0.0,,143.4
