bench,arm,cfg,cycles,insts,ops,fetchInsts,icacheLines,icacheStall,l1i_acc,l1i_miss,l1d_acc,l1d_miss,l2_miss,bpLookups,bpBTBHits,condPred,condIncorr,bpSquash,bpSquashCond,sqInsts,iqFull,robFull,renBlocked,decBlocked,ftqFull,fetchRun,nisn0,ditWrites,ditCycles
aesni256gcm_decrypt,pad0,spec,1076.74,1473.0,1727.0,1406.76,156.64,157.62,156.64,0.0,431.62,0.0,0.14,146.28,146.28,89.5,0.0,28.48,22.7,22.32,587.24,0.0,593.1,628.04,1040.24,917.94,710.96,0.0,0.0
aesni256gcm_decrypt,pad1024,spec,1083.66,1473.0,1727.0,1423.76,155.88,156.9,155.88,0.0,427.14,0.0,0.14,158.1,158.1,95.58,0.0,55.14,36.36,27.2,594.3,0.0,599.36,633.3,1033.88,925.0,715.84,0.0,0.0
aesni256gcm_decrypt,pad128,spec,1080.66,1473.0,1727.0,1436.38,153.8,154.58,153.8,0.0,424.88,0.0,0.0,162.86,162.86,97.76,0.0,70.64,44.4,26.48,592.84,0.0,597.02,631.74,1025.26,924.06,712.24,0.0,0.0
aesni256gcm_decrypt,pad12,spec,1092.56,1473.0,1727.0,1681.26,151.96,152.64,151.96,0.02,449.28,0.0,0.0,212.14,212.14,133.48,0.0,94.0,67.32,204.3,545.34,7.44,556.98,620.14,1000.3,936.8,687.52,0.0,0.0
aesni256gcm_decrypt,pad16384,spec,1080.12,1473.0,1727.0,1391.32,154.52,154.3,154.52,0.0,429.16,0.0,0.14,139.04,139.04,77.9,0.0,33.04,17.3,19.14,601.12,0.0,608.96,643.0,1051.38,925.08,720.04,0.0,0.0
aesni256gcm_decrypt,pad16,spec,1081.76,1473.0,1727.0,1616.16,142.0,140.98,142.0,0.0,438.46,0.0,0.02,177.78,177.78,114.3,0.0,55.84,45.28,165.5,563.1,11.5,570.1,632.74,1020.66,938.72,684.76,0.0,0.0
aesni256gcm_decrypt,pad2048,spec,1082.04,1473.0,1727.0,1422.56,155.64,156.84,155.64,0.0,429.38,0.0,0.0,156.14,156.14,94.34,0.0,50.84,34.16,25.78,592.66,0.0,597.72,631.62,1035.12,923.6,714.76,0.0,0.0
aesni256gcm_decrypt,pad24,spec,1084.92,1473.0,1727.0,1585.32,186.12,187.28,186.12,0.0,440.62,0.0,0.1,175.94,175.94,113.68,0.0,54.72,44.92,176.84,523.42,0.0,529.6,561.04,1028.24,895.34,667.56,0.0,0.0
aesni256gcm_decrypt,pad256,spec,1075.36,1473.0,1727.0,1410.94,155.76,156.76,155.76,0.0,429.68,0.0,0.14,148.88,148.88,90.9,0.0,37.46,27.24,22.0,587.56,0.0,593.0,627.56,1035.28,917.24,709.68,0.0,0.0
aesni256gcm_decrypt,pad32768,spec,1084.24,1473.0,1727.0,1406.66,152.86,153.72,152.86,0.0,426.2,0.0,0.0,150.0,150.0,84.3,0.0,58.04,30.74,19.44,605.62,0.0,611.68,644.66,1043.94,929.22,723.6,0.0,0.0
aesni256gcm_decrypt,pad32,spec,1089.66,1473.0,1727.0,1594.74,174.78,175.84,174.78,0.0,428.0,0.0,0.0,189.28,189.28,118.08,0.0,94.12,63.98,161.32,556.74,0.0,563.92,599.14,1011.56,910.74,694.94,0.0,0.0
aesni256gcm_decrypt,pad4096,spec,1079.66,1473.0,1727.0,1407.26,157.8,158.92,157.8,0.0,432.14,0.0,0.0,151.58,151.58,93.28,0.0,32.82,25.94,30.4,589.16,0.0,595.12,625.6,1037.4,919.4,713.2,0.0,0.0
aesni256gcm_decrypt,pad48,spec,1088.1,1473.0,1727.0,1576.82,177.26,178.28,177.26,0.0,436.38,0.0,0.16,168.58,168.58,108.66,0.0,46.58,39.7,156.32,545.02,0.0,552.02,589.34,1035.14,907.74,681.62,0.0,0.0
aesni256gcm_decrypt,pad4,spec,1080.8,1473.0,1727.0,1607.64,138.48,139.1,138.48,0.0,428.98,0.0,0.0,184.98,184.98,116.94,0.0,93.0,64.0,164.96,544.92,23.0,555.76,632.96,1003.82,938.7,695.5,0.0,0.0
aesni256gcm_decrypt,pad512,spec,1083.2,1473.0,1727.0,1416.54,153.64,155.1,153.64,0.0,426.16,0.0,0.0,159.64,159.64,95.86,0.0,56.06,36.46,30.72,600.42,0.0,605.38,639.38,1031.84,926.34,717.9,0.0,0.0
aesni256gcm_decrypt,pad64,spec,1076.92,1473.0,1727.0,1435.72,156.04,156.44,156.04,0.0,426.44,0.0,0.0,157.56,157.56,95.32,0.0,55.58,37.02,30.64,585.18,0.0,590.0,625.18,1027.98,918.74,707.0,0.0,0.0
aesni256gcm_decrypt,pad65536,spec,1076.14,1473.0,1727.0,1402.32,157.0,158.02,157.0,0.02,432.84,0.0,0.14,144.18,144.18,88.46,0.0,23.76,20.26,22.0,587.64,0.0,593.66,627.8,1041.74,917.04,710.76,0.0,0.0
aesni256gcm_decrypt,pad8192,spec,1074.74,1473.0,1727.0,1396.46,150.8,150.86,150.8,0.0,424.36,0.0,0.0,142.7,142.7,79.74,0.0,51.3,26.72,3.16,599.76,0.0,605.78,642.36,1040.66,922.82,717.32,0.0,0.0
aesni256gcm_decrypt,pad8,spec,1080.38,1473.0,1727.0,1550.68,138.52,138.34,138.52,0.0,436.04,0.0,0.02,150.58,150.58,91.14,0.0,35.04,25.48,144.0,556.2,22.52,566.24,644.96,1044.54,940.78,700.1,0.0,0.0
aesni256gcm_decrypt,pad96,spec,1096.32,1473.0,1727.0,1574.44,175.98,177.14,175.98,0.0,436.16,0.0,0.02,172.8,172.8,110.92,0.0,51.92,42.54,162.26,560.84,0.0,568.94,606.2,1039.22,916.96,702.36,0.0,0.0
aesni256gcm_encrypt,pad0,spec,1217.04,1229.0,1469.0,1484.48,143.1,143.12,143.1,0.0,347.02,0.0,0.0,109.16,109.16,69.08,0.0,26.18,15.1,40.12,663.3,22.94,724.88,762.8,1188.8,1072.9,836.86,0.0,0.0
aesni256gcm_encrypt,pad1024,spec,1217.0,1229.0,1469.0,1484.36,143.1,143.12,143.1,0.0,347.0,0.0,0.0,109.08,109.08,69.06,0.0,26.18,15.1,40.0,663.44,22.94,724.88,762.8,1188.78,1072.86,836.84,0.0,0.0
aesni256gcm_encrypt,pad128,spec,1217.0,1229.0,1469.0,1484.36,143.1,143.12,143.1,0.0,347.0,0.0,0.0,109.08,109.08,69.06,0.0,26.18,15.1,40.0,662.94,22.94,724.86,762.8,1188.78,1072.86,836.84,0.0,0.0
aesni256gcm_encrypt,pad12,spec,1218.94,1229.0,1469.0,1509.6,141.12,142.14,141.12,0.0,345.0,0.0,0.0,109.18,109.18,69.1,0.0,26.2,15.12,58.0,667.76,26.96,723.0,769.88,1192.7,1075.78,844.76,0.0,0.0
aesni256gcm_encrypt,pad16384,spec,1217.56,1229.0,1469.0,1487.96,143.34,143.12,143.34,0.0,346.56,0.0,0.0,109.16,109.16,69.08,0.0,26.18,15.1,41.44,662.94,22.94,724.64,762.56,1189.32,1073.42,836.64,0.0,0.0
aesni256gcm_encrypt,pad16,spec,1218.5,1229.0,1469.0,1499.94,139.7,139.74,139.7,0.0,345.64,0.0,0.0,109.9,109.9,69.46,0.0,27.16,15.72,46.86,663.98,25.48,726.8,771.18,1192.68,1077.72,836.1,0.0,0.0
aesni256gcm_encrypt,pad2048,spec,1217.04,1229.0,1469.0,1484.64,143.12,143.12,143.12,0.0,346.96,0.0,0.0,109.08,109.08,69.06,0.0,26.18,15.1,40.1,662.92,22.94,724.84,762.78,1188.82,1072.9,836.82,0.0,0.0
aesni256gcm_encrypt,pad24,spec,1221.18,1229.0,1469.0,1493.96,143.06,143.08,143.06,0.0,345.0,0.0,0.0,109.1,109.1,69.08,0.0,26.2,15.12,45.36,666.1,23.04,727.96,766.98,1194.96,1077.08,842.96,0.0,0.0
aesni256gcm_encrypt,pad256,spec,1217.2,1229.0,1469.0,1484.96,143.1,143.12,143.1,0.0,347.1,0.0,0.0,109.08,109.08,69.06,0.0,26.18,15.1,40.6,663.1,22.94,724.88,762.8,1188.98,1073.06,836.94,0.0,0.0
aesni256gcm_encrypt,pad32768,spec,1218.2,1229.0,1469.0,1496.84,145.02,145.1,145.02,0.0,348.92,0.0,0.0,111.32,111.32,70.16,0.0,29.06,16.9,56.86,663.26,21.86,721.58,758.36,1188.22,1072.02,834.38,0.0,0.0
aesni256gcm_encrypt,pad32,spec,1220.14,1229.0,1469.0,1502.86,141.68,141.76,141.68,0.0,344.92,0.0,0.0,111.26,111.26,70.16,0.0,29.08,16.92,65.5,668.44,23.9,729.84,771.58,1191.18,1077.3,842.5,0.0,0.0
aesni256gcm_encrypt,pad4096,spec,1217.84,1229.0,1469.0,1492.8,144.38,144.44,144.38,0.0,348.3,0.0,0.0,110.6,110.6,69.8,0.0,28.1,16.3,51.36,662.88,22.22,722.62,759.8,1188.44,1072.34,835.22,0.0,0.0
aesni256gcm_encrypt,pad48,spec,1223.08,1229.0,1469.0,1521.44,148.08,147.14,148.08,0.0,345.0,0.0,0.0,109.08,109.08,69.06,0.0,26.18,15.1,65.24,664.08,22.02,721.02,763.0,1194.86,1074.92,843.92,0.0,0.0
aesni256gcm_encrypt,pad4,spec,1220.94,1229.0,1469.0,1515.34,141.08,142.1,141.08,0.0,345.0,0.0,0.0,109.08,109.08,69.06,0.0,26.18,15.1,66.0,665.0,25.94,723.86,765.74,1192.72,1077.82,847.86,0.0,0.0
aesni256gcm_encrypt,pad512,spec,1217.0,1229.0,1469.0,1484.36,143.1,143.12,143.1,0.0,347.0,0.0,0.0,109.16,109.16,69.08,0.0,26.18,15.1,40.0,662.94,22.94,724.86,762.8,1188.76,1072.86,836.84,0.0,0.0
aesni256gcm_encrypt,pad64,spec,1217.08,1229.0,1469.0,1484.6,143.1,143.12,143.1,0.0,347.04,0.0,0.0,109.16,109.16,69.08,0.0,26.18,15.1,40.24,662.98,22.94,724.86,762.8,1188.84,1072.94,836.88,0.0,0.0
aesni256gcm_encrypt,pad65536,spec,1218.38,1229.0,1469.0,1497.14,145.02,145.1,145.02,0.0,348.86,0.0,0.0,111.24,111.24,70.14,0.0,29.06,16.9,57.1,662.94,21.92,721.98,758.78,1188.42,1072.2,834.5,0.0,0.0
