bench,arm,cfg,roi_n,cycles_per_op,insts_per_op,dit_writes,dit_set,dit_clear,dit_read,dit_suppressed,dit_cycles,dit_exit,wall_s
aesni256gcm_decrypt,pad0,spec,50,1076.7,1473.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.1
aesni256gcm_decrypt,pad1024,spec,50,1083.7,1473.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
aesni256gcm_decrypt,pad12,spec,50,1092.6,1473.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
aesni256gcm_decrypt,pad128,spec,50,1080.7,1473.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
aesni256gcm_decrypt,pad16,spec,50,1081.8,1473.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
aesni256gcm_decrypt,pad16384,spec,50,1080.1,1473.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
aesni256gcm_decrypt,pad2048,spec,50,1082.0,1473.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
aesni256gcm_decrypt,pad24,spec,50,1084.9,1473.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
aesni256gcm_decrypt,pad256,spec,50,1075.4,1473.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
aesni256gcm_decrypt,pad32,spec,50,1089.7,1473.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
aesni256gcm_decrypt,pad32768,spec,50,1084.2,1473.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
aesni256gcm_decrypt,pad4,spec,50,1080.8,1473.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
aesni256gcm_decrypt,pad4096,spec,50,1079.7,1473.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.1
aesni256gcm_decrypt,pad48,spec,50,1088.1,1473.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
aesni256gcm_decrypt,pad512,spec,50,1083.2,1473.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
aesni256gcm_decrypt,pad64,spec,50,1076.9,1473.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
aesni256gcm_decrypt,pad65536,spec,50,1076.1,1473.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
aesni256gcm_decrypt,pad8,spec,50,1080.4,1473.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
aesni256gcm_decrypt,pad8192,spec,50,1074.7,1473.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
aesni256gcm_decrypt,pad96,spec,50,1096.3,1473.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
aesni256gcm_encrypt,pad0,spec,50,1217.0,1229.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.8
aesni256gcm_encrypt,pad1024,spec,50,1217.0,1229.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
aesni256gcm_encrypt,pad12,spec,50,1218.9,1229.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
aesni256gcm_encrypt,pad128,spec,50,1217.0,1229.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
aesni256gcm_encrypt,pad16,spec,50,1218.5,1229.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
aesni256gcm_encrypt,pad16384,spec,50,1217.6,1229.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
aesni256gcm_encrypt,pad2048,spec,50,1217.0,1229.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
aesni256gcm_encrypt,pad24,spec,50,1221.2,1229.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
aesni256gcm_encrypt,pad256,spec,50,1217.2,1229.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
aesni256gcm_encrypt,pad32,spec,50,1220.1,1229.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
aesni256gcm_encrypt,pad32768,spec,50,1218.2,1229.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
aesni256gcm_encrypt,pad4,spec,50,1220.9,1229.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
aesni256gcm_encrypt,pad4096,spec,50,1217.8,1229.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
aesni256gcm_encrypt,pad48,spec,50,1223.1,1229.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
aesni256gcm_encrypt,pad512,spec,50,1217.0,1229.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
aesni256gcm_encrypt,pad64,spec,50,1217.1,1229.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
aesni256gcm_encrypt,pad65536,spec,50,1218.4,1229.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
aesni256gcm_encrypt,pad8,spec,50,1219.2,1229.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
aesni256gcm_encrypt,pad8192,spec,50,1217.0,1229.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
aesni256gcm_encrypt,pad96,spec,50,1219.0,1229.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
chacha20_poly1305_decrypt,pad0,spec,50,2289.8,5057.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
chacha20_poly1305_decrypt,pad1024,spec,50,2293.3,5057.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
chacha20_poly1305_decrypt,pad12,spec,50,2303.0,5057.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
chacha20_poly1305_decrypt,pad128,spec,50,2321.0,5057.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
chacha20_poly1305_decrypt,pad16,spec,50,2292.7,5057.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.1
chacha20_poly1305_decrypt,pad16384,spec,50,2283.9,5057.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.2
chacha20_poly1305_decrypt,pad2048,spec,50,2283.5,5057.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
chacha20_poly1305_decrypt,pad24,spec,50,2431.4,5057.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
chacha20_poly1305_decrypt,pad256,spec,50,2299.0,5057.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
chacha20_poly1305_decrypt,pad32,spec,50,2356.7,5057.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
chacha20_poly1305_decrypt,pad32768,spec,50,2282.2,5057.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
chacha20_poly1305_decrypt,pad4,spec,50,2270.3,5057.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
chacha20_poly1305_decrypt,pad4096,spec,50,2312.2,5057.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
chacha20_poly1305_decrypt,pad48,spec,50,2364.7,5057.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.2
chacha20_poly1305_decrypt,pad512,spec,50,2273.8,5057.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
chacha20_poly1305_decrypt,pad64,spec,50,2293.8,5057.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
chacha20_poly1305_decrypt,pad65536,spec,50,2280.0,5057.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
chacha20_poly1305_decrypt,pad8,spec,50,2329.8,5057.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
chacha20_poly1305_decrypt,pad8192,spec,50,2289.1,5057.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
chacha20_poly1305_decrypt,pad96,spec,50,2302.9,5057.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
chacha20_poly1305_encrypt,pad0,spec,50,2185.9,4810.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
chacha20_poly1305_encrypt,pad1024,spec,50,2153.3,4810.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.1
chacha20_poly1305_encrypt,pad12,spec,50,2258.1,4810.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
chacha20_poly1305_encrypt,pad128,spec,50,2176.2,4810.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
chacha20_poly1305_encrypt,pad16,spec,50,2210.5,4810.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
chacha20_poly1305_encrypt,pad16384,spec,50,2206.2,4810.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
chacha20_poly1305_encrypt,pad2048,spec,50,2178.1,4810.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.7
chacha20_poly1305_encrypt,pad24,spec,50,2223.0,4810.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
chacha20_poly1305_encrypt,pad256,spec,50,2225.3,4810.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
chacha20_poly1305_encrypt,pad32,spec,50,2187.3,4810.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.1
chacha20_poly1305_encrypt,pad32768,spec,50,2213.1,4810.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.3
chacha20_poly1305_encrypt,pad4,spec,50,2197.0,4810.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
chacha20_poly1305_encrypt,pad4096,spec,50,2206.9,4810.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.2
chacha20_poly1305_encrypt,pad48,spec,50,2235.9,4810.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
chacha20_poly1305_encrypt,pad512,spec,50,2158.6,4810.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
chacha20_poly1305_encrypt,pad64,spec,50,2159.0,4810.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
chacha20_poly1305_encrypt,pad65536,spec,50,2181.1,4810.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
chacha20_poly1305_encrypt,pad8,spec,50,2239.0,4810.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.5
chacha20_poly1305_encrypt,pad8192,spec,50,2214.8,4810.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.8
chacha20_poly1305_encrypt,pad96,spec,50,2181.5,4810.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
ed25519,pad0,spec,20,78789.9,171769.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
ed25519,pad1024,spec,20,79188.5,171769.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
ed25519,pad12,spec,20,77641.4,171769.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
ed25519,pad128,spec,20,81892.9,171769.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
ed25519,pad16,spec,20,79807.1,171769.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
ed25519,pad16384,spec,20,77164.1,171769.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.1
ed25519,pad2048,spec,20,79136.1,171769.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
ed25519,pad24,spec,20,80039.1,171769.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
ed25519,pad256,spec,20,81507.2,171769.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
ed25519,pad32,spec,20,78317.1,171769.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
ed25519,pad32768,spec,20,79439.4,171769.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
ed25519,pad4,spec,20,80964.8,171769.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
ed25519,pad4096,spec,20,78039.2,171769.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.1
ed25519,pad48,spec,20,79733.7,171769.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.1
ed25519,pad512,spec,20,78558.5,171769.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
ed25519,pad64,spec,20,78957.4,171769.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
ed25519,pad65536,spec,20,79053.1,171769.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
ed25519,pad8,spec,20,79447.2,171769.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
ed25519,pad8192,spec,20,79165.1,171769.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
ed25519,pad96,spec,20,78690.9,171769.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
