bench,arm,cfg,roi_n,cycles_per_op,insts_per_op,dit_writes,dit_set,dit_clear,dit_read,dit_suppressed,dit_cycles,dit_exit,wall_s
aesni256gcm_decrypt,pad0,spec,50,1088.7,1479.0,0.0,0.0,0.0,0.0,0.0,0.0,,24.7
aesni256gcm_decrypt,pad12,spec,50,1089.2,1479.0,0.0,0.0,0.0,0.0,0.0,0.0,,24.2
aesni256gcm_decrypt,pad128,spec,50,1088.2,1479.0,0.0,0.0,0.0,0.0,0.0,0.0,,26.3
aesni256gcm_decrypt,pad16,spec,50,1086.4,1479.0,0.0,0.0,0.0,0.0,0.0,0.0,,24.4
aesni256gcm_decrypt,pad24,spec,50,1086.1,1479.0,0.0,0.0,0.0,0.0,0.0,0.0,,23.8
aesni256gcm_decrypt,pad256,spec,50,1086.9,1479.0,0.0,0.0,0.0,0.0,0.0,0.0,,26.3
aesni256gcm_decrypt,pad32,spec,50,1089.5,1479.0,0.0,0.0,0.0,0.0,0.0,0.0,,26.2
aesni256gcm_decrypt,pad4,spec,50,1087.9,1479.0,0.0,0.0,0.0,0.0,0.0,0.0,,23.6
aesni256gcm_decrypt,pad48,spec,50,1094.8,1479.0,0.0,0.0,0.0,0.0,0.0,0.0,,26.1
aesni256gcm_decrypt,pad64,spec,50,1094.1,1479.0,0.0,0.0,0.0,0.0,0.0,0.0,,26.3
aesni256gcm_decrypt,pad8,spec,50,1096.3,1479.0,0.0,0.0,0.0,0.0,0.0,0.0,,24.1
aesni256gcm_decrypt,pad96,spec,50,1099.4,1479.0,0.0,0.0,0.0,0.0,0.0,0.0,,26.4
aesni256gcm_encrypt,pad0,spec,50,1140.0,1235.0,0.0,0.0,0.0,0.0,0.0,0.0,,23.9
aesni256gcm_encrypt,pad12,spec,50,1224.1,1235.0,0.0,0.0,0.0,0.0,0.0,0.0,,24.3
aesni256gcm_encrypt,pad128,spec,50,1141.6,1235.0,0.0,0.0,0.0,0.0,0.0,0.0,,25.9
aesni256gcm_encrypt,pad16,spec,50,1222.0,1235.0,0.0,0.0,0.0,0.0,0.0,0.0,,23.9
aesni256gcm_encrypt,pad24,spec,50,1194.2,1235.0,0.0,0.0,0.0,0.0,0.0,0.0,,23.7
aesni256gcm_encrypt,pad256,spec,50,1140.0,1235.0,0.0,0.0,0.0,0.0,0.0,0.0,,29.3
aesni256gcm_encrypt,pad32,spec,50,1224.7,1235.0,0.0,0.0,0.0,0.0,0.0,0.0,,27.0
aesni256gcm_encrypt,pad4,spec,50,1218.3,1235.0,0.0,0.0,0.0,0.0,0.0,0.0,,24.3
aesni256gcm_encrypt,pad48,spec,50,1224.2,1235.0,0.0,0.0,0.0,0.0,0.0,0.0,,26.7
aesni256gcm_encrypt,pad64,spec,50,1140.1,1235.0,0.0,0.0,0.0,0.0,0.0,0.0,,27.0
aesni256gcm_encrypt,pad8,spec,50,1216.0,1235.0,0.0,0.0,0.0,0.0,0.0,0.0,,23.5
aesni256gcm_encrypt,pad96,spec,50,1225.0,1235.0,0.0,0.0,0.0,0.0,0.0,0.0,,25.7
chacha20_poly1305_decrypt,pad0,spec,50,2429.5,5154.0,0.0,0.0,0.0,0.0,0.0,0.0,,25.6
chacha20_poly1305_decrypt,pad12,spec,50,2360.6,5154.0,0.0,0.0,0.0,0.0,0.0,0.0,,25.9
chacha20_poly1305_decrypt,pad128,spec,50,2451.3,5154.0,0.0,0.0,0.0,0.0,0.0,0.0,,28.1
chacha20_poly1305_decrypt,pad16,spec,50,2336.4,5154.0,0.0,0.0,0.0,0.0,0.0,0.0,,25.9
chacha20_poly1305_decrypt,pad24,spec,50,2319.1,5154.0,0.0,0.0,0.0,0.0,0.0,0.0,,28.9
chacha20_poly1305_decrypt,pad256,spec,50,2414.5,5154.0,0.0,0.0,0.0,0.0,0.0,0.0,,25.0
chacha20_poly1305_decrypt,pad32,spec,50,2315.6,5154.0,0.0,0.0,0.0,0.0,0.0,0.0,,28.2
chacha20_poly1305_decrypt,pad4,spec,50,2377.1,5154.0,0.0,0.0,0.0,0.0,0.0,0.0,,25.6
chacha20_poly1305_decrypt,pad48,spec,50,2376.7,5154.0,0.0,0.0,0.0,0.0,0.0,0.0,,29.1
chacha20_poly1305_decrypt,pad64,spec,50,2447.3,5154.0,0.0,0.0,0.0,0.0,0.0,0.0,,28.0
chacha20_poly1305_decrypt,pad8,spec,50,2328.3,5154.0,0.0,0.0,0.0,0.0,0.0,0.0,,25.9
chacha20_poly1305_decrypt,pad96,spec,50,2373.6,5154.0,0.0,0.0,0.0,0.0,0.0,0.0,,29.5
chacha20_poly1305_encrypt,pad0,spec,50,2289.0,4903.0,0.0,0.0,0.0,0.0,0.0,0.0,,31.4
chacha20_poly1305_encrypt,pad12,spec,50,2254.5,4903.0,0.0,0.0,0.0,0.0,0.0,0.0,,29.2
chacha20_poly1305_encrypt,pad128,spec,50,2282.6,4903.0,0.0,0.0,0.0,0.0,0.0,0.0,,25.8
chacha20_poly1305_encrypt,pad16,spec,50,2253.3,4903.0,0.0,0.0,0.0,0.0,0.0,0.0,,25.6
chacha20_poly1305_encrypt,pad24,spec,50,2212.2,4903.0,0.0,0.0,0.0,0.0,0.0,0.0,,25.3
chacha20_poly1305_encrypt,pad256,spec,50,2310.6,4903.0,0.0,0.0,0.0,0.0,0.0,0.0,,26.4
chacha20_poly1305_encrypt,pad32,spec,50,2215.5,4903.0,0.0,0.0,0.0,0.0,0.0,0.0,,29.7
chacha20_poly1305_encrypt,pad4,spec,50,2319.3,4903.0,0.0,0.0,0.0,0.0,0.0,0.0,,29.0
chacha20_poly1305_encrypt,pad48,spec,50,2221.7,4903.0,0.0,0.0,0.0,0.0,0.0,0.0,,29.1
chacha20_poly1305_encrypt,pad64,spec,50,2317.0,4903.0,0.0,0.0,0.0,0.0,0.0,0.0,,25.8
chacha20_poly1305_encrypt,pad8,spec,50,2233.9,4903.0,0.0,0.0,0.0,0.0,0.0,0.0,,28.0
chacha20_poly1305_encrypt,pad96,spec,50,2233.1,4903.0,0.0,0.0,0.0,0.0,0.0,0.0,,28.6
ed25519,pad0,spec,20,76946.0,171813.0,0.0,0.0,0.0,0.0,0.0,0.0,,145.5
ed25519,pad12,spec,20,76145.1,171813.0,0.0,0.0,0.0,0.0,0.0,0.0,,217.5
ed25519,pad128,spec,20,77101.2,171813.0,0.0,0.0,0.0,0.0,0.0,0.0,,146.6
ed25519,pad16,spec,20,76417.1,171813.0,0.0,0.0,0.0,0.0,0.0,0.0,,144.4
ed25519,pad24,spec,20,75661.1,171813.0,0.0,0.0,0.0,0.0,0.0,0.0,,262.9
ed25519,pad256,spec,20,75740.3,171813.0,0.0,0.0,0.0,0.0,0.0,0.0,,152.7
ed25519,pad32,spec,20,76992.0,171813.0,0.0,0.0,0.0,0.0,0.0,0.0,,218.6
ed25519,pad4,spec,20,77213.4,171813.0,0.0,0.0,0.0,0.0,0.0,0.0,,160.8
ed25519,pad48,spec,20,76162.9,171813.0,0.0,0.0,0.0,0.0,0.0,0.0,,147.4
ed25519,pad64,spec,20,76873.2,171813.0,0.0,0.0,0.0,0.0,0.0,0.0,,145.3
ed25519,pad8,spec,20,75997.6,171813.0,0.0,0.0,0.0,0.0,0.0,0.0,,173.0
ed25519,pad96,spec,20,76951.3,171813.0,0.0,0.0,0.0,0.0,0.0,0.0,,237.4
