arm,rep,ns_per_selection
gated,1,3164887.50
nra,1,3159008.30
lto,1,3988758.30
ltonra,1,3314300.00
nodit,1,3150170.80
nra,2,3149395.80
lto,2,3992808.30
ltonra,2,3307504.10
nodit,2,3147083.40
gated,2,3167133.40
lto,3,4000750.00
ltonra,3,3307250.00
nodit,3,3158104.10
gated,3,3156795.80
nra,3,3161604.20
ltonra,4,3314929.20
nodit,4,3153825.00
gated,4,3150762.50
nra,4,3151400.00
lto,4,3999008.40
nodit,5,3149125.00
gated,5,3154783.30
nra,5,3152308.40
lto,5,3981225.00
ltonra,5,3352312.50
gated,6,3158058.30
nra,6,3170591.70
lto,6,4004937.50
ltonra,6,3349033.40
nodit,6,3164020.80
nra,7,3159133.30
lto,7,3997225.00
ltonra,7,3317650.00
nodit,7,3148812.50
gated,7,3161633.40
lto,8,3986454.20
ltonra,8,3328858.30
nodit,8,3163433.40
gated,8,3161570.80
nra,8,3160433.30
ltonra,9,3317654.20
nodit,9,3152129.20
gated,9,3160487.50
nra,9,3158379.20
lto,9,3980625.00
nodit,10,3164720.80
gated,10,3151420.80
nra,10,3161370.80
lto,10,3988520.90
ltonra,10,3318354.20
gated,11,3158675.00
nra,11,3163358.30
lto,11,3990441.70
ltonra,11,3317358.40
nodit,11,3152162.50
nra,12,3155637.50
lto,12,4000550.00
ltonra,12,3316062.50
nodit,12,3151570.80
gated,12,3155929.10
lto,13,3991558.30
ltonra,13,3321058.40
nodit,13,3156720.80
gated,13,3156862.50
nra,13,3152983.30
ltonra,14,3315812.50
nodit,14,3152737.50
gated,14,3154662.50
nra,14,3173400.00
lto,14,3991525.00
nodit,15,3150820.80
gated,15,3152970.80
nra,15,3182479.10
lto,15,3992191.70
ltonra,15,3318050.00
gated,16,3157258.30
nra,16,3159491.70
lto,16,3990287.50
ltonra,16,3313991.70
nodit,16,3152904.20
nra,17,3157166.60
lto,17,3981079.10
ltonra,17,3316445.90
nodit,17,3158037.50
gated,17,3154941.70
lto,18,3993583.30
ltonra,18,3319216.60
nodit,18,3149920.90
gated,18,3152145.80
nra,18,3156466.70
ltonra,19,3313287.50
nodit,19,3161358.40
gated,19,3154700.00
nra,19,3152704.20
lto,19,3996891.70
nodit,20,3152812.50
gated,20,3165875.00
nra,20,3147108.30
lto,20,3987083.30
ltonra,20,3326212.50
gated,21,3154062.50
nra,21,3155545.80
lto,21,3976600.00
ltonra,21,3309775.00
nodit,21,3127783.30
nra,22,3148908.40
lto,22,3980850.00
ltonra,22,3317162.50
nodit,22,3149420.80
gated,22,3155425.00
lto,23,3994245.80
ltonra,23,3321829.20
nodit,23,3189108.30
gated,23,3161625.00
nra,23,3154358.30
ltonra,24,3309058.30
nodit,24,3153450.00
gated,24,3183887.50
nra,24,3152254.20
lto,24,3992087.50
nodit,25,3145791.70
gated,25,3177195.90
nra,25,3136091.70
lto,25,3987912.50
ltonra,25,3309229.10
