arm,rep,ns_per_op
gated,1,61079.42
nra,1,59229.43
nodit,1,58062.30
nra,2,54304.72
nodit,2,53003.02
gated,2,61187.63
nodit,3,59023.21
gated,3,65842.74
nra,3,55344.80
gated,4,57689.45
nra,4,63668.43
nodit,4,53327.11
nra,5,56871.07
nodit,5,55815.95
gated,5,57391.21
nodit,6,57790.65
gated,6,59084.01
nra,6,59234.26
gated,7,62847.98
nra,7,56087.70
nodit,7,58144.44
nra,8,58544.82
nodit,8,56564.42
gated,8,59968.19
nodit,9,54797.32
gated,9,65707.58
nra,9,55124.47
gated,10,63979.37
nra,10,62127.58
nodit,10,54668.95
nra,11,59085.58
nodit,11,57834.83
gated,11,59458.19
nodit,12,55337.93
gated,12,61175.36
nra,12,58271.69
gated,13,58808.29
nra,13,59271.71
nodit,13,57439.14
nra,14,60899.66
nodit,14,53176.83
gated,14,61977.88
nodit,15,55168.97
gated,15,63673.00
nra,15,63943.83
gated,16,55690.14
nra,16,59068.03
nodit,16,56157.52
nra,17,61029.17
nodit,17,50828.77
gated,17,54881.19
nodit,18,63157.99
gated,18,59231.77
nra,18,57931.37
gated,19,58884.80
nra,19,53791.43
nodit,19,56878.96
nra,20,59153.57
nodit,20,53555.63
gated,20,62585.02
nodit,21,63029.64
gated,21,57629.81
nra,21,54595.11
gated,22,60920.13
nra,22,57840.91
nodit,22,57846.79
nra,23,56775.02
nodit,23,54398.57
gated,23,59139.36
nodit,24,51955.68
gated,24,60124.86
nra,24,61965.50
gated,25,60520.10
nra,25,56063.47
nodit,25,48736.21
nra,26,62057.32
nodit,26,56608.25
gated,26,65064.36
nodit,27,54785.56
gated,27,60761.18
nra,27,58999.53
gated,28,61076.96
nra,28,57209.80
nodit,28,58610.99
nra,29,58692.86
nodit,29,59502.46
gated,29,64885.22
nodit,30,52664.89
gated,30,61179.65
nra,30,55794.37
