arm,cfg,offset,rc,iter,warmup,targets,cycles,numInsts,simInsts,ipc,ditSuppressed,ditSwitches,commitNonSpecStalls,checksum,wall_s
base,spec,0,0,1,1,4,109449516.0,217133405.0,217101353.0,1.983868,0.0,0.0,76106.0,2971856206,
base,serdit,0,0,1,1,4,109449516.0,217133405.0,217101353.0,1.983868,0.0,0.0,76106.0,2971856206,
blanket,spec,0,0,1,1,4,117940856.0,217133405.0,217101353.0,1.841036,10176848.0,0.0,76106.0,2971856206,
blanket,serdit,0,0,1,1,4,117940856.0,217133405.0,217101353.0,1.841036,10176848.0,0.0,76106.0,2971856206,
base,spec,1,0,1,1,4,109534715.0,217133405.0,217101353.0,1.982325,0.0,0.0,76106.0,2971856206,6488.7
base,serdit,1,0,1,1,4,109534715.0,217133405.0,217101353.0,1.982325,0.0,0.0,76106.0,2971856206,6422.9
blanket,spec,1,0,1,1,4,117746897.0,217133405.0,217101353.0,1.844069,10539232.0,0.0,76106.0,2971856206,5564.6
blanket,serdit,1,0,1,1,4,117746897.0,217133405.0,217101353.0,1.844069,10539232.0,0.0,76106.0,2971856206,4417.2
base,spec,2,0,1,1,4,109419151.0,217133405.0,217101353.0,1.984419,0.0,0.0,76106.0,2971856206,5312.7
base,serdit,2,0,1,1,4,109419151.0,217133405.0,217101353.0,1.984419,0.0,0.0,76106.0,2971856206,4557.4
blanket,spec,2,0,1,1,4,117760982.0,217133405.0,217101353.0,1.843848,10540501.0,0.0,76106.0,2971856206,5632.1
blanket,serdit,2,0,1,1,4,117760982.0,217133405.0,217101353.0,1.843848,10540501.0,0.0,76106.0,2971856206,3925.3
base,spec,3,0,1,1,4,109544417.0,217133405.0,217101353.0,1.982149,0.0,0.0,76106.0,2971856206,4428.3
base,serdit,3,0,1,1,4,109544417.0,217133405.0,217101353.0,1.982149,0.0,0.0,76106.0,2971856206,4465.8
blanket,spec,3,0,1,1,4,117745380.0,217133405.0,217101353.0,1.844093,10531289.0,0.0,76106.0,2971856206,4196.6
blanket,serdit,3,0,1,1,4,117745380.0,217133405.0,217101353.0,1.844093,10531289.0,0.0,76106.0,2971856206,4691.2
base,spec,4,0,1,1,4,109352859.0,217133405.0,217101353.0,1.985622,0.0,0.0,76106.0,2971856206,4723.9
base,serdit,4,0,1,1,4,109352859.0,217133405.0,217101353.0,1.985622,0.0,0.0,76106.0,2971856206,6176.4
blanket,spec,4,0,1,1,4,117712458.0,217133405.0,217101353.0,1.844609,10530082.0,0.0,76106.0,2971856206,5244.6
blanket,serdit,4,0,1,1,4,117712458.0,217133405.0,217101353.0,1.844609,10530082.0,0.0,76106.0,2971856206,4109.8
