arm,cfg,offset,rc,iter,warmup,targets,cycles,numInsts,simInsts,ipc,ditSuppressed,ditSwitches,commitNonSpecStalls,checksum,wall_s
base,spec,0,0,1,1,1,29771204.0,59210702.0,59201346.0,1.988858,0.0,0.0,20696.0,837640467,
base,serdit,0,0,1,1,1,29771204.0,59210702.0,59201346.0,1.988858,0.0,0.0,20696.0,837640467,
blanket,spec,0,0,1,1,1,31803948.0,59210702.0,59201346.0,1.861741,2791162.0,0.0,20696.0,837640467,
blanket,serdit,0,0,1,1,1,31803948.0,59210702.0,59201346.0,1.861741,2791162.0,0.0,20696.0,837640467,
base,spec,1,0,1,1,1,29729984.0,59210702.0,59201346.0,1.991616,0.0,0.0,20696.0,837640467,1429.5
base,serdit,1,0,1,1,1,29729984.0,59210702.0,59201346.0,1.991616,0.0,0.0,20696.0,837640467,1472.3
blanket,spec,1,0,1,1,1,31734506.0,59210702.0,59201346.0,1.865815,2904417.0,0.0,20696.0,837640467,1478.4
blanket,serdit,1,0,1,1,1,31734506.0,59210702.0,59201346.0,1.865815,2904417.0,0.0,20696.0,837640467,1190.9
base,spec,2,0,1,1,1,29748903.0,59210702.0,59201346.0,1.990349,0.0,0.0,20696.0,837640467,1619.9
base,serdit,2,0,1,1,1,29748903.0,59210702.0,59201346.0,1.990349,0.0,0.0,20696.0,837640467,1513.0
blanket,spec,2,0,1,1,1,31723057.0,59210702.0,59201346.0,1.866488,2906227.0,0.0,20696.0,837640467,1503.1
blanket,serdit,2,0,1,1,1,31723057.0,59210702.0,59201346.0,1.866488,2906227.0,0.0,20696.0,837640467,1278.0
base,spec,3,0,1,1,1,29765977.0,59210702.0,59201346.0,1.989207,0.0,0.0,20696.0,837640467,1437.1
base,serdit,3,0,1,1,1,29765977.0,59210702.0,59201346.0,1.989207,0.0,0.0,20696.0,837640467,1412.3
blanket,spec,3,0,1,1,1,31722417.0,59210702.0,59201346.0,1.866526,2905317.0,0.0,20696.0,837640467,1439.5
blanket,serdit,3,0,1,1,1,31722417.0,59210702.0,59201346.0,1.866526,2905317.0,0.0,20696.0,837640467,1181.1
base,spec,4,0,1,1,1,29790883.0,59210702.0,59201346.0,1.987544,0.0,0.0,20696.0,837640467,1637.8
base,serdit,4,0,1,1,1,29790883.0,59210702.0,59201346.0,1.987544,0.0,0.0,20696.0,837640467,1389.5
blanket,spec,4,0,1,1,1,31720768.0,59210702.0,59201346.0,1.866623,2905979.0,0.0,20696.0,837640467,1023.8
blanket,serdit,4,0,1,1,1,31720768.0,59210702.0,59201346.0,1.866623,2905979.0,0.0,20696.0,837640467,1386.0
