# Experiment 01, the wallet flow under gem5 with the four arms, 2026-09-05: base (libsecp256k1 through the pass with an empty seed, coin selection plain C++), blanket (base + the constructor's msr DIT #1), api (base with secp256k1_ecdsa_sign and secp256k1_ec_pubkey_create wrapped in Apple's prologue/epilogue: mrs DIT token, msr DIT #1, isb sy for sb, call, clear only if the token was 0; --wrap), apinop (the same wrapper with every DIT instruction a NOP), taint (ExpeDITe at the shipped defaults: callee contract, twins, intra-block placement; seed_flow_contract.txt, the owned list).
# K = inputs signed per flow; spec = renamed MSR DIT, serdit = serialising; 5 argv[0] offsets; 450 runs, all gates pass. Compiler dit-tainter (LLVM 9d596a3c2858 code); gem5 the rig worktree's build (pre master #106).
# taintx = ExpeDITe with -taint-dit-external-preserves (library obj/taintx), 90 cells added 2026-09-05 evening, all gates pass.
K,offset,arm,cfg,rc,iter,warmup,targets,cycles,numInsts,simInsts,ipc,ditSuppressed,ditSwitches,commitNonSpecStalls,checksum,wall_s
0,0,api,serdit,0,1,1,1,29995796.0,59210273.0,59200930.0,1.973952,0.0,0.0,20696.0,837640467,
0,0,api,spec,0,1,1,1,29995798.0,59210273.0,59200930.0,1.973952,0.0,0.0,20696.0,837640467,
0,0,apinop,serdit,0,1,1,1,29995798.0,59210273.0,59200930.0,1.973952,0.0,0.0,20696.0,837640467,
0,0,apinop,spec,0,1,1,1,29995798.0,59210273.0,59200930.0,1.973952,0.0,0.0,20696.0,837640467,
0,0,base,serdit,0,1,1,1,29883476.0,59210273.0,59200930.0,1.981372,0.0,0.0,20696.0,837640467,
0,0,base,spec,0,1,1,1,29883476.0,59210273.0,59200930.0,1.981372,0.0,0.0,20696.0,837640467,
0,0,blanket,serdit,0,1,1,1,31972061.0,59210273.0,59200930.0,1.851938,2910456.0,0.0,20696.0,837640467,
0,0,blanket,spec,0,1,1,1,31972061.0,59210273.0,59200930.0,1.851938,2910456.0,0.0,20696.0,837640467,
0,0,taint,serdit,0,1,1,1,29910380.0,59210273.0,59200930.0,1.979589,0.0,0.0,20696.0,837640467,
0,0,taint,spec,0,1,1,1,29877927.0,59210273.0,59200930.0,1.98174,0.0,0.0,20696.0,837640467,
0,0,taintx,serdit,0,1,1,1,29982715.0,59210273.0,59200930.0,1.974814,0.0,0.0,20696.0,837640467,1235.1
0,0,taintx,spec,0,1,1,1,29926905.0,59210273.0,59200930.0,1.978496,0.0,0.0,20696.0,837640467,1250.3
0,1,api,serdit,0,1,1,1,30039458.0,59210273.0,59200930.0,1.971083,0.0,0.0,20696.0,837640467,
0,1,api,spec,0,1,1,1,30039458.0,59210273.0,59200930.0,1.971083,0.0,0.0,20696.0,837640467,
0,1,apinop,serdit,0,1,1,1,30039458.0,59210273.0,59200930.0,1.971083,0.0,0.0,20696.0,837640467,
0,1,apinop,spec,0,1,1,1,30039458.0,59210273.0,59200930.0,1.971083,0.0,0.0,20696.0,837640467,
0,1,base,serdit,0,1,1,1,30046713.0,59210273.0,59200930.0,1.970607,0.0,0.0,20696.0,837640467,
0,1,base,spec,0,1,1,1,30046713.0,59210273.0,59200930.0,1.970607,0.0,0.0,20696.0,837640467,
0,1,blanket,serdit,0,1,1,1,31987719.0,59210273.0,59200930.0,1.851031,2777425.0,0.0,20696.0,837640467,
0,1,blanket,spec,0,1,1,1,31987719.0,59210273.0,59200930.0,1.851031,2777425.0,0.0,20696.0,837640467,
0,1,taint,serdit,0,1,1,1,29963952.0,59210273.0,59200930.0,1.97605,0.0,0.0,20696.0,837640467,
0,1,taint,spec,0,1,1,1,29917803.0,59210273.0,59200930.0,1.979098,0.0,0.0,20696.0,837640467,
0,1,taintx,serdit,0,1,1,1,30184284.0,59210273.0,59200930.0,1.961626,0.0,0.0,20696.0,837640467,1614.5
0,1,taintx,spec,0,1,1,1,29939360.0,59210273.0,59200930.0,1.977673,0.0,0.0,20696.0,837640467,1185.9
0,2,api,serdit,0,1,1,1,29925672.0,59210273.0,59200930.0,1.978578,0.0,0.0,20696.0,837640467,
0,2,api,spec,0,1,1,1,29925672.0,59210273.0,59200930.0,1.978578,0.0,0.0,20696.0,837640467,
0,2,apinop,serdit,0,1,1,1,29925672.0,59210273.0,59200930.0,1.978578,0.0,0.0,20696.0,837640467,
0,2,apinop,spec,0,1,1,1,29925672.0,59210273.0,59200930.0,1.978578,0.0,0.0,20696.0,837640467,
