K,offset,arm,cfg,rc,iter,warmup,targets,cycles,numInsts,simInsts,ipc,ditSuppressed,ditSwitches,commitNonSpecStalls,checksum,wall_s
0,0,base,serdit,0,1,1,1,29990792.0,59210265.0,59200922.0,1.974281,0.0,0.0,20696.0,837640467,1751.5
0,0,base,spec,0,1,1,1,29990792.0,59210265.0,59200922.0,1.974281,0.0,0.0,20696.0,837640467,1690.9
0,0,blanket,serdit,0,1,1,1,32002468.0,59210265.0,59200922.0,1.850178,2774739.0,0.0,20696.0,837640467,1071.3
0,0,blanket,spec,0,1,1,1,32002468.0,59210265.0,59200922.0,1.850178,2774739.0,0.0,20696.0,837640467,1413.9
0,0,taint,serdit,0,1,1,1,29901326.0,59210265.0,59200922.0,1.980189,0.0,0.0,20696.0,837640467,1257.7
0,0,taint,spec,0,1,1,1,29970929.0,59210265.0,59200922.0,1.97559,0.0,0.0,20696.0,837640467,1646.8
0,1,base,serdit,0,1,1,1,29971997.0,59210265.0,59200922.0,1.97552,0.0,0.0,20696.0,837640467,1131.9
0,1,base,spec,0,1,1,1,29971997.0,59210265.0,59200922.0,1.97552,0.0,0.0,20696.0,837640467,1124.7
0,1,blanket,serdit,0,1,1,1,32008707.0,59210265.0,59200922.0,1.849817,2774366.0,0.0,20696.0,837640467,1452.5
0,1,blanket,spec,0,1,1,1,32008707.0,59210265.0,59200922.0,1.849817,2774366.0,0.0,20696.0,837640467,1339.4
0,1,taint,serdit,0,1,1,1,30106876.0,59210265.0,59200922.0,1.966669,0.0,0.0,20696.0,837640467,1718.6
0,1,taint,spec,0,1,1,1,30067413.0,59210265.0,59200922.0,1.96925,0.0,0.0,20696.0,837640467,1396.4
0,2,base,serdit,0,1,1,1,30035825.0,59210265.0,59200922.0,1.971321,0.0,0.0,20696.0,837640467,1678.6
0,2,base,spec,0,1,1,1,30035825.0,59210265.0,59200922.0,1.971321,0.0,0.0,20696.0,837640467,1747.9
0,2,blanket,serdit,0,1,1,1,31979893.0,59210265.0,59200922.0,1.851484,2772904.0,0.0,20696.0,837640467,1471.7
0,2,blanket,spec,0,1,1,1,31979893.0,59210265.0,59200922.0,1.851484,2772904.0,0.0,20696.0,837640467,1008.2
0,2,taint,serdit,0,1,1,1,30001666.0,59210265.0,59200922.0,1.973566,0.0,0.0,20696.0,837640467,1087.6
0,2,taint,spec,0,1,1,1,30039094.0,59210265.0,59200922.0,1.971107,0.0,0.0,20696.0,837640467,1466.5
0,3,base,serdit,0,1,1,1,30020180.0,59210265.0,59200922.0,1.972349,0.0,0.0,20696.0,837640467,1351.5
0,3,base,spec,0,1,1,1,30020180.0,59210265.0,59200922.0,1.972349,0.0,0.0,20696.0,837640467,1768.7
0,3,blanket,serdit,0,1,1,1,32015829.0,59210265.0,59200922.0,1.849406,2774819.0,0.0,20696.0,837640467,1207.4
0,3,blanket,spec,0,1,1,1,32015829.0,59210265.0,59200922.0,1.849406,2774819.0,0.0,20696.0,837640467,1616.5
0,3,taint,serdit,0,1,1,1,30105385.0,59210265.0,59200922.0,1.966767,0.0,0.0,20696.0,837640467,1342.1
0,3,taint,spec,0,1,1,1,30166363.0,59210265.0,59200922.0,1.962791,0.0,0.0,20696.0,837640467,1908.4
0,4,base,serdit,0,1,1,1,29854997.0,59210265.0,59200922.0,1.983261,0.0,0.0,20696.0,837640467,1700.5
0,4,base,spec,0,1,1,1,29854997.0,59210265.0,59200922.0,1.983261,0.0,0.0,20696.0,837640467,1410.6
0,4,blanket,serdit,0,1,1,1,31986046.0,59210265.0,59200922.0,1.851128,2776380.0,0.0,20696.0,837640467,1000.3
0,4,blanket,spec,0,1,1,1,31986046.0,59210265.0,59200922.0,1.851128,2776380.0,0.0,20696.0,837640467,1535.0
0,4,taint,serdit,0,1,1,1,29978434.0,59210265.0,59200922.0,1.975095,0.0,0.0,20696.0,837640467,1321.3
0,4,taint,spec,0,1,1,1,29938951.0,59210265.0,59200922.0,1.9777,0.0,0.0,20696.0,837640467,1637.2
1,0,base,serdit,0,1,1,1,30374963.0,59968327.0,59958958.0,1.974268,0.0,0.0,20736.0,837648726,1687.4
1,0,base,spec,0,1,1,1,30374963.0,59968327.0,59958958.0,1.974268,0.0,0.0,20736.0,837648726,1320.5
1,0,blanket,serdit,0,1,1,1,32276244.0,59968327.0,59958958.0,1.857971,3060843.0,0.0,20736.0,837648726,1428.8
1,0,blanket,spec,0,1,1,1,32276244.0,59968327.0,59958958.0,1.857971,3060843.0,0.0,20736.0,837648726,1284.3
1,0,taint,serdit,0,1,1,1,30261420.0,59968409.0,59959040.0,1.981679,111544.0,82.0,20818.0,837648726,1294.2
1,0,taint,spec,0,1,1,1,30246445.0,59968409.0,59959040.0,1.98266,111586.0,82.0,20736.0,837648726,1693.1
1,1,base,serdit,0,1,1,1,30478622.0,59968327.0,59958958.0,1.967554,0.0,0.0,20736.0,837648726,1767.1
1,1,base,spec,0,1,1,1,30478622.0,59968327.0,59958958.0,1.967554,0.0,0.0,20736.0,837648726,1286.6
1,1,blanket,serdit,0,1,1,1,32270169.0,59968327.0,59958958.0,1.858321,3062093.0,0.0,20736.0,837648726,1562.6
1,1,blanket,spec,0,1,1,1,32270169.0,59968327.0,59958958.0,1.858321,3062093.0,0.0,20736.0,837648726,1198.9
1,1,taint,serdit,0,1,1,1,30254978.0,59968409.0,59959040.0,1.982101,111635.0,82.0,20818.0,837648726,1181.9
1,1,taint,spec,0,1,1,1,30337420.0,59968409.0,59959040.0,1.976714,111590.0,82.0,20736.0,837648726,1303.0
1,2,base,serdit,0,1,1,1,30514395.0,59968327.0,59958958.0,1.965247,0.0,0.0,20736.0,837648726,1149.7
1,2,base,spec,0,1,1,1,30514395.0,59968327.0,59958958.0,1.965247,0.0,0.0,20736.0,837648726,1383.4
1,2,blanket,serdit,0,1,1,1,32290445.0,59968327.0,59958958.0,1.857154,3061692.0,0.0,20736.0,837648726,1032.2
1,2,blanket,spec,0,1,1,1,32290445.0,59968327.0,59958958.0,1.857154,3061692.0,0.0,20736.0,837648726,1184.5
1,2,taint,serdit,0,1,1,1,30260595.0,59968409.0,59959040.0,1.981733,111606.0,82.0,20818.0,837648726,1790.3
1,2,taint,spec,0,1,1,1,30306939.0,59968409.0,59959040.0,1.978702,111325.0,82.0,20736.0,837648726,1770.2
1,3,base,serdit,0,1,1,1,30423866.0,59968327.0,59958958.0,1.971095,0.0,0.0,20736.0,837648726,1392.5
1,3,base,spec,0,1,1,1,30423866.0,59968327.0,59958958.0,1.971095,0.0,0.0,20736.0,837648726,1434.7
1,3,blanket,serdit,0,1,1,1,32278717.0,59968327.0,59958958.0,1.857829,3061379.0,0.0,20736.0,837648726,1169.1
1,3,blanket,spec,0,1,1,1,32278717.0,59968327.0,59958958.0,1.857829,3061379.0,0.0,20736.0,837648726,1459.4
1,3,taint,serdit,0,1,1,1,30281369.0,59968409.0,59959040.0,1.980373,111567.0,82.0,20818.0,837648726,1638.0
1,3,taint,spec,0,1,1,1,30302975.0,59968409.0,59959040.0,1.978961,111343.0,82.0,20736.0,837648726,1556.0
1,4,base,serdit,0,1,1,1,30264725.0,59968327.0,59958958.0,1.98146,0.0,0.0,20736.0,837648726,1283.5
1,4,base,spec,0,1,1,1,30264725.0,59968327.0,59958958.0,1.98146,0.0,0.0,20736.0,837648726,1530.2
