arm,cfg,offset,rc,iter,warmup,targets,cycles,numInsts,simInsts,ipc,ditSuppressed,ditSwitches,commitNonSpecStalls,checksum,wall_s
base,spec,0,0,32,2,10,11566844.0,31355949.0,31355420.0,2.710847,0.0,0.0,2199.0,266486,
base,serdit,0,0,32,2,10,11566844.0,31355949.0,31355420.0,2.710847,0.0,0.0,2199.0,266486,
blanket,spec,0,0,32,2,10,11641673.0,31355949.0,31355420.0,2.693423,10784189.0,0.0,2199.0,266486,
blanket,serdit,0,0,32,2,10,11638529.0,31355949.0,31355420.0,2.694151,10783293.0,0.0,2199.0,266486,
taint,spec,0,0,32,2,10,11795351.0,31360571.0,31360042.0,2.658723,5267801.0,4622.0,2199.0,266486,
taint,serdit,0,0,32,2,10,11802628.0,31360571.0,31360042.0,2.657084,5198040.0,4622.0,6821.0,266486,
plain,spec,0,0,32,2,10,11316294.0,31295689.0,31295160.0,2.765542,0.0,0.0,2199.0,266486,
plain,serdit,0,0,32,2,10,11316294.0,31295689.0,31295160.0,2.765542,0.0,0.0,2199.0,266486,
base,spec,1,0,32,2,10,11487058.0,31355949.0,31355420.0,2.729676,0.0,0.0,2199.0,266486,317.0
base,serdit,1,0,32,2,10,11487058.0,31355949.0,31355420.0,2.729676,0.0,0.0,2199.0,266486,338.3
blanket,spec,1,0,32,2,10,11632105.0,31355949.0,31355420.0,2.695638,10777687.0,0.0,2199.0,266486,231.4
blanket,serdit,1,0,32,2,10,11639386.0,31355949.0,31355420.0,2.693952,10750669.0,0.0,2199.0,266486,237.9
taint,spec,1,0,32,2,10,11751233.0,31360571.0,31360042.0,2.668705,5260505.0,4622.0,2199.0,266486,299.8
taint,serdit,1,0,32,2,10,11960465.0,31360571.0,31360042.0,2.622019,5289040.0,4622.0,6821.0,266486,250.3
plain,spec,1,0,32,2,10,11309397.0,31295689.0,31295160.0,2.767229,0.0,0.0,2199.0,266486,258.0
plain,serdit,1,0,32,2,10,11309397.0,31295689.0,31295160.0,2.767229,0.0,0.0,2199.0,266486,324.9
base,spec,2,0,32,2,10,11498293.0,31355949.0,31355420.0,2.727009,0.0,0.0,2199.0,266486,214.8
base,serdit,2,0,32,2,10,11498293.0,31355949.0,31355420.0,2.727009,0.0,0.0,2199.0,266486,329.6
blanket,spec,2,0,32,2,10,11570481.0,31355949.0,31355420.0,2.709995,10773351.0,0.0,2199.0,266486,194.5
blanket,serdit,2,0,32,2,10,11639329.0,31355949.0,31355420.0,2.693965,10785990.0,0.0,2199.0,266486,259.4
taint,spec,2,0,32,2,10,11772747.0,31360571.0,31360042.0,2.663828,5270522.0,4622.0,2199.0,266486,197.0
taint,serdit,2,0,32,2,10,11879916.0,31360571.0,31360042.0,2.639797,5244053.0,4622.0,6821.0,266486,200.8
plain,spec,2,0,32,2,10,11320175.0,31295689.0,31295160.0,2.764594,0.0,0.0,2199.0,266486,271.6
plain,serdit,2,0,32,2,10,11320175.0,31295689.0,31295160.0,2.764594,0.0,0.0,2199.0,266486,324.6
base,spec,3,0,32,2,10,11480697.0,31355949.0,31355420.0,2.731189,0.0,0.0,2199.0,266486,328.4
base,serdit,3,0,32,2,10,11480697.0,31355949.0,31355420.0,2.731189,0.0,0.0,2199.0,266486,341.9
blanket,spec,3,0,32,2,10,11569309.0,31355949.0,31355420.0,2.71027,10775213.0,0.0,2199.0,266486,232.9
blanket,serdit,3,0,32,2,10,11560797.0,31355949.0,31355420.0,2.712265,10777319.0,0.0,2199.0,266486,240.7
taint,spec,3,0,32,2,10,11713151.0,31360571.0,31360042.0,2.677381,5279752.0,4622.0,2199.0,266486,201.9
taint,serdit,3,0,32,2,10,11782158.0,31360571.0,31360042.0,2.6617,5246994.0,4622.0,6821.0,266486,203.6
plain,spec,3,0,32,2,10,11308278.0,31295689.0,31295160.0,2.767503,0.0,0.0,2199.0,266486,293.5
plain,serdit,3,0,32,2,10,11308278.0,31295689.0,31295160.0,2.767503,0.0,0.0,2199.0,266486,306.1
base,spec,4,0,32,2,10,11482729.0,31355949.0,31355420.0,2.730705,0.0,0.0,2199.0,266486,287.6
base,serdit,4,0,32,2,10,11482729.0,31355949.0,31355420.0,2.730705,0.0,0.0,2199.0,266486,291.4
blanket,spec,4,0,32,2,10,11639209.0,31355949.0,31355420.0,2.693993,10783933.0,0.0,2199.0,266486,291.8
blanket,serdit,4,0,32,2,10,11638226.0,31355949.0,31355420.0,2.694221,10775298.0,0.0,2199.0,266486,264.0
taint,spec,4,0,32,2,10,11733154.0,31360571.0,31360042.0,2.672817,5277456.0,4622.0,2199.0,266486,255.1
taint,serdit,4,0,32,2,10,11778189.0,31360571.0,31360042.0,2.662597,5222319.0,4622.0,6821.0,266486,235.5
plain,spec,4,0,32,2,10,11384520.0,31295689.0,31295160.0,2.748969,0.0,0.0,2199.0,266486,213.5
plain,serdit,4,0,32,2,10,11384520.0,31295689.0,31295160.0,2.748969,0.0,0.0,2199.0,266486,222.0
