rep,inputs,arm,ns_per_op,err,probe_off,probe_on
0,1,null,15045764.93,0.7,0.2190,0.8705
0,1,always,15524785.31,0.3,0.2190,0.8705
0,1,pass,15145857.14,0.4,0.2190,0.8705
0,1,passnop,15005321.43,0.6,0.2190,0.8705
0,1,baseline2,15089181.57,0.7,0.2190,0.8705
0,1,pub_base,14447750.00,0.7,0.2190,0.8705
0,1,pub_always,19196275.00,2.9,0.2190,0.8705
0,1,baseline,15025282.71,0.8,0.2190,0.8705
0,4,null,15497863.07,0.6,0.2190,0.8705
0,4,always,16077368.00,0.7,0.2190,0.8705
0,4,pass,15594434.00,0.2,0.2190,0.8705
0,4,passnop,15658090.25,1.2,0.2190,0.8705
0,4,baseline2,15437653.85,0.5,0.2190,0.8705
0,4,pub_base,14717362.50,1.0,0.2190,0.8705
0,4,pub_always,14957857.58,0.4,0.2190,0.8705
0,4,baseline,15466006.92,0.7,0.2190,0.8705
0,100,null,27096557.25,0.5,0.2190,0.8705
0,100,always,27894607.14,0.1,0.2190,0.8705
0,100,pass,28522779.86,0.3,0.2190,0.8705
0,100,passnop,27489767.86,0.5,0.2190,0.8705
0,100,baseline2,27014364.62,0.3,0.2190,0.8705
0,100,pub_base,15002173.08,0.4,0.2190,0.8705
0,100,pub_always,15314041.67,0.6,0.2190,0.8705
0,100,baseline,26942968.75,0.3,0.2190,0.8705
0,400,null,63075694.33,0.3,0.2190,0.8705
0,400,always,65128375.00,0.3,0.2190,0.8705
0,400,pass,66419958.33,0.5,0.2190,0.8705
0,400,passnop,63422111.00,0.2,0.2190,0.8705
0,400,baseline2,63073389.00,0.3,0.2190,0.8705
0,400,pub_base,15596750.00,0.5,0.2190,0.8705
0,400,pub_always,16572027.75,0.6,0.2190,0.8705
0,400,baseline,62843125.00,0.2,0.2190,0.8705
1,1,always,15564223.21,0.4,0.2178,0.8700
1,1,pass,15171657.79,0.5,0.2178,0.8700
1,1,passnop,15201166.67,0.5,0.2178,0.8700
1,1,baseline2,15117300.57,0.4,0.2178,0.8700
1,1,pub_base,18566784.75,1.5,0.2178,0.8700
1,1,pub_always,15032605.77,0.6,0.2178,0.8700
1,1,baseline,15092170.17,1.0,0.2178,0.8700
1,1,null,15082897.46,0.4,0.2178,0.8700
1,4,always,16028559.00,0.3,0.2178,0.8700
