L,requests,secret_bytes,secret_op,f_secret_pct,model,arm,cycles,insts,ipc,cyc_per_request,ipc_ovh_pct,dit_writes,ditw_per_req,bracket_cyc_per_req,barrier_fused,rename_serializing,n_offsets
10,1500,64,aes256gcm,91.65,apple,base,1708629,1827020,1.0693,1139.1,0.0,0,0.0,-5.0,0,0,5
10,1500,64,aes256gcm,91.65,apple,blanket,1702674,1827020,1.073,1135.1,-0.35,0,0.0,-9.0,0,0,5
10,1500,64,aes256gcm,91.65,apple,api,2025056,1857020,0.917,1350.0,16.6,3000,2.0,205.9,0,3001,5
10,1500,64,aes256gcm,91.65,apple,apinop,1716142,1857020,1.0821,1144.1,-1.18,0,0.0,0.0,0,0,5
10,1500,64,aes256gcm,91.65,expedite,base,1708629,1827020,1.0693,1139.1,0.0,0,0.0,-5.0,0,0,5
10,1500,64,aes256gcm,91.65,expedite,blanket,1702674,1827020,1.073,1135.1,-0.35,0,0.0,-9.0,0,0,5
10,1500,64,aes256gcm,91.65,expedite,api,1717658,1857020,1.0811,1145.1,-1.1,3000,2.0,1.0,1501,0,5
10,1500,64,aes256gcm,91.65,expedite,apinop,1716142,1857020,1.0821,1144.1,-1.18,0,0.0,0.0,0,0,5
30,1400,64,aes256gcm,78.74,apple,base,1879772,2097220,1.1157,1342.7,0.0,0,0.0,-20.6,0,0,5
30,1400,64,aes256gcm,78.74,apple,blanket,2121258,2097220,0.9887,1515.2,12.85,0,0.0,151.9,0,0,5
30,1400,64,aes256gcm,78.74,apple,api,2365604,2125220,0.8984,1689.7,24.19,2800,2.0,326.5,0,2801,5
30,1400,64,aes256gcm,78.74,apple,apinop,1908561,2125220,1.1135,1363.3,0.19,0,0.0,0.0,0,0,5
30,1400,64,aes256gcm,78.74,expedite,base,1879772,2097220,1.1157,1342.7,0.0,0,0.0,-20.6,0,0,5
30,1400,64,aes256gcm,78.74,expedite,blanket,2121258,2097220,0.9887,1515.2,12.85,0,0.0,151.9,0,0,5
30,1400,64,aes256gcm,78.74,expedite,api,1944033,2125220,1.0932,1388.6,2.06,2800,2.0,25.3,1401,0,5
30,1400,64,aes256gcm,78.74,expedite,apinop,1908561,2125220,1.1135,1363.3,0.19,0,0.0,0.0,0,0,5
50,1300,64,aes256gcm,63.31,apple,base,2198154,2311420,1.0515,1690.9,0.0,0,0.0,-19.4,0,0,5
50,1300,64,aes256gcm,63.31,apple,blanket,2572952,2311420,0.8984,1979.2,17.05,0,0.0,268.9,0,0,5
50,1300,64,aes256gcm,63.31,apple,api,2643095,2337420,0.8843,2033.2,18.9,2600,2.0,322.9,0,2601,5
50,1300,64,aes256gcm,63.31,apple,apinop,2223357,2337420,1.0513,1710.3,0.02,0,0.0,0.0,0,0,5
50,1300,64,aes256gcm,63.31,expedite,base,2198154,2311420,1.0515,1690.9,0.0,0,0.0,-19.4,0,0,5
50,1300,64,aes256gcm,63.31,expedite,blanket,2572952,2311420,0.8984,1979.2,17.05,0,0.0,268.9,0,0,5
50,1300,64,aes256gcm,63.31,expedite,api,2260580,2337420,1.034,1738.9,1.7,2600,2.0,28.6,1301,0,5
50,1300,64,aes256gcm,63.31,expedite,apinop,2223357,2337420,1.0513,1710.3,0.02,0,0.0,0.0,0,0,5
100,1000,64,aes256gcm,42.42,apple,base,2550348,2476020,0.9709,2550.3,0.0,0,0.0,-12.2,0,0,5
100,1000,64,aes256gcm,42.42,apple,blanket,3107545,2476020,0.7968,3107.5,21.85,0,0.0,545.0,0,0,5
100,1000,64,aes256gcm,42.42,apple,api,2881943,2496020,0.8661,2881.9,12.1,2000,2.0,319.4,0,2001,5
100,1000,64,aes256gcm,42.42,apple,apinop,2562569,2496020,0.974,2562.6,-0.33,0,0.0,0.0,0,0,5
100,1000,64,aes256gcm,42.42,expedite,base,2550348,2476020,0.9709,2550.3,0.0,0,0.0,-12.2,0,0,5
100,1000,64,aes256gcm,42.42,expedite,blanket,3107545,2476020,0.7968,3107.5,21.85,0,0.0,545.0,0,0,5
100,1000,64,aes256gcm,42.42,expedite,api,2579254,2496020,0.9677,2579.3,0.32,2000,2.0,16.7,1001,0,5
100,1000,64,aes256gcm,42.42,expedite,apinop,2562569,2496020,0.974,2562.6,-0.33,0,0.0,0.0,0,0,5
200,700,64,aes256gcm,25.61,apple,base,2984215,2713220,0.9092,4263.2,0.0,0,0.0,3.5,0,0,5
200,700,64,aes256gcm,25.61,apple,blanket,3745945,2713220,0.7243,5351.4,25.53,0,0.0,1091.7,0,0,5
200,700,64,aes256gcm,25.61,apple,api,3227316,2727220,0.845,4610.5,7.59,1400,2.0,350.8,0,1401,5
200,700,64,aes256gcm,25.61,apple,apinop,2981735,2727220,0.9146,4259.6,-0.6,0,0.0,0.0,0,0,5
200,700,64,aes256gcm,25.61,expedite,base,2984215,2713220,0.9092,4263.2,0.0,0,0.0,3.5,0,0,5
200,700,64,aes256gcm,25.61,expedite,blanket,3745945,2713220,0.7243,5351.4,25.53,0,0.0,1091.7,0,0,5
200,700,64,aes256gcm,25.61,expedite,api,2988609,2727220,0.9125,4269.4,-0.37,1400,2.0,9.8,701,0,5
200,700,64,aes256gcm,25.61,expedite,apinop,2981735,2727220,0.9146,4259.6,-0.6,0,0.0,0.0,0,0,5
1000,200,64,aes256gcm,6.0,apple,base,3588136,3015220,0.8403,17940.7,0.0,0,0.0,-70.5,0,0,5
1000,200,64,aes256gcm,6.0,apple,blanket,4670445,3015220,0.6456,23352.2,30.16,0,0.0,5341.0,0,0,5
1000,200,64,aes256gcm,6.0,apple,api,3650265,3019220,0.8271,18251.3,1.6,400,2.0,240.1,0,401,5
1000,200,64,aes256gcm,6.0,apple,apinop,3602242,3019220,0.8382,18011.2,0.26,0,0.0,0.0,0,0,5
1000,200,64,aes256gcm,6.0,expedite,base,3588136,3015220,0.8403,17940.7,0.0,0,0.0,-70.5,0,0,5
1000,200,64,aes256gcm,6.0,expedite,blanket,4670445,3015220,0.6456,23352.2,30.16,0,0.0,5341.0,0,0,5
1000,200,64,aes256gcm,6.0,expedite,api,3601158,3019220,0.8384,18005.8,0.23,400,2.0,-5.4,201,0,5
1000,200,64,aes256gcm,6.0,expedite,apinop,3602242,3019220,0.8382,18011.2,0.26,0,0.0,0.0,0,0,5
5000,50,64,aes256gcm,1.12,apple,base,4317292,3553820,0.8232,86345.8,0.0,0,0.0,119.1,0,0,5
5000,50,64,aes256gcm,1.12,apple,blanket,5667795,3553820,0.627,113355.9,31.28,0,0.0,27129.2,0,0,5
5000,50,64,aes256gcm,1.12,apple,api,4324403,3554820,0.822,86488.1,0.14,100,2.0,261.3,0,101,5
5000,50,64,aes256gcm,1.12,apple,apinop,4311336,3554820,0.8245,86226.7,-0.17,0,0.0,0.0,0,0,5
5000,50,64,aes256gcm,1.12,expedite,base,4317292,3553820,0.8232,86345.8,0.0,0,0.0,119.1,0,0,5
5000,50,64,aes256gcm,1.12,expedite,blanket,5667795,3553820,0.627,113355.9,31.28,0,0.0,27129.2,0,0,5
5000,50,64,aes256gcm,1.12,expedite,api,4329269,3554820,0.8211,86585.4,0.25,100,2.0,358.7,51,0,5
5000,50,64,aes256gcm,1.12,expedite,apinop,4311336,3554820,0.8245,86226.7,-0.17,0,0.0,0.0,0,0,5
20000,14,64,aes256gcm,0.65,apple,base,4807484,3935084,0.8185,343391.7,0.0,0,0.0,-943.1,0,0,5
20000,14,64,aes256gcm,0.65,apple,blanket,6312019,3935084,0.6234,450858.5,31.3,0,0.0,106523.7,0,0,5
20000,14,64,aes256gcm,0.65,apple,api,4793906,3935364,0.8209,342421.9,-0.29,28,2.0,-1912.9,0,29,5
20000,14,64,aes256gcm,0.65,apple,apinop,4820687,3935364,0.8163,344334.8,0.27,0,0.0,0.0,0,0,5
20000,14,64,aes256gcm,0.65,expedite,base,4807484,3935084,0.8185,343391.7,0.0,0,0.0,-943.1,0,0,5
20000,14,64,aes256gcm,0.65,expedite,blanket,6312019,3935084,0.6234,450858.5,31.3,0,0.0,106523.7,0,0,5
20000,14,64,aes256gcm,0.65,expedite,api,4805349,3935364,0.819,343239.2,-0.05,28,2.0,-1095.6,15,0,5
20000,14,64,aes256gcm,0.65,expedite,apinop,4820687,3935364,0.8163,344334.8,0.27,0,0.0,0.0,0,0,5
