# provenance: run 2026-09-03 on an aarch64 Linux host (Neoverse-N1, native static build, no sysroot); gem5-DIT 6608290fbd with the signed_lookup rig changes of 2026-09-03; clang from llvm-data-independent-timing 2049d4d4e9b2 build; libsodium 1.0.21 with the CIO chacha20_ref.c rename patch; gem5.fast built 2026-09-02 01:12.
# RETIRED SECRET OP: ed25519 crypto_sign (wrapper, tail calls disabled) on the ORIGINAL collapsing chain, 5 stack offsets. Serialising vs renamed is within noise at 52 switches per 74k-cycle signature; the reason the secret op became the AEAD.
# gem5 Neoverse-V2 FDP, --eves --dmp --comp-simp, gem5.fast. Full flow (lookups + one signature),
# driver calling the crypto_sign wrapper; pass library built with -fno-optimize-sibling-calls.
# switch=serialising is --no-speculative-dit. dit_writes is commit.ditWrites (committed mode writes).
# f_secret_pct = (full - nosign) / full on the nodit arm's cycles, same iter.
# cycles = median over 5 stack offset(s) (argv[0] lengths); spread_pct = (max-min)/median across them.
L,f_secret_pct,arm,switch,cycles,insts,ipc,vs_base_pct,dit_writes,requests,n_offsets,spread_pct
500,96.0,nodit,-,2900437,6269622,2.162,0.00,0,37,5,6.11
500,96.0,blanket,-,2820403,6269622,2.223,-2.76,0,37,5,11.76
500,96.0,pass,renamed,2824969,6272434,2.220,-2.60,1924,37,5,3.89
500,96.0,pass,serialising,2882545,6272434,2.176,-0.62,1924,37,5,2.87
5000,71.7,nodit,-,3311258,6430377,1.942,0.00,0,32,5,7.94
5000,71.7,blanket,-,4527164,6430377,1.420,36.72,0,32,5,3.72
5000,71.7,pass,renamed,3286716,6432809,1.957,-0.74,1664,32,5,8.68
5000,71.7,pass,serialising,3336216,6432809,1.928,0.75,1664,32,5,3.46
20000,40.6,nodit,-,4478745,7036836,1.571,0.00,0,23,5,2.80
20000,40.6,blanket,-,8006567,7036836,0.879,78.77,0,23,5,0.33
20000,40.6,pass,renamed,4378705,7038584,1.607,-2.23,1196,23,5,16.42
20000,40.6,pass,serialising,4371876,7038584,1.610,-2.39,1196,23,5,6.83
60000,21.7,nodit,-,5700441,7617346,1.336,0.00,0,13,5,1.14
60000,21.7,blanket,-,11806047,7617346,0.645,107.11,0,13,5,0.13
60000,21.7,pass,renamed,5488751,7618334,1.388,-3.71,676,13,5,2.25
60000,21.7,pass,serialising,5411570,7618334,1.408,-5.07,676,13,5,5.83
150000,10.8,nodit,-,5891051,7295703,1.238,0.00,0,6,5,1.81
150000,10.8,blanket,-,13009257,7295703,0.561,120.83,0,6,5,0.19
150000,10.8,pass,renamed,5755095,7296159,1.268,-2.31,312,6,5,1.13
150000,10.8,pass,serialising,5518859,7296159,1.322,-6.32,312,6,5,6.96
300000,7.0,nodit,-,7552227,9063805,1.200,0.00,0,4,5,1.73
300000,7.0,blanket,-,17076934,9063805,0.531,126.12,0,4,5,0.09
300000,7.0,pass,renamed,7398394,9064109,1.225,-2.04,208,4,5,1.19
300000,7.0,pass,serialising,6869273,9064109,1.320,-9.04,208,4,5,9.81
