# Experiment 02, finer interleaving: --chunks N splits each request into N pieces (L/N lookups, then a 100/N-byte AEAD under its own nonce), N in 1,2,5,10,25 at L=200 and L=1000; the same five arms as gem5_arms_four_arms.csv (base, blanket, api = Apple bracket, apinop = its NOP twin, pass = ExpeDITe at the shipped defaults), 2026-09-05, five stack offsets, 500 runs, all gates pass but the known L-independent base-model wobble.
# docs: paper_experiments/02-libsodium-signed-lookup/README.md, 'Finer interleaving'.
# gem5 Neoverse-V2 FDP, --eves --dmp --comp-simp, gem5.fast. Full flow (lookups + one chacha20-poly1305 AEAD encrypt of a 100-byte record),
# CIO-parity seeds with the chacha rename patch; pass library built with -fno-optimize-sibling-calls.
# switch=serialising is --no-speculative-dit. dit_writes is commit.ditWrites (committed mode writes).
# f_secret_pct = (full - nosign) / full on the nodit arm's cycles, same iter.
# cycles = median over 5 stack offset(s) (argv[0] lengths); spread_pct = (max-min)/median across them.
L,pred_q4,f_secret_pct,arm,switch,cycles,insts,ipc,vs_base_pct,dit_writes,requests,n_offsets,spread_pct,chunks
200,3,45.4,nodit,-,7364637,9758700,1.325,0.00,0,1270,5,1.09,1
200,3,45.4,blanket,-,8768086,9758700,1.113,19.06,0,1270,5,0.71,1
200,3,45.4,api,renamed,7397877,9784100,1.323,0.45,2540,1270,5,0.11,1
200,3,45.4,api,serialising,7440040,9784100,1.315,1.02,2540,1270,5,0.11,1
200,3,45.4,apinop,-,7365850,9784100,1.328,0.02,0,1270,5,0.96,1
200,3,45.4,pass,renamed,7429774,9884430,1.330,0.88,48260,1270,5,1.97,1
200,3,45.4,pass,serialising,8380816,9884430,1.179,13.80,48260,1270,5,0.07,1
200,3,56.2,nodit,-,8428658,12807970,1.520,0.00,0,1270,5,0.55,2
200,3,56.2,blanket,-,9895782,12807970,1.294,17.41,0,1270,5,0.17,2
200,3,56.2,api,renamed,8545167,12838450,1.502,1.38,5080,1270,5,0.25,2
200,3,56.2,api,serialising,8641136,12838450,1.486,2.52,5080,1270,5,0.51,2
200,3,56.2,apinop,-,8642320,12838450,1.486,2.53,0,1270,5,0.87,2
200,3,56.2,pass,renamed,8630736,13059430,1.513,2.40,96520,1270,5,0.10,2
200,3,56.2,pass,serialising,10820629,13059430,1.207,28.38,96520,1270,5,0.13,2
200,3,81.6,nodit,-,14323975,25955010,1.812,0.00,0,1270,5,1.30,5
200,3,81.6,blanket,-,15776598,25955010,1.645,10.14,0,1270,5,0.05,5
200,3,81.6,api,renamed,14627893,26031210,1.780,2.12,12700,1270,5,0.06,5
200,3,81.6,api,serialising,14892622,26031210,1.748,3.97,12700,1270,5,0.27,5
200,3,81.6,apinop,-,14758036,26031210,1.764,3.03,0,1270,5,1.06,5
200,3,81.6,pass,renamed,14827825,26583660,1.793,3.52,241300,1270,5,0.15,5
200,3,81.6,pass,serialising,20138526,26583660,1.320,40.59,241300,1270,5,0.13,5
200,3,90.3,nodit,-,23738498,46833810,1.973,0.00,0,1270,5,0.74,10
200,3,90.3,blanket,-,25608531,46833810,1.829,7.88,0,1270,5,0.56,10
200,3,90.3,api,renamed,24459738,46986210,1.921,3.04,25400,1270,5,0.18,10
200,3,90.3,api,serialising,24995938,46986210,1.880,5.30,25400,1270,5,0.07,10
200,3,90.3,apinop,-,24384598,46986210,1.927,2.72,0,1270,5,0.61,10
200,3,90.3,pass,renamed,24782204,48091110,1.941,4.40,482600,1270,5,0.26,10
200,3,90.3,pass,serialising,35478498,48091110,1.356,49.46,482600,1270,5,0.16,10
200,3,96.9,nodit,-,55053538,111146610,2.019,0.00,0,1270,5,4.69,25
200,3,96.9,blanket,-,56376619,111146610,1.972,2.40,0,1270,5,1.09,25
200,3,96.9,api,renamed,54227591,111527610,2.057,-1.50,63500,1270,5,0.06,25
200,3,96.9,api,serialising,55525964,111527610,2.009,0.86,63500,1270,5,0.00,25
200,3,96.9,apinop,-,54461026,111527610,2.048,-1.08,0,1270,5,1.99,25
200,3,96.9,pass,renamed,55402253,114289860,2.063,0.63,1206500,1270,5,0.00,25
200,3,96.9,pass,serialising,81969564,114289860,1.394,48.89,1206500,1270,5,0.51,25
1000,3,13.5,nodit,-,13102684,12652300,0.966,0.00,0,670,5,0.39,1
1000,3,13.5,blanket,-,16663532,12652300,0.759,27.18,0,670,5,0.16,1
1000,3,13.5,api,renamed,13113014,12665700,0.966,0.08,1340,670,5,0.56,1
1000,3,13.5,api,serialising,13099785,12665700,0.967,-0.02,1340,670,5,0.50,1
1000,3,13.5,apinop,-,13106132,12665700,0.966,0.03,0,670,5,0.30,1
1000,3,13.5,pass,renamed,13077994,12718630,0.973,-0.19,25460,670,5,0.25,1
1000,3,13.5,pass,serialising,13592891,12718630,0.936,3.74,25460,670,5,0.30,1
1000,3,18.7,nodit,-,13685452,14260970,1.042,0.00,0,670,5,0.49,2
1000,3,18.7,blanket,-,17301520,14260970,0.824,26.42,0,670,5,0.19,2
1000,3,18.7,api,renamed,13711696,14277050,1.041,0.19,2680,670,5,0.16,2
1000,3,18.7,api,serialising,13753755,14277050,1.038,0.50,2680,670,5,0.09,2
1000,3,18.7,apinop,-,13777643,14277050,1.036,0.67,0,670,5,0.39,2
1000,3,18.7,pass,renamed,13787396,14393630,1.044,0.74,50920,670,5,0.27,2
1000,3,18.7,pass,serialising,14936748,14393630,0.964,9.14,50920,670,5,0.20,2
1000,3,37.0,nodit,-,16755729,21196810,1.265,0.00,0,670,5,0.61,5
1000,3,37.0,blanket,-,20416991,21196810,1.038,21.85,0,670,5,0.06,5
1000,3,37.0,api,renamed,16907037,21237010,1.256,0.90,6700,670,5,0.43,5
1000,3,37.0,api,serialising,17073127,21237010,1.244,1.89,6700,670,5,0.37,5
1000,3,37.0,apinop,-,16925027,21237010,1.255,1.01,0,670,5,0.82,5
1000,3,37.0,pass,renamed,17050624,21528460,1.263,1.76,127300,670,5,0.23,5
1000,3,37.0,pass,serialising,19862294,21528460,1.084,18.54,127300,670,5,0.28,5
1000,3,55.6,nodit,-,21807704,32211610,1.477,0.00,0,670,5,0.58,10
1000,3,55.6,blanket,-,25643748,32211610,1.256,17.59,0,670,5,0.15,10
1000,3,55.6,api,renamed,22056624,32292010,1.464,1.14,13400,670,5,0.06,10
1000,3,55.6,api,serialising,22303089,32292010,1.448,2.27,13400,670,5,0.15,10
1000,3,55.6,apinop,-,22046646,32292010,1.465,1.10,0,670,5,0.73,10
1000,3,55.6,pass,renamed,22303029,32874910,1.474,2.27,254600,670,5,0.09,10
