# Experiment 02, canonical lane, the pass arm built with INTRA-BLOCK placement (-taint-dit-sub-block, the default since 2026-09-05), 2026-09-05.
# Same driver, seeds (round-11 fixpoint), owned list, runner and gates as gem5_arms.csv. docs/results/dit-intra-block-default-2026-09-05.md.
# gem5 Neoverse-V2 FDP, --eves --dmp --comp-simp, gem5.fast. Full flow (lookups + one chacha20-poly1305 AEAD encrypt of a 100-byte record),
# CIO-parity seeds with the chacha rename patch; pass library built with -fno-optimize-sibling-calls.
# switch=serialising is --no-speculative-dit. dit_writes is commit.ditWrites (committed mode writes).
# f_secret_pct = (full - nosign) / full on the nodit arm's cycles, same iter.
# cycles = median over 5 stack offset(s) (argv[0] lengths); spread_pct = (max-min)/median across them.
L,pred_q4,f_secret_pct,arm,switch,cycles,insts,ipc,vs_base_pct,dit_writes,requests,n_offsets,spread_pct
10,3,96.8,nodit,-,3977649,7980810,2.006,0.00,0,1600,5,2.28
10,3,96.8,blanket,-,4281549,7980810,1.864,7.64,0,1600,5,0.18
10,3,96.8,pass,renamed,4064397,8139210,2.003,2.18,60800,1600,5,1.50
10,3,96.8,pass,serialising,5356420,8139210,1.520,34.66,60800,1600,5,0.11
50,3,81.2,nodit,-,4761593,8322010,1.748,0.00,0,1500,5,1.25
50,3,81.2,blanket,-,5362933,8322010,1.552,12.63,0,1500,5,0.58
50,3,81.2,pass,renamed,4816482,8470510,1.759,1.15,57000,1500,5,0.83
50,3,81.2,pass,serialising,6051621,8470510,1.400,27.09,57000,1500,5,0.07
200,3,45.0,nodit,-,7294186,9710430,1.331,0.00,0,1270,5,1.22
200,3,45.0,blanket,-,8770914,9710430,1.107,20.25,0,1270,5,0.63
200,3,45.0,pass,renamed,7480749,9836160,1.315,2.56,48260,1270,5,0.61
200,3,45.0,pass,serialising,8387320,9836160,1.173,14.99,48260,1270,5,0.12
1000,3,13.1,nodit,-,13059685,12626830,0.967,0.00,0,670,5,0.21
1000,3,13.1,blanket,-,16685900,12626830,0.757,27.77,0,670,5,0.21
1000,3,13.1,pass,renamed,13146135,12693160,0.966,0.66,25460,670,5,0.91
1000,3,13.1,pass,serialising,13614373,12693160,0.932,4.25,25460,670,5,0.09
5000,3,2.6,nodit,-,17619689,14969210,0.850,0.00,0,200,5,1.12
5000,3,2.6,blanket,-,22988060,14969210,0.651,30.47,0,200,5,0.04
5000,3,2.6,pass,renamed,17626872,14989010,0.850,0.04,7600,200,5,1.04
5000,3,2.6,pass,serialising,17781103,14989010,0.843,0.92,7600,200,5,0.35
20000,3,0.6,nodit,-,18943759,15666540,0.827,0.00,0,55,5,1.36
20000,3,0.6,blanket,-,24883971,15666540,0.630,31.36,0,55,5,0.00
20000,3,0.6,pass,renamed,18992749,15671985,0.825,0.26,2090,55,5,1.25
20000,3,0.6,pass,serialising,19037238,15671985,0.823,0.49,2090,55,5,1.50
