# provenance: run 2026-09-06 on aarch64 Linux (beckham), native static build; gem5-DIT ce05d32089; clang from llvm-data-independent-timing c733b86567bb (/home/rgangar/.treehouse/llvm-data-independent-timing-7b712d/7/llvm-data-independent-timing/build); gem5.fast built 2026-09-06 13:36 ; WORK=/home/rgangar/Documents/signed_lookup-gem5-20260906
# Pure hashed chase, q=0 (no LVP-predictable loads): blanket is free on the public lane.
# gem5 Neoverse-V2 FDP, --eves --dmp --comp-simp, gem5.fast. Full flow (lookups + one chacha20-poly1305 AEAD encrypt of a 100-byte record),
# CIO-parity seeds with the chacha rename patch; pass library built with -fno-optimize-sibling-calls.
# switch=serialising is --no-speculative-dit. dit_writes is commit.ditWrites (committed mode writes).
# f_secret_pct = (full - nosign) / full on the nodit arm's cycles, same iter.
# cycles = median over 5 stack offset(s) (argv[0] lengths); spread_pct = (max-min)/median across them.
L,pred_q4,f_secret_pct,arm,switch,cycles,insts,ipc,vs_base_pct,dit_writes,requests,n_offsets,spread_pct,chunks
10,0,96.5,nodit,-,4052597,7990420,1.972,0.00,0,1600,5,4.35,1
10,0,96.5,blanket,-,3961742,7990420,2.017,-2.24,0,1600,5,0.79,1
10,0,96.5,api,renamed,4102942,8022420,1.955,1.24,3200,1600,5,0.05,1
10,0,96.5,api,serialising,4170808,8022420,1.923,2.92,3200,1600,5,0.03,1
10,0,96.5,apinop,-,4097910,8022420,1.958,1.12,0,1600,5,2.76,1
10,0,96.5,pass,renamed,4100757,8139220,1.985,1.19,51200,1600,5,1.93,1
10,0,96.5,pass,serialising,5137022,8139220,1.584,26.76,51200,1600,5,0.12,1
50,0,84.2,nodit,-,4664668,8151020,1.747,0.00,0,1500,5,2.45,1
50,0,84.2,blanket,-,4711114,8151020,1.730,1.00,0,1500,5,1.45,1
50,0,84.2,api,renamed,4741427,8181020,1.725,1.65,3000,1500,5,0.14,1
50,0,84.2,api,serialising,4798201,8181020,1.705,2.86,3000,1500,5,0.14,1
50,0,84.2,apinop,-,4732639,8181020,1.729,1.46,0,1500,5,1.13,1
50,0,84.2,pass,renamed,4741061,8290520,1.749,1.64,48000,1500,5,2.33,1
50,0,84.2,pass,serialising,5731576,8290520,1.446,22.87,48000,1500,5,0.54,1
200,0,48.8,nodit,-,6834424,8996700,1.316,0.00,0,1270,5,0.57,1
200,0,48.8,blanket,-,6844978,8996700,1.314,0.15,0,1270,5,0.79,1
200,0,48.8,api,renamed,6870688,9022100,1.313,0.53,2540,1270,5,0.09,1
200,0,48.8,api,serialising,6920683,9022100,1.304,1.26,2540,1270,5,0.19,1
200,0,48.8,apinop,-,6872587,9022100,1.313,0.56,0,1270,5,0.49,1
200,0,48.8,pass,renamed,6962350,9114810,1.309,1.87,40640,1270,5,1.38,1
200,0,48.8,pass,serialising,7698266,9114810,1.184,12.64,40640,1270,5,0.70,1
1000,0,15.0,nodit,-,11632296,10642300,0.915,0.00,0,670,5,0.46,1
1000,0,15.0,blanket,-,11634118,10642300,0.915,0.02,0,670,5,0.06,1
1000,0,15.0,api,renamed,11665120,10655700,0.913,0.28,1340,670,5,0.07,1
1000,0,15.0,api,serialising,11692511,10655700,0.911,0.52,1340,670,5,0.06,1
1000,0,15.0,apinop,-,11674566,10655700,0.913,0.36,0,670,5,0.32,1
1000,0,15.0,pass,renamed,11644811,10704610,0.919,0.11,21440,670,5,0.31,1
1000,0,15.0,pass,serialising,12103575,10704610,0.884,4.05,21440,670,5,0.02,1
5000,0,3.4,nodit,-,15470998,11976820,0.774,0.00,0,200,5,0.08,1
5000,0,3.4,blanket,-,15479670,11976820,0.774,0.06,0,200,5,0.05,1
5000,0,3.4,api,renamed,15481903,11980820,0.774,0.07,400,200,5,0.01,1
5000,0,3.4,api,serialising,15490450,11980820,0.773,0.13,400,200,5,0.01,1
5000,0,3.4,apinop,-,15490535,11980820,0.773,0.13,0,200,5,0.09,1
5000,0,3.4,pass,renamed,15471996,11995420,0.775,0.01,6400,200,5,0.05,1
5000,0,3.4,pass,serialising,15614218,11995420,0.768,0.93,6400,200,5,0.01,1
20000,0,0.9,nodit,-,16632055,12368640,0.744,0.00,0,55,5,0.02,1
20000,0,0.9,blanket,-,16632601,12368640,0.744,0.00,0,55,5,0.01,1
20000,0,0.9,api,renamed,16632376,12369740,0.744,0.00,110,55,5,0.00,1
20000,0,0.9,api,serialising,16634821,12369740,0.744,0.02,110,55,5,0.00,1
20000,0,0.9,apinop,-,16632944,12369740,0.744,0.01,0,55,5,0.03,1
20000,0,0.9,pass,renamed,16631125,12373755,0.744,-0.01,1760,55,5,0.01,1
20000,0,0.9,pass,serialising,16668941,12373755,0.742,0.22,1760,55,5,0.00,1
