# provenance: run 2026-09-06 on aarch64 Linux (beckham), native static build; gem5-DIT ce05d32089; clang from llvm-data-independent-timing c733b86567bb (/home/rgangar/.treehouse/llvm-data-independent-timing-7b712d/7/llvm-data-independent-timing/build); gem5.fast built 2026-09-06 13:36 ; WORK=/home/rgangar/Documents/signed_lookup-gem5-20260906
# Full L sweep at q=0.5 (pred_q4=2).
# gem5 Neoverse-V2 FDP, --eves --dmp --comp-simp, gem5.fast. Full flow (lookups + one chacha20-poly1305 AEAD encrypt of a 100-byte record),
# CIO-parity seeds with the chacha rename patch; pass library built with -fno-optimize-sibling-calls.
# switch=serialising is --no-speculative-dit. dit_writes is commit.ditWrites (committed mode writes).
# f_secret_pct = (full - nosign) / full on the nodit arm's cycles, same iter.
# cycles = median over 5 stack offset(s) (argv[0] lengths); spread_pct = (max-min)/median across them.
L,pred_q4,f_secret_pct,arm,switch,cycles,insts,ipc,vs_base_pct,dit_writes,requests,n_offsets,spread_pct,chunks
10,2,96.5,nodit,-,4000276,8028820,2.007,0.00,0,1600,5,3.36,1
10,2,96.5,blanket,-,3969641,8028820,2.023,-0.77,0,1600,5,0.76,1
10,2,96.5,api,renamed,4079999,8060820,1.976,1.99,3200,1600,5,0.03,1
10,2,96.5,api,serialising,4145509,8060820,1.944,3.63,3200,1600,5,0.05,1
10,2,96.5,apinop,-,4055131,8060820,1.988,1.37,0,1600,5,2.66,1
10,2,96.5,pass,renamed,4110737,8177620,1.989,2.76,51200,1600,5,0.10,1
10,2,96.5,pass,serialising,5125636,8177620,1.595,28.13,51200,1600,5,0.07,1
50,2,81.8,nodit,-,4730575,8307020,1.756,0.00,0,1500,5,1.62,1
50,2,81.8,blanket,-,5119060,8307020,1.623,8.21,0,1500,5,2.25,1
50,2,81.8,api,renamed,4793936,8337020,1.739,1.34,3000,1500,5,0.03,1
50,2,81.8,api,serialising,4839137,8337020,1.723,2.29,3000,1500,5,0.35,1
50,2,81.8,apinop,-,4814128,8337020,1.732,1.77,0,1500,5,0.93,1
50,2,81.8,pass,renamed,4796629,8446520,1.761,1.40,48000,1500,5,1.92,1
50,2,81.8,pass,serialising,5772216,8446520,1.463,22.02,48000,1500,5,0.26,1
200,2,46.4,nodit,-,7101812,9504700,1.338,0.00,0,1270,5,0.60,1
200,2,46.4,blanket,-,8064460,9504700,1.179,13.55,0,1270,5,0.02,1
200,2,46.4,api,renamed,7151539,9530100,1.333,0.70,2540,1270,5,0.07,1
200,2,46.4,api,serialising,7193687,9530100,1.325,1.29,2540,1270,5,0.05,1
200,2,46.4,apinop,-,7108512,9530100,1.341,0.09,0,1270,5,0.68,1
200,2,46.4,pass,renamed,7129011,9622810,1.350,0.38,40640,1270,5,1.61,1
200,2,46.4,pass,serialising,7972740,9622810,1.207,12.26,40640,1270,5,0.02,1
1000,2,14.0,nodit,-,12327649,11982300,0.972,0.00,0,670,5,0.26,1
1000,2,14.0,blanket,-,15032971,11982300,0.797,21.95,0,670,5,0.08,1
1000,2,14.0,api,renamed,12340428,11995700,0.972,0.10,1340,670,5,0.12,1
1000,2,14.0,api,serialising,12367828,11995700,0.970,0.33,1340,670,5,0.09,1
1000,2,14.0,apinop,-,12352585,11995700,0.971,0.20,0,670,5,0.26,1
1000,2,14.0,pass,renamed,12341166,12044610,0.976,0.11,21440,670,5,0.49,1
1000,2,14.0,pass,serialising,12798853,12044610,0.941,3.82,21440,670,5,0.43,1
5000,2,3.1,nodit,-,16466052,13976820,0.849,0.00,0,200,5,0.09,1
5000,2,3.1,blanket,-,20502587,13976820,0.682,24.51,0,200,5,0.02,1
5000,2,3.1,api,renamed,16470223,13980820,0.849,0.03,400,200,5,0.02,1
5000,2,3.1,api,serialising,16478688,13980820,0.848,0.08,400,200,5,0.06,1
5000,2,3.1,apinop,-,16479910,13980820,0.848,0.08,0,200,5,0.07,1
5000,2,3.1,pass,renamed,16477260,13995420,0.849,0.07,6400,200,5,0.08,1
5000,2,3.1,pass,serialising,16613127,13995420,0.842,0.89,6400,200,5,0.21,1
20000,2,0.8,nodit,-,17714686,14568640,0.822,0.00,0,55,5,0.07,1
20000,2,0.8,blanket,-,22156508,14568640,0.658,25.07,0,55,5,0.04,1
20000,2,0.8,api,renamed,17713419,14569740,0.823,-0.01,110,55,5,0.16,1
20000,2,0.8,api,serialising,17715370,14569740,0.822,0.00,110,55,5,0.03,1
20000,2,0.8,apinop,-,17717382,14569740,0.822,0.02,0,55,5,0.02,1
20000,2,0.8,pass,renamed,17717096,14573755,0.823,0.01,1760,55,5,0.10,1
20000,2,0.8,pass,serialising,17756027,14573755,0.821,0.23,1760,55,5,0.18,1
