# Experiment 02, canonical lane, the pass arm built with the NARROWING twins (-taint-dit-twin-narrow at the default switch cost), 2026-09-05.
# Same driver, seeds (round-11 fixpoint), owned list, runner and gates as gem5_arms.csv; only the twin placement differs. docs/results/dit-twin-narrowing-2026-09-05.md.
# gem5 Neoverse-V2 FDP, --eves --dmp --comp-simp, gem5.fast. Full flow (lookups + one chacha20-poly1305 AEAD encrypt of a 100-byte record),
# CIO-parity seeds with the chacha rename patch; pass library built with -fno-optimize-sibling-calls.
# switch=serialising is --no-speculative-dit. dit_writes is commit.ditWrites (committed mode writes).
# f_secret_pct = (full - nosign) / full on the nodit arm's cycles, same iter.
# cycles = median over 5 stack offset(s) (argv[0] lengths); spread_pct = (max-min)/median across them.
L,pred_q4,f_secret_pct,arm,switch,cycles,insts,ipc,vs_base_pct,dit_writes,requests,n_offsets,spread_pct
10,3,96.8,nodit,-,3977649,7980810,2.006,0.00,0,1600,5,2.28
10,3,96.8,blanket,-,4281549,7980810,1.864,7.64,0,1600,5,0.18
10,3,96.8,pass,renamed,4199436,8139210,1.938,5.58,60800,1600,5,0.96
10,3,96.8,pass,serialising,5296653,8139210,1.537,33.16,60800,1600,5,0.04
50,3,81.2,nodit,-,4761593,8322010,1.748,0.00,0,1500,5,1.25
50,3,81.2,blanket,-,5362933,8322010,1.552,12.63,0,1500,5,0.58
50,3,81.2,pass,renamed,4789401,8470510,1.769,0.58,57000,1500,5,0.42
50,3,81.2,pass,serialising,5993977,8470510,1.413,25.88,57000,1500,5,0.10
200,3,45.0,nodit,-,7294186,9710430,1.331,0.00,0,1270,5,1.22
200,3,45.0,blanket,-,8770914,9710430,1.107,20.25,0,1270,5,0.63
200,3,45.0,pass,renamed,7396211,9836160,1.330,1.40,48260,1270,5,0.64
200,3,45.0,pass,serialising,8302726,9836160,1.185,13.83,48260,1270,5,0.36
1000,3,13.1,nodit,-,13059685,12626830,0.967,0.00,0,670,5,0.21
1000,3,13.1,blanket,-,16685900,12626830,0.757,27.77,0,670,5,0.21
1000,3,13.1,pass,renamed,13136970,12693160,0.966,0.59,25460,670,5,0.65
1000,3,13.1,pass,serialising,13582414,12693160,0.935,4.00,25460,670,5,0.40
5000,3,2.8,nodit,-,17654690,14969210,0.848,0.00,0,200,5,1.12
5000,3,2.8,blanket,-,22988060,14969210,0.651,30.21,0,200,5,0.04
5000,3,2.8,pass,renamed,17634203,14989010,0.850,-0.12,7600,200,5,0.38
5000,3,2.8,pass,serialising,17772092,14989010,0.843,0.66,7600,200,5,0.06
20000,3,0.6,nodit,-,18943759,15666540,0.827,0.00,0,55,5,1.36
20000,3,0.6,blanket,-,24883971,15666540,0.630,31.36,0,55,5,0.00
20000,3,0.6,pass,renamed,18988143,15671985,0.825,0.23,2090,55,5,1.49
20000,3,0.6,pass,serialising,19033812,15671985,0.823,0.48,2090,55,5,1.94
