# provenance: run 2026-09-06 on aarch64 Linux (beckham), native static build; gem5-DIT ce05d32089; clang from llvm-data-independent-timing c733b86567bb (/home/rgangar/.treehouse/llvm-data-independent-timing-7b712d/7/llvm-data-independent-timing/build); gem5.fast built 2026-09-06 13:36 ; WORK=/home/rgangar/Documents/signed_lookup-gem5-20260906
# SENSITIVITY: the LVP-predictable fraction q = pred_q4/4 swept 0..1 at L=200 and L=20000. Blanket's public-lane cost is linear in q; the canonical lane fixes q=0.75.
# gem5 Neoverse-V2 FDP, --eves --dmp --comp-simp, gem5.fast. Full flow (lookups + one chacha20-poly1305 AEAD encrypt of a 100-byte record),
# CIO-parity seeds with the chacha rename patch; pass library built with -fno-optimize-sibling-calls.
# switch=serialising is --no-speculative-dit. dit_writes is commit.ditWrites (committed mode writes).
# f_secret_pct = (full - nosign) / full on the nodit arm's cycles, same iter.
# cycles = median over 5 stack offset(s) (argv[0] lengths); spread_pct = (max-min)/median across them.
L,pred_q4,f_secret_pct,arm,switch,cycles,insts,ipc,vs_base_pct,dit_writes,requests,n_offsets,spread_pct,chunks
200,0,48.8,nodit,-,6834424,8996700,1.316,0.00,0,1270,5,0.57,1
200,0,48.8,blanket,-,6844978,8996700,1.314,0.15,0,1270,5,0.79,1
200,0,48.8,api,renamed,6870688,9022100,1.313,0.53,2540,1270,5,0.09,1
200,0,48.8,api,serialising,6920683,9022100,1.304,1.26,2540,1270,5,0.19,1
200,0,48.8,apinop,-,6872587,9022100,1.313,0.56,0,1270,5,0.49,1
200,0,48.8,pass,renamed,6962350,9114810,1.309,1.87,40640,1270,5,1.38,1
200,0,48.8,pass,serialising,7698266,9114810,1.184,12.64,40640,1270,5,0.70,1
200,1,47.4,nodit,-,6981069,9250700,1.325,0.00,0,1270,5,0.91,1
200,1,47.4,blanket,-,7410237,9250700,1.248,6.15,0,1270,5,0.32,1
200,1,47.4,api,renamed,7025259,9276100,1.320,0.63,2540,1270,5,0.03,1
200,1,47.4,api,serialising,7091327,9276100,1.308,1.58,2540,1270,5,0.26,1
200,1,47.4,apinop,-,7025049,9276100,1.320,0.63,0,1270,5,0.83,1
200,1,47.4,pass,renamed,7044534,9368810,1.330,0.91,40640,1270,5,0.06,1
200,1,47.4,pass,serialising,7862423,9368810,1.192,12.62,40640,1270,5,0.32,1
200,2,46.4,nodit,-,7101812,9504700,1.338,0.00,0,1270,5,0.60,1
200,2,46.4,blanket,-,8064460,9504700,1.179,13.55,0,1270,5,0.02,1
200,2,46.4,api,renamed,7151539,9530100,1.333,0.70,2540,1270,5,0.07,1
200,2,46.4,api,serialising,7193687,9530100,1.325,1.29,2540,1270,5,0.05,1
200,2,46.4,apinop,-,7108512,9530100,1.341,0.09,0,1270,5,0.68,1
200,2,46.4,pass,renamed,7129011,9622810,1.350,0.38,40640,1270,5,1.61,1
200,2,46.4,pass,serialising,7972740,9622810,1.207,12.26,40640,1270,5,0.02,1
200,3,45.1,nodit,-,7330865,9758700,1.331,0.00,0,1270,5,1.15,1
200,3,45.1,blanket,-,8768118,9758700,1.113,19.61,0,1270,5,0.71,1
200,3,45.1,api,renamed,7397865,9784100,1.323,0.91,2540,1270,5,0.07,1
200,3,45.1,api,serialising,7440040,9784100,1.315,1.49,2540,1270,5,0.11,1
200,3,45.1,apinop,-,7365850,9784100,1.328,0.48,0,1270,5,0.96,1
200,3,45.1,pass,renamed,7377722,9876810,1.339,0.64,40640,1270,5,1.70,1
200,3,45.1,pass,serialising,8224708,9876810,1.201,12.19,40640,1270,5,0.33,1
200,4,43.9,nodit,-,7442199,10012700,1.345,0.00,0,1270,5,0.60,1
200,4,43.9,blanket,-,9249043,10012700,1.083,24.28,0,1270,5,0.12,1
200,4,43.9,api,renamed,7499356,10038100,1.339,0.77,2540,1270,5,0.01,1
200,4,43.9,api,serialising,7554852,10038100,1.329,1.51,2540,1270,5,0.50,1
200,4,43.9,apinop,-,7506803,10038100,1.337,0.87,0,1270,5,0.76,1
200,4,43.9,pass,renamed,7496274,10130810,1.351,0.73,40640,1270,5,1.89,1
200,4,43.9,pass,serialising,8379480,10130810,1.209,12.59,40640,1270,5,0.63,1
20000,0,0.9,nodit,-,16632055,12368640,0.744,0.00,0,55,5,0.02,1
20000,0,0.9,blanket,-,16632601,12368640,0.744,0.00,0,55,5,0.01,1
20000,0,0.9,api,renamed,16632376,12369740,0.744,0.00,110,55,5,0.00,1
20000,0,0.9,api,serialising,16634821,12369740,0.744,0.02,110,55,5,0.00,1
20000,0,0.9,apinop,-,16632944,12369740,0.744,0.01,0,55,5,0.03,1
20000,0,0.9,pass,renamed,16631125,12373755,0.744,-0.01,1760,55,5,0.01,1
20000,0,0.9,pass,serialising,16668941,12373755,0.742,0.22,1760,55,5,0.00,1
20000,1,1.0,nodit,-,17412093,13468640,0.774,0.00,0,55,5,0.12,1
20000,1,1.0,blanket,-,19403793,13468640,0.694,11.44,0,55,5,0.00,1
20000,1,1.0,api,renamed,17421629,13469740,0.773,0.05,110,55,5,0.36,1
20000,1,1.0,api,serialising,17423821,13469740,0.773,0.07,110,55,5,0.03,1
20000,1,1.0,apinop,-,17424341,13469740,0.773,0.07,0,55,5,0.26,1
20000,1,1.0,pass,renamed,17421183,13473755,0.773,0.05,1760,55,5,0.37,1
20000,1,1.0,pass,serialising,17460649,13473755,0.772,0.28,1760,55,5,0.44,1
20000,2,0.8,nodit,-,17714686,14568640,0.822,0.00,0,55,5,0.07,1
20000,2,0.8,blanket,-,22156508,14568640,0.658,25.07,0,55,5,0.04,1
20000,2,0.8,api,renamed,17713419,14569740,0.823,-0.01,110,55,5,0.16,1
20000,2,0.8,api,serialising,17715370,14569740,0.822,0.00,110,55,5,0.03,1
20000,2,0.8,apinop,-,17717382,14569740,0.822,0.02,0,55,5,0.02,1
20000,2,0.8,pass,renamed,17717096,14573755,0.823,0.01,1760,55,5,0.10,1
20000,2,0.8,pass,serialising,17756027,14573755,0.821,0.23,1760,55,5,0.18,1
20000,3,0.6,nodit,-,19000434,15668640,0.825,0.00,0,55,5,0.29,1
20000,3,0.6,blanket,-,24879214,15668640,0.630,30.94,0,55,5,0.01,1
20000,3,0.6,api,renamed,18999580,15669740,0.825,-0.00,110,55,5,0.37,1
20000,3,0.6,api,serialising,19015733,15669740,0.824,0.08,110,55,5,0.40,1
20000,3,0.6,apinop,-,19050097,15669740,0.823,0.26,0,55,5,0.28,1
20000,3,0.6,pass,renamed,18995329,15673755,0.825,-0.03,1760,55,5,0.92,1
20000,3,0.6,pass,serialising,19069465,15673755,0.822,0.36,1760,55,5,0.71,1
20000,4,0.6,nodit,-,19701645,16768640,0.851,0.00,0,55,5,0.12,1
20000,4,0.6,blanket,-,27650758,16768640,0.606,40.35,0,55,5,0.03,1
20000,4,0.6,api,renamed,19671532,16769740,0.852,-0.15,110,55,5,0.23,1
20000,4,0.6,api,serialising,19703571,16769740,0.851,0.01,110,55,5,0.27,1
20000,4,0.6,apinop,-,19655981,16769740,0.853,-0.23,0,55,5,0.23,1
20000,4,0.6,pass,renamed,19652365,16773755,0.854,-0.25,1760,55,5,0.01,1
20000,4,0.6,pass,serialising,19751500,16773755,0.849,0.25,1760,55,5,0.10,1
