# provenance: run 2026-09-06 on aarch64 Linux (beckham), native static build; gem5-DIT ce05d32089; clang from llvm-data-independent-timing c733b86567bb (/home/rgangar/.treehouse/llvm-data-independent-timing-7b712d/7/llvm-data-independent-timing/build); gem5.fast built 2026-09-06 13:36 ; WORK=/home/rgangar/Documents/signed_lookup-gem5-20260906
# CANONICAL lane: the cycles behind every median, one row per (cell, stack offset). offset k lengthens argv[0] by k bytes; gem5 SE puts argv[0] on the initial stack, so this is the layout lottery the medians average over.
L,pred_q4,arm,switch,nosecret,offset,argv0_extra_bytes,cycles,insts
10,3,api,renamed,0,0,0,4083895,8073620
10,3,api,renamed,0,1,1,4084460,8073620
10,3,api,renamed,0,2,2,4084276,8073620
10,3,api,renamed,0,3,3,4084709,8073620
10,3,api,renamed,0,4,4,4083637,8073620
10,3,api,serialising,0,0,0,4148480,8073620
10,3,api,serialising,0,1,1,4147738,8073620
10,3,api,serialising,0,2,2,4148697,8073620
10,3,api,serialising,0,3,3,4149282,8073620
10,3,api,serialising,0,4,4,4149123,8073620
10,3,apinop,renamed,0,0,0,4068859,8073620
10,3,apinop,renamed,0,1,1,4055980,8073620
10,3,apinop,renamed,0,2,2,4069178,8073620
10,3,apinop,renamed,0,3,3,4032447,8073620
10,3,apinop,renamed,0,4,4,4068148,8073620
10,3,nodit,renamed,0,0,0,4064775,8041620
10,3,nodit,renamed,0,1,1,4003355,8041620
10,3,nodit,renamed,0,2,2,4018906,8041620
10,3,nodit,renamed,0,3,3,4042459,8041620
10,3,nodit,renamed,0,4,4,3972433,8041620
10,3,nodit,renamed,1,0,0,142228,321620
10,3,nodit,renamed,1,1,1,142599,321620
10,3,nodit,renamed,1,2,2,142437,321620
10,3,nodit,renamed,1,3,3,151528,321620
10,3,nodit,renamed,1,4,4,141722,321620
10,3,nodit,serialising,0,0,0,4064775,8041620
10,3,nodit,serialising,0,1,1,4003355,8041620
10,3,nodit,serialising,0,2,2,4018906,8041620
10,3,nodit,serialising,0,3,3,4042459,8041620
10,3,nodit,serialising,0,4,4,3972433,8041620
10,3,blanket,renamed,0,0,0,4108229,8041620
10,3,blanket,renamed,0,1,1,4106478,8041620
10,3,blanket,renamed,0,2,2,4107581,8041620
10,3,blanket,renamed,0,3,3,4114556,8041620
10,3,blanket,renamed,0,4,4,4116517,8041620
10,3,blanket,renamed,1,0,0,199199,321620
10,3,blanket,renamed,1,1,1,198971,321620
10,3,blanket,renamed,1,2,2,199188,321620
10,3,blanket,renamed,1,3,3,199576,321620
10,3,blanket,renamed,1,4,4,199560,321620
10,3,pass,renamed,0,0,0,4117612,8190420
10,3,pass,renamed,0,1,1,4127546,8190420
10,3,pass,renamed,0,2,2,4140553,8190420
