# provenance: run 2026-09-06 on aarch64 Linux (beckham), native static build; gem5-DIT ce05d32089; clang from llvm-data-independent-timing c733b86567bb (/home/rgangar/.treehouse/llvm-data-independent-timing-7b712d/7/llvm-data-independent-timing/build); gem5.fast built 2026-09-06 13:36 ; WORK=/home/rgangar/Documents/signed_lookup-gem5-20260906
# CANONICAL lane, full flow, offset-0 run per point: what the value predictor did under the three headline arms (renamed switch model; the counts do not depend on it). Blanket's load_predictions is 0 at every L; the pass keeps the public lane's.
L,pred_q4,f_secret_pct,arm,requests,predictions,pred_correct,load_predictions,load_correct,alu_predictions,stride_predictions,vtage_predictions,load_predictions_per_request,cycles,insts
10,3,96.5,nodit,1600,470502,469376,197967,196869,272535,71359,399143,123.7,4064775,8041620
10,3,96.5,blanket,1600,90973,90967,0,0,90973,57591,33382,0.0,4108229,8041620
10,3,96.5,pass,1600,150861,150842,19187,19185,131674,36776,114085,12.0,4117612,8190420
50,3,81.0,nodit,1500,533000,526907,233446,230428,299554,141925,391075,155.6,4737117,8379020
50,3,81.0,blanket,1500,89809,89802,0,0,89809,53991,35818,0.0,5281257,8379020
50,3,81.0,pass,1500,216895,216749,63007,62941,153888,84460,132435,42.0,4791569,8518520
200,3,45.1,nodit,1270,747224,741181,336975,333828,410249,449314,297910,265.3,7396271,9758700
200,3,45.1,blanket,1270,71350,71343,0,0,71350,49261,22089,0.0,8768118,9758700
200,3,45.1,pass,1270,525059,524881,195648,195565,329411,405988,119071,154.1,7483950,9876810
1000,3,13.5,nodit,670,1347488,1344190,580080,578517,767408,1175930,171558,865.8,13110818,12652300
1000,3,13.5,blanket,670,33945,33934,0,0,33945,25623,8322,0.0,16654157,12652300
1000,3,13.5,pass,670,1220637,1217617,504316,502936,716321,1151191,69446,752.7,13153092,12714610
5000,3,2.7,nodit,200,1785082,1784160,772811,772311,1012271,1751240,33842,3864.1,17706441,14976820
5000,3,2.7,blanket,200,8106,8100,0,0,8106,7287,819,0.0,22966160,14976820
5000,3,2.7,pass,200,1949731,1948721,748169,747769,1201562,1743028,206703,3740.8,17637897,14995420
20000,3,0.6,nodit,55,2474915,2474402,830890,830681,1644025,1925381,549534,15107.1,18982153,15668640
20000,3,0.6,blanket,55,1700,1698,0,0,1700,1663,37,0.0,24879252,15668640
20000,3,0.6,pass,55,2191510,2190642,824605,824254,1366905,1923609,267901,14992.8,18931994,15673755
