# provenance: THE MECHANISM: the same lane with the header holding N one-bits. Blanket costs +34/+46% up to N=36 and exactly nothing from N=37, at both q. That step is the width of this machine's load value predictor, and it is why the canonical gem5 lane (62 bits) reads zero here
# run 2026-09-08T00:59:02-0500 on bellingham.csres.utexas.edu (Apple M4, kernel 24.6.0); unrooted, thread NOT pinned -- samples that migrated are rejected by the implied-clock gate and counted in the rejects column
# clang from llvm-data-independent-timing 81782113460d; driver sha256 c91bc6f061649111.., byte-identical to gem5-DIT's benchmarks/signed_lookup/signed_lookup_gem5.c at the pinned commit, with utils/dit_host_screening/signed_lookup/silicon/hdr_const_param.patch applied (HDR_CONST becomes a -D; no other change)
# libsodium 1.0.21 --disable-asm -march=armv8.4-a; arms base / taint / taintnop from utils/taint_libsodium_arms.sh at the shipped defaults (callee contract, DIT twins, contract fixpoint seeds, owned list)
# instrument: PMC0 (cycles, bare) and PMC1 (instructions, isb-ordered) read from EL0; CNTVCT_EL0 at 1 GHz gives the implied clock, and a sample outside 3.4-5.0 GHz is rejected as a thread migration and counted
# lane: HDR_CONST is the value every record header holds. wide = 0x2545F4914F6CDD1D (62 bits), the value every gem5 sweep used; narrow = 0xCAFEBABE (32 bits). This machine's load value predictor holds 36 bits (m4_header_width.csv), so it predicts the narrow header and not the wide one
# one serialising `msr DIT` on this part: 33.52 cycles (11.50 for a same-value write), measured by dit_switch_cost.c in this run
# cycles = median of the FAST cluster of n valid samples. Once the tables leave L1 a run's cycles come out bimodal ~15% apart on the physical pages the kernel hands the BSS; n_hi counts the slow-cluster samples, which are kept in the JSONL and excluded from the median. Below 128 KB of table there is no split and this is the plain median.
axis,value,label,lane,L,pred_q4,tblbits,requests,nodit_cycles,blanket_cycles,nodit_cyc_per_lookup,blanket_cyc_per_lookup,nodit_ipc,blanket_ipc,insts,blanket_pct,ipc_ovh_pct,n,n_all,n_hi_nodit,n_hi_blanket,lottery_gap,rejects,spread_pct
hdr,b16,0xffff (16b),b16,20000,3,9,483,131168377.0,176380754.0,13.5785,18.2589,1.0315,0.7672,135297635.0,34.47,34.45,15,15,0,0,1.0,1,0.21
hdr,b24,0xffffff (24b),b24,20000,3,9,483,131188493.0,176459863.0,13.5806,18.2671,1.0313,0.7669,135300694.0,34.51,34.49,15,15,0,0,1.0,1,0.28
hdr,b32,0xffffffff (32b),b32,20000,3,9,484,131396426.0,176745827.0,13.574,18.2589,1.0318,0.7671,135577791.0,34.51,34.5,15,15,0,0,1.0,0,0.21
hdr,b34,0x3ffffffff (34b),b34,20000,3,9,484,131414650.0,176731559.0,13.5759,18.2574,1.0317,0.7672,135580560.0,34.48,34.47,15,15,0,0,1.0,2,0.24
hdr,b35,0x7ffffffff (35b),b35,20000,3,9,484,131414544.0,176811480.0,13.5759,18.2656,1.0317,0.7669,135583605.0,34.54,34.54,15,15,0,0,1.0,0,0.22
hdr,b36,0xfffffffff (36b),b36,20000,3,9,484,131441760.0,176716998.0,13.5787,18.2559,1.0315,0.7673,135579151.0,34.45,34.43,15,15,0,0,1.0,1,0.26
hdr,b37,0x1fffffffff (37b),b37,20000,3,9,360,131494758.0,131473942.0,18.2632,18.2603,0.767,0.7671,100853905.0,-0.02,-0.01,15,15,0,0,1.0,0,0.23
hdr,b38,0x3fffffffff (38b),b38,20000,3,9,360,131532787.0,131440607.0,18.2684,18.2556,0.7667,0.7673,100852465.0,-0.07,-0.07,15,15,0,0,1.0,0,0.27
hdr,b40,0xffffffffff (40b),b40,20000,3,9,360,131428244.0,131480223.0,18.2539,18.2611,0.7673,0.7671,100848012.0,0.04,0.03,15,15,0,0,1.0,0,0.24
hdr,b48,0xffffffffffff (48b),b48,20000,3,9,358,130727291.0,130723734.0,18.258,18.2575,0.7672,0.7672,100290895.0,-0.0,-0.0,15,15,0,0,1.0,0,0.22
hdr,b56,0xffffffffffffff (56b),b56,20000,3,9,360,131487395.0,131432788.0,18.2621,18.2546,0.767,0.7673,100855421.0,-0.04,-0.04,15,15,0,0,1.0,0,0.23
hdr,b62,0x3fffffffffffffff (62b),b62,20000,3,9,360,131459871.0,131440210.0,18.2583,18.2556,0.7672,0.7673,100853815.0,-0.01,-0.01,15,15,0,0,1.0,0,0.21
hdr,b8,0xff (8b),b8,20000,3,9,484,131408825.0,176762820.0,13.5753,18.2606,1.0317,0.7671,135580650.0,34.51,34.5,15,15,0,0,1.0,0,0.23
hdr,b16,0xffff (16b),b16,20000,4,9,476,131621568.0,191669707.0,13.8258,20.1334,1.0854,0.7455,142858660.0,45.62,45.6,15,15,0,0,1.0,0,0.31
hdr,b24,0xffffff (24b),b24,20000,4,9,475,131352634.0,191281236.0,13.8266,20.1349,1.0853,0.7454,142557119.0,45.62,45.59,15,15,0,0,1.0,0,0.16
hdr,b32,0xffffffff (32b),b32,20000,4,9,475,131355558.0,191268792.0,13.8269,20.1336,1.0853,0.7454,142557109.0,45.61,45.59,15,15,0,0,1.0,0,0.1
hdr,b34,0x3ffffffff (34b),b34,20000,4,9,474,131077883.0,190890708.0,13.8268,20.1362,1.0853,0.7454,142258582.0,45.63,45.6,15,15,0,0,1.0,0,0.19
hdr,b35,0x7ffffffff (35b),b35,20000,4,9,475,131364038.0,191267291.0,13.8278,20.1334,1.0852,0.7454,142558616.0,45.6,45.58,15,15,0,0,1.0,0,0.13
hdr,b36,0xfffffffff (36b),b36,20000,4,9,475,131351890.0,191265671.0,13.8265,20.1332,1.0853,0.7454,142558504.0,45.61,45.59,15,15,0,0,1.0,0,0.13
hdr,b37,0x1fffffffff (37b),b37,20000,4,9,327,131642343.0,131647361.0,20.1288,20.1296,0.7456,0.7455,98148848.0,0.0,0.0,15,15,0,0,1.0,2,0.09
hdr,b38,0x3fffffffff (38b),b38,20000,4,9,326,131257274.0,131257945.0,20.1315,20.1316,0.7455,0.7455,97850131.0,0.0,0.0,15,15,0,0,1.0,0,0.08
hdr,b40,0xffffffffff (40b),b40,20000,4,9,327,131641163.0,131657157.0,20.1286,20.1311,0.7456,0.7455,98147340.0,0.01,0.01,15,15,0,0,1.0,1,0.13
hdr,b48,0xffffffffffff (48b),b48,20000,4,9,326,131268320.0,131247499.0,20.1332,20.13,0.7455,0.7456,97854007.0,-0.02,-0.02,15,15,0,0,1.0,0,0.34
hdr,b56,0xffffffffffffff (56b),b56,20000,4,9,326,131237337.0,131244377.0,20.1284,20.1295,0.7456,0.7455,97848872.0,0.01,0.01,15,15,0,0,1.0,1,0.17
hdr,b62,0x3fffffffffffffff (62b),b62,20000,4,9,326,131255747.0,131265849.0,20.1312,20.1328,0.7455,0.7454,97848714.0,0.01,0.01,15,15,0,0,1.0,0,0.16
hdr,b8,0xff (8b),b8,20000,4,9,476,131632595.0,191688216.0,13.827,20.1353,1.0853,0.7454,142857173.0,45.62,45.6,15,15,0,0,1.0,1,0.13
