# Apple M5 (Mac17,2), kperf fixed counters, 9 rotated paired reps per point.
# tailcalls=off is -fno-optimize-sibling-calls on the libsodium build (NOT the ABI).
# pct columns are cycle deltas vs the no-DIT baseline of the same run.
run,tailcalls,L,f_secret_pct,base_ipc,blanket_pct,pass_pct,nop_pct,pass_vs_blanket_pct
1,on,500,88.2,3.877,0.38,6.68,-0.41,6.28
1,on,2000,64.1,3.052,1.44,2.51,-0.32,1.06
1,on,5000,41.1,2.287,3.45,-0.55,-0.08,-3.87
1,on,20000,13.5,1.455,14.57,-0.72,1.00,-13.35
1,on,60000,3.8,1.243,33.15,4.35,0.70,-21.63
2,on,500,88.1,3.882,0.72,6.94,-0.26,6.18
2,on,2000,64.0,3.056,1.58,2.39,0.35,0.79
2,on,5000,41.2,2.287,3.51,-0.92,0.08,-4.28
2,on,20000,13.1,1.462,15.12,-0.43,1.87,-13.51
2,on,60000,3.8,1.240,32.71,4.17,0.61,-21.51
3,off,500,88.1,3.884,0.74,6.94,0.00,6.15
3,off,2000,64.2,3.043,1.10,2.41,-0.73,1.30
3,off,5000,41.0,2.293,3.88,-0.52,-0.52,-4.23
3,off,20000,13.3,1.456,14.56,-0.94,-0.35,-13.53
3,off,60000,4.0,1.238,32.46,4.74,0.90,-20.93
4,off,500,88.2,3.883,0.82,6.93,0.11,6.06
4,off,2000,64.1,3.054,1.61,2.64,-0.56,1.01
4,off,5000,41.1,2.288,3.66,-0.70,-1.35,-4.20
4,off,20000,14.4,1.436,13.02,-2.21,-2.65,-13.48
4,off,60000,3.9,1.241,32.81,4.66,1.11,-21.20
