# gem5 Neoverse-V2 FDP, --eves --dmp --comp-simp, gem5.fast. Full flow (lookups + one chacha20-poly1305 AEAD encrypt of a 100-byte record),
# CIO-parity seeds with the chacha rename patch; pass library built with -fno-optimize-sibling-calls.
# switch=serialising is --no-speculative-dit. dit_writes is commit.ditWrites (committed mode writes).
# f_secret_pct = (full - nosign) / full on the nodit arm's cycles, same iter.
# cycles = median over 5 stack offset(s) (argv[0] lengths); spread_pct = (max-min)/median across them.
L,pred_q4,f_secret_pct,arm,switch,cycles,insts,ipc,vs_base_pct,dit_writes,requests,n_offsets,spread_pct,chunks
10,3,96.5,nodit,-,4018906,8041620,2.001,0.00,0,1600,5,2.30,1
10,3,96.5,blanket,-,4108229,8041620,1.957,2.22,0,1600,5,0.24,1
10,3,96.5,api,renamed,4084276,8073620,1.977,1.63,3200,1600,5,0.03,1
10,3,96.5,api,serialising,4148697,8073620,1.946,3.23,3200,1600,5,0.04,1
10,3,96.5,apinop,-,4068148,8073620,1.985,1.23,0,1600,5,0.90,1
10,3,96.5,pass,renamed,4127546,8190420,1.984,2.70,51200,1600,5,1.74,1
10,3,96.5,pass,serialising,5128877,8190420,1.597,27.62,51200,1600,5,0.06,1
50,3,81.0,nodit,-,4792501,8379020,1.748,0.00,0,1500,5,1.49,1
50,3,81.0,blanket,-,5330299,8379020,1.572,11.22,0,1500,5,1.18,1
50,3,81.0,api,renamed,4854067,8409020,1.732,1.28,3000,1500,5,0.01,1
50,3,81.0,api,serialising,4894693,8409020,1.718,2.13,3000,1500,5,0.03,1
50,3,81.0,apinop,-,4848702,8409020,1.734,1.17,0,1500,5,2.07,1
50,3,81.0,pass,renamed,4791569,8518520,1.778,-0.02,48000,1500,5,0.67,1
50,3,81.0,pass,serialising,5842595,8518520,1.458,21.91,48000,1500,5,0.37,1
200,3,45.1,nodit,-,7330865,9758700,1.331,0.00,0,1270,5,1.15,1
200,3,45.1,blanket,-,8768118,9758700,1.113,19.61,0,1270,5,0.71,1
200,3,45.1,api,renamed,7397865,9784100,1.323,0.91,2540,1270,5,0.07,1
200,3,45.1,api,serialising,7440040,9784100,1.315,1.49,2540,1270,5,0.11,1
200,3,45.1,apinop,-,7365850,9784100,1.328,0.48,0,1270,5,0.96,1
200,3,45.1,pass,renamed,7377722,9876810,1.339,0.64,40640,1270,5,1.70,1
200,3,45.1,pass,serialising,8224708,9876810,1.201,12.19,40640,1270,5,0.33,1
1000,3,13.5,nodit,-,13102684,12652300,0.966,0.00,0,670,5,0.39,1
1000,3,13.5,blanket,-,16663532,12652300,0.759,27.18,0,670,5,0.16,1
1000,3,13.5,api,renamed,13114038,12665700,0.966,0.09,1340,670,5,0.47,1
1000,3,13.5,api,serialising,13099785,12665700,0.967,-0.02,1340,670,5,0.46,1
1000,3,13.5,apinop,-,13106132,12665700,0.966,0.03,0,670,5,0.30,1
1000,3,13.5,pass,renamed,13106130,12714610,0.970,0.03,21440,670,5,0.78,1
1000,3,13.5,pass,serialising,13553842,12714610,0.938,3.44,21440,670,5,0.66,1
5000,3,2.7,nodit,-,17632297,14976820,0.849,0.00,0,200,5,0.67,1
5000,3,2.7,blanket,-,22966276,14976820,0.652,30.25,0,200,5,0.00,1
5000,3,2.7,api,renamed,17632135,14980820,0.850,-0.00,400,200,5,0.28,1
5000,3,2.7,api,serialising,17642905,14980820,0.849,0.06,400,200,5,0.39,1
5000,3,2.7,apinop,-,17651245,14980820,0.849,0.11,0,200,5,0.57,1
5000,3,2.7,pass,renamed,17676865,14995420,0.848,0.25,6400,200,5,0.50,1
5000,3,2.7,pass,serialising,17790824,14995420,0.843,0.90,6400,200,5,0.50,1
20000,3,0.6,nodit,-,19000434,15668640,0.825,0.00,0,55,5,0.29,1
20000,3,0.6,blanket,-,24879214,15668640,0.630,30.94,0,55,5,0.01,1
20000,3,0.6,api,renamed,18999580,15669740,0.825,-0.00,110,55,5,0.37,1
20000,3,0.6,api,serialising,19015733,15669740,0.824,0.08,110,55,5,0.40,1
20000,3,0.6,apinop,-,19050097,15669740,0.823,0.26,0,55,5,0.28,1
20000,3,0.6,pass,renamed,18995329,15673755,0.825,-0.03,1760,55,5,0.92,1
20000,3,0.6,pass,serialising,19069465,15673755,0.822,0.36,1760,55,5,0.71,1
