# Mechanism: gem5, public lane alone (--nosecret).
L,pred_q4,arm,insts,cycles,ipc,vp_predictions,vp_preds_per_1k_insts
10,3,nodit,321620,142437,2.258,53572,166.57
10,3,blanket,321620,199199,1.615,11346,35.28
50,3,nodit,1141520,912756,1.251,107878,94.50
50,3,blanket,1141520,1246555,0.916,11225,9.83
200,3,nodit,3630950,4023061,0.903,397673,109.52
200,3,blanket,3630950,5320051,0.683,9929,2.73
1000,3,nodit,9419550,11339530,0.831,1183417,125.63
1000,3,blanket,9419550,14865324,0.634,4583,0.49
5000,3,nodit,14011820,17161822,0.816,2085297,148.82
5000,3,blanket,14011820,22437236,0.624,1181,0.08
20000,3,nodit,15403265,18885611,0.816,2865014,186.00
20000,3,blanket,15403265,24733567,0.623,309,0.02
