# Mechanism: gem5, public lane alone (--nosecret).
L,pred_q4,arm,insts,cycles,ipc,vp_predictions,vp_preds_per_1k_insts
200,0,nodit,2868950,3497989,0.820,182124,63.48
200,0,blanket,2868950,3495046,0.821,9383,3.27
200,1,nodit,3122950,3670045,0.851,248298,79.51
200,1,blanket,3122950,4102132,0.761,9929,3.18
200,2,nodit,3376950,3804386,0.888,344975,102.16
200,2,blanket,3376950,4716200,0.716,9929,2.94
200,3,nodit,3630950,4023061,0.903,397673,109.52
200,3,blanket,3630950,5320051,0.683,9929,2.73
200,4,nodit,3884950,4175628,0.930,458428,118.00
200,4,blanket,3884950,5947441,0.653,9871,2.54
20000,0,nodit,12103265,16486719,0.734,1100062,90.89
20000,0,blanket,12103265,16486645,0.734,311,0.03
20000,1,nodit,13203265,17245634,0.766,1885508,142.81
20000,1,blanket,13203265,19267801,0.685,309,0.02
20000,2,nodit,14303265,17574595,0.814,1650243,115.38
20000,2,blanket,14303265,22019872,0.650,311,0.02
20000,3,nodit,15403265,18885611,0.816,2865014,186.00
20000,3,blanket,15403265,24733567,0.623,309,0.02
20000,4,nodit,16503265,19586019,0.843,2199669,133.29
20000,4,blanket,16503265,27510751,0.600,309,0.02
