# Mechanism: gem5, public lane alone (--nosecret).
L,pred_q4,arm,insts,cycles,ipc,vp_predictions,vp_preds_per_1k_insts
10,2,nodit,308820,141816,2.178,52566,170.22
10,2,blanket,308820,188638,1.637,11394,36.90
50,2,nodit,1069520,859832,1.244,82449,77.09
50,2,blanket,1069520,1086771,0.984,10652,9.96
200,2,nodit,3376950,3804386,0.888,344975,102.16
200,2,blanket,3376950,4716200,0.716,9929,2.94
1000,2,nodit,8749550,10597539,0.826,1039721,118.83
1000,2,blanket,8749550,13223825,0.662,4581,0.52
5000,2,nodit,13011820,15951267,0.816,1735311,133.36
5000,2,blanket,13011820,19972827,0.651,1179,0.09
20000,2,nodit,14303265,17574595,0.814,1650243,115.38
20000,2,blanket,14303265,22019872,0.650,311,0.02
