function,cryptompk_locations,our_locations,verdict
_hydro_pwhash_hash,0,4,ours_only
_hydro_pwhash_verify,0,8,ours_only
gimli_core,19,7,both
gimli_core_u8,1,1,both
gimli_pad_u8,2,2,both
hydro_equal,0,4,ours_only
hydro_hash_final,3,0,cryptompk_only
hydro_hash_hash,0,1,ours_only
hydro_hash_init,6,2,both
hydro_hash_init_with_tweak,0,3,ours_only
hydro_hash_update,5,10,both
hydro_kdf_derive_from_key,0,2,ours_only
hydro_kx_aead_decrypt,0,2,ours_only
hydro_kx_aead_encrypt,0,3,ours_only
hydro_kx_aead_init,0,1,ours_only
hydro_kx_aead_xor_dec,0,2,ours_only
hydro_kx_aead_xor_enc,0,4,ours_only
hydro_kx_dh,0,1,ours_only
hydro_kx_eph_keygen,0,1,ours_only
hydro_kx_final,0,1,ours_only
hydro_kx_keygen,0,1,ours_only
hydro_kx_kk_1,0,5,ours_only
hydro_kx_kk_2,0,7,ours_only
hydro_kx_kk_3,0,3,ours_only
hydro_kx_n_1,0,5,ours_only
hydro_kx_n_2,0,3,ours_only
hydro_kx_nk_1,0,3,ours_only
hydro_kx_nk_2,0,6,ours_only
hydro_kx_nk_3,0,3,ours_only
hydro_kx_xx_1,0,3,ours_only
hydro_kx_xx_2,0,7,ours_only
hydro_kx_xx_3,0,10,ours_only
hydro_kx_xx_4,0,3,ours_only
hydro_mem_ct_cmp_u32,1,1,both
hydro_mem_ct_zero_u32,1,1,both
hydro_memzero,0,1,ours_only
hydro_pwhash_create,0,3,ours_only
hydro_pwhash_derive_static_key,0,2,ours_only
hydro_pwhash_deterministic,0,1,ours_only
hydro_pwhash_reencrypt,0,4,ours_only
hydro_pwhash_upgrade,0,9,ours_only
hydro_pwhash_verify,0,1,ours_only
hydro_random_buf,1,2,both
hydro_random_check_initialized,0,1,ours_only
hydro_random_ratchet,0,3,ours_only
hydro_random_u32,0,4,ours_only
hydro_random_uniform,0,3,ours_only
hydro_secretbox_decrypt,2,2,both
hydro_secretbox_encrypt,0,1,ours_only
hydro_secretbox_encrypt_iv,4,4,both
hydro_secretbox_probe_verify,0,2,ours_only
hydro_secretbox_setup,3,0,cryptompk_only
hydro_secretbox_xor_dec,1,1,both
hydro_secretbox_xor_enc,1,1,both
hydro_sign_challenge,0,1,ours_only
hydro_sign_create,0,2,ours_only
hydro_sign_final_create,0,1,ours_only
hydro_sign_final_verify,0,1,ours_only
hydro_sign_keygen,1,3,both
hydro_sign_p2,2,0,cryptompk_only
hydro_sign_prehash,2,1,both
hydro_sign_verify,0,2,ours_only
hydro_sign_verify_core,1,2,both
hydro_sign_verify_p2,2,0,cryptompk_only
hydro_x25519_adc0,0,1,ours_only
hydro_x25519_add,1,0,cryptompk_only
hydro_x25519_canon,2,4,both
hydro_x25519_condswap,3,3,both
hydro_x25519_core,8,7,both
hydro_x25519_mul,3,0,cryptompk_only
hydro_x25519_propagate,3,4,both
hydro_x25519_sc_montmul,6,0,cryptompk_only
hydro_x25519_scalarmult,0,2,ours_only
hydro_x25519_scalarmult_base_uniform,0,1,ours_only
hydro_x25519_sub,1,1,both
hydro_x25519_swapin,2,1,both
hydro_x25519_swapout,2,1,both
load64_le,4,1,both
mem_cpy,1,1,both
mem_xor,1,1,both
mem_xor2,1,2,both
mem_zero,1,1,both
store64_le,0,1,ours_only
