benchmark,metric,arm,archive,rep,value,dit_exit
ditprobe,Const,A,baseline,1,223,
ditprobe,Perm,A,baseline,1,870,
ditprobe,DitBit,A,baseline,1,0,
ditprobe,CoreMHz,A,baseline,1,4598,
ditprobe,Const,C,baseline,1,873,
ditprobe,Perm,C,baseline,1,869,
ditprobe,DitBit,C,baseline,1,1,
ditprobe,CoreMHz,C,baseline,1,4601,
ditprobe,Const,P,hardened,1,223,
ditprobe,Perm,P,hardened,1,870,
ditprobe,DitBit,P,hardened,1,0,
ditprobe,CoreMHz,P,hardened,1,4599,
ditprobe,Const,F,func,1,223,
ditprobe,Perm,F,func,1,870,
ditprobe,DitBit,F,func,1,0,
ditprobe,CoreMHz,F,func,1,4601,
ditprobe,Const,X,fine,1,222,
ditprobe,Perm,X,fine,1,869,
ditprobe,DitBit,X,fine,1,0,
ditprobe,CoreMHz,X,fine,1,4597,
ditprobe,Const,N,narrow,1,221,
ditprobe,Perm,N,narrow,1,870,
ditprobe,DitBit,N,narrow,1,0,
ditprobe,CoreMHz,N,narrow,1,4597,
ditprobe,Const,C,baseline,2,873,
ditprobe,Perm,C,baseline,2,869,
ditprobe,DitBit,C,baseline,2,1,
ditprobe,CoreMHz,C,baseline,2,4599,
ditprobe,Const,P,hardened,2,221,
ditprobe,Perm,P,hardened,2,869,
ditprobe,DitBit,P,hardened,2,0,
ditprobe,CoreMHz,P,hardened,2,4600,
ditprobe,Const,F,func,2,223,
ditprobe,Perm,F,func,2,870,
ditprobe,DitBit,F,func,2,0,
ditprobe,CoreMHz,F,func,2,4599,
ditprobe,Const,X,fine,2,221,
ditprobe,Perm,X,fine,2,869,
ditprobe,DitBit,X,fine,2,0,
ditprobe,CoreMHz,X,fine,2,4598,
ditprobe,Const,N,narrow,2,221,
ditprobe,Perm,N,narrow,2,869,
ditprobe,DitBit,N,narrow,2,0,
ditprobe,CoreMHz,N,narrow,2,4598,
ditprobe,Const,A,baseline,2,222,
ditprobe,Perm,A,baseline,2,869,
ditprobe,DitBit,A,baseline,2,0,
ditprobe,CoreMHz,A,baseline,2,4597,
ditprobe,Const,P,hardened,3,221,
ditprobe,Perm,P,hardened,3,870,
ditprobe,DitBit,P,hardened,3,0,
ditprobe,CoreMHz,P,hardened,3,4599,
ditprobe,Const,F,func,3,222,
ditprobe,Perm,F,func,3,870,
ditprobe,DitBit,F,func,3,0,
ditprobe,CoreMHz,F,func,3,4599,
ditprobe,Const,X,fine,3,222,
ditprobe,Perm,X,fine,3,870,
ditprobe,DitBit,X,fine,3,0,
ditprobe,CoreMHz,X,fine,3,4598,
ditprobe,Const,N,narrow,3,222,
ditprobe,Perm,N,narrow,3,870,
ditprobe,DitBit,N,narrow,3,0,
ditprobe,CoreMHz,N,narrow,3,4599,
ditprobe,Const,A,baseline,3,221,
ditprobe,Perm,A,baseline,3,871,
ditprobe,DitBit,A,baseline,3,0,
ditprobe,CoreMHz,A,baseline,3,4600,
ditprobe,Const,C,baseline,3,873,
ditprobe,Perm,C,baseline,3,870,
ditprobe,DitBit,C,baseline,3,1,
ditprobe,CoreMHz,C,baseline,3,4597,
ditprobe,Const,F,func,4,221,
ditprobe,Perm,F,func,4,869,
