bench,arm,cfg,roi_n,cycles_per_op,insts_per_op,dit_writes,dit_set,dit_clear,dit_read,dit_suppressed,dit_cycles,dit_exit,wall_s
aesni256gcm_decrypt,base,serdit,50,1093.1,1477.0,0.0,0.0,0.0,0.0,0.0,0.0,,27.5
aesni256gcm_decrypt,base,spec,50,1093.1,1477.0,0.0,0.0,0.0,0.0,0.0,0.0,,27.3
aesni256gcm_decrypt,blanket,serdit,50,1254.0,1477.0,0.0,0.0,0.0,0.0,0.0,62700.0,,27.0
aesni256gcm_decrypt,blanket,spec,50,1254.0,1477.0,0.0,0.0,0.0,0.0,0.0,62700.0,,27.6
aesni256gcm_decrypt,fine,serdit,50,1671.0,1495.0,900.0,600.0,300.0,0.0,0.0,78350.0,,29.7
aesni256gcm_decrypt,fine,spec,50,1178.0,1495.0,900.0,600.0,300.0,0.0,0.0,58101.0,,27.2
aesni256gcm_decrypt,finenop,serdit,50,1086.1,1495.0,0.0,0.0,0.0,0.0,0.0,0.0,,27.9
aesni256gcm_decrypt,finenop,spec,50,1086.1,1495.0,0.0,0.0,0.0,0.0,0.0,0.0,,30.2
aesni256gcm_decrypt,taint,serdit,50,1643.0,1492.0,750.0,550.0,200.0,0.0,0.0,78700.0,,27.7
aesni256gcm_decrypt,taint,spec,50,1174.0,1492.0,750.0,550.0,200.0,0.0,0.0,58201.0,,27.6
aesni256gcm_decrypt,taintfn,serdit,50,1688.0,1492.0,750.0,550.0,200.0,0.0,0.0,80500.0,,27.3
aesni256gcm_decrypt,taintfn,spec,50,1194.0,1492.0,750.0,550.0,200.0,0.0,0.0,59051.0,,30.3
aesni256gcm_decrypt,taintfnnop,serdit,50,1086.6,1492.0,0.0,0.0,0.0,0.0,0.0,0.0,,27.3
aesni256gcm_decrypt,taintfnnop,spec,50,1086.6,1492.0,0.0,0.0,0.0,0.0,0.0,0.0,,29.3
aesni256gcm_decrypt,taintnop,serdit,50,1088.3,1492.0,0.0,0.0,0.0,0.0,0.0,0.0,,28.1
aesni256gcm_decrypt,taintnop,spec,50,1088.3,1492.0,0.0,0.0,0.0,0.0,0.0,0.0,,27.5
aesni256gcm_encrypt,base,serdit,50,1224.9,1233.0,0.0,0.0,0.0,0.0,0.0,0.0,,29.5
aesni256gcm_encrypt,base,spec,50,1224.9,1233.0,0.0,0.0,0.0,0.0,0.0,0.0,,27.8
aesni256gcm_encrypt,blanket,serdit,50,1230.0,1233.0,0.0,0.0,0.0,0.0,0.0,61501.0,,27.9
aesni256gcm_encrypt,blanket,spec,50,1230.0,1233.0,0.0,0.0,0.0,0.0,0.0,61501.0,,30.8
aesni256gcm_encrypt,fine,serdit,50,1813.0,1261.0,1300.0,850.0,450.0,0.0,0.0,82750.0,,30.6
aesni256gcm_encrypt,fine,spec,50,1222.0,1261.0,1300.0,850.0,450.0,0.0,0.0,60450.0,,27.4
aesni256gcm_encrypt,finenop,serdit,50,1218.0,1261.0,0.0,0.0,0.0,0.0,0.0,0.0,,28.9
aesni256gcm_encrypt,finenop,spec,50,1218.0,1261.0,0.0,0.0,0.0,0.0,0.0,0.0,,27.2
aesni256gcm_encrypt,taint,serdit,50,1595.0,1248.0,750.0,550.0,200.0,0.0,0.0,76400.0,,27.5
aesni256gcm_encrypt,taint,spec,50,1230.0,1248.0,750.0,550.0,200.0,0.0,0.0,61001.0,,27.1
aesni256gcm_encrypt,taintfn,serdit,50,1522.0,1248.0,750.0,550.0,200.0,0.0,0.0,72150.0,,30.2
aesni256gcm_encrypt,taintfn,spec,50,1221.0,1248.0,750.0,550.0,200.0,0.0,0.0,60050.0,,30.1
aesni256gcm_encrypt,taintfnnop,serdit,50,1222.3,1248.0,0.0,0.0,0.0,0.0,0.0,0.0,,30.9
aesni256gcm_encrypt,taintfnnop,spec,50,1222.3,1248.0,0.0,0.0,0.0,0.0,0.0,0.0,,27.0
aesni256gcm_encrypt,taintnop,serdit,50,1218.8,1248.0,0.0,0.0,0.0,0.0,0.0,0.0,,27.1
aesni256gcm_encrypt,taintnop,spec,50,1218.8,1248.0,0.0,0.0,0.0,0.0,0.0,0.0,,30.2
chacha20_poly1305_decrypt,base,serdit,50,2428.4,5112.0,0.0,0.0,0.0,0.0,0.0,0.0,,33.2
chacha20_poly1305_decrypt,base,spec,50,2428.4,5112.0,0.0,0.0,0.0,0.0,0.0,0.0,,33.2
chacha20_poly1305_decrypt,blanket,serdit,50,2421.3,5112.0,0.0,0.0,0.0,0.0,13150.0,121066.0,,29.8
chacha20_poly1305_decrypt,blanket,spec,50,2421.3,5112.0,0.0,0.0,0.0,0.0,13150.0,121066.0,,33.0
chacha20_poly1305_decrypt,fine,serdit,50,4776.0,5252.0,6700.0,4400.0,2300.0,0.0,12800.0,207550.0,,34.9
chacha20_poly1305_decrypt,fine,spec,50,2393.0,5252.0,6700.0,4400.0,2300.0,0.0,13250.0,117669.0,,34.3
chacha20_poly1305_decrypt,finenop,serdit,50,2383.4,5252.0,0.0,0.0,0.0,0.0,0.0,0.0,,34.6
chacha20_poly1305_decrypt,finenop,spec,50,2383.4,5252.0,0.0,0.0,0.0,0.0,0.0,0.0,,29.8
chacha20_poly1305_decrypt,taint,serdit,50,4271.6,5210.0,4900.0,3450.0,1450.0,0.0,12800.0,192728.0,,32.3
chacha20_poly1305_decrypt,taint,spec,50,2395.0,5210.0,4900.0,3450.0,1450.0,0.0,12950.0,118449.0,,30.3
