# Experiment 09 on gem5 (NeoverseV2 FDP, --eves --dmp --comp-simp, the PMULL+ditCycles gem5), 2026-09-05: the API-bracket arm and the compiler's new defaults.
# Compiler dit-tainter 64831933bc88 (callee contract + DIT twins by default). Per-TU clang path (build_arms.sh), CIO's drivers byte-identical, -O2.
# arms: base = unhardened; blanket = base + DIT set before main; api = base + the linker's --wrap on the public entry points, one enable and one clear per call (api_bracket.c);
#   taint = -ftaint-harden with the fixpoint seeds (188, libsodium_secret_contract.txt) and the owned list; taintnop = taint with every switch a HINT #0;
#   taintold = the pre-2026-09-05 compiler (inherit contract, no twins, CIO seeds); taintoldnop = its NOP twin.
# cfg: spec = renamed MSR DIT, serdit = serialising (--no-speculative-dit). cycles_per_op over the measured window (warmup dumps dropped); dit_* are committed counts over the window.
bench,arm,cfg,roi_n,cycles_per_op,insts_per_op,dit_writes,dit_set,dit_clear,dit_read,dit_suppressed,dit_cycles,dit_exit,wall_s
aesni256gcm_decrypt,api,serdit,50,1332.4,1479.0,100.0,50.0,50.0,0.0,0.0,65017.0,,0.1
aesni256gcm_decrypt,api,spec,50,1175.0,1479.0,100.0,50.0,50.0,0.0,0.0,58301.0,,0.0
aesni256gcm_decrypt,base,serdit,50,1076.7,1473.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.1
aesni256gcm_decrypt,base,spec,50,1076.7,1473.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.2
aesni256gcm_decrypt,blanket,serdit,50,1167.0,1473.0,0.0,0.0,0.0,0.0,0.0,58350.0,,0.2
aesni256gcm_decrypt,blanket,spec,50,1167.0,1473.0,0.0,0.0,0.0,0.0,0.0,58350.0,,0.0
aesni256gcm_decrypt,taint,serdit,50,1465.0,1483.0,300.0,250.0,50.0,0.0,0.0,71900.0,,29.0
aesni256gcm_decrypt,taint,spec,50,1185.0,1483.0,300.0,250.0,50.0,0.0,0.0,58800.0,,29.4
aesni256gcm_decrypt,taintnop,serdit,50,1138.2,1483.0,0.0,0.0,0.0,0.0,0.0,0.0,,27.0
aesni256gcm_decrypt,taintnop,spec,50,1138.2,1483.0,0.0,0.0,0.0,0.0,0.0,0.0,,27.2
aesni256gcm_decrypt,taintold,serdit,50,1602.0,1490.0,650.0,500.0,150.0,0.0,0.0,77350.0,,0.0
aesni256gcm_decrypt,taintold,spec,50,1177.0,1490.0,650.0,500.0,150.0,0.0,0.0,58350.0,,0.2
aesni256gcm_decrypt,taintoldnop,serdit,50,1086.3,1490.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
aesni256gcm_decrypt,taintoldnop,spec,50,1086.3,1490.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
aesni256gcm_encrypt,api,serdit,50,1263.0,1235.0,100.0,50.0,50.0,0.0,0.0,61600.0,,0.0
aesni256gcm_encrypt,api,spec,50,1220.0,1235.0,100.0,50.0,50.0,0.0,0.0,60550.0,,0.1
aesni256gcm_encrypt,base,serdit,50,1217.0,1229.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
aesni256gcm_encrypt,base,spec,50,1217.0,1229.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.1
aesni256gcm_encrypt,blanket,serdit,50,1222.0,1229.0,0.0,0.0,0.0,0.0,0.0,61100.0,,0.1
aesni256gcm_encrypt,blanket,spec,50,1222.0,1229.0,0.0,0.0,0.0,0.0,0.0,61100.0,,0.2
aesni256gcm_encrypt,taint,serdit,50,1368.1,1239.0,300.0,250.0,50.0,0.0,0.0,67054.0,,29.4
aesni256gcm_encrypt,taint,spec,50,1220.0,1239.0,300.0,250.0,50.0,0.0,0.0,60552.0,,27.7
aesni256gcm_encrypt,taintnop,serdit,50,1216.6,1239.0,0.0,0.0,0.0,0.0,0.0,0.0,,26.5
aesni256gcm_encrypt,taintnop,spec,50,1216.6,1239.0,0.0,0.0,0.0,0.0,0.0,0.0,,27.9
aesni256gcm_encrypt,taintold,serdit,50,1534.2,1245.0,600.0,450.0,150.0,0.0,0.0,73959.0,,0.0
aesni256gcm_encrypt,taintold,spec,50,1214.0,1245.0,600.0,450.0,150.0,0.0,0.0,60250.0,,0.0
aesni256gcm_encrypt,taintoldnop,serdit,50,1211.4,1245.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.1
