# Experiment 09 on gem5, 2026-09-05, the VARYING-INPUT lane: same seven arms and libraries as gem5_api_bracket.csv, drivers patched (build_arms.sh VARY_INPUT=1)
# so the message differs on every iteration (outside the measured region); keys and nonces already varied. Patch recorded in the work dir's driver_patch.diff.
# Not byte-identical to CIO's drivers; the fixed-input lane is the parity measurement, this is the realism check.
bench,arm,cfg,roi_n,cycles_per_op,insts_per_op,dit_writes,dit_set,dit_clear,dit_read,dit_suppressed,dit_cycles,dit_exit,wall_s
aesni256gcm_decrypt,api,serdit,50,1353.0,1483.0,100.0,50.0,50.0,0.0,0.0,66100.0,,27.9
aesni256gcm_decrypt,api,spec,50,1198.0,1483.0,100.0,50.0,50.0,0.0,0.0,59450.0,,30.8
aesni256gcm_decrypt,base,serdit,50,1081.5,1473.0,0.0,0.0,0.0,0.0,0.0,0.0,,26.6
aesni256gcm_decrypt,base,spec,50,1081.5,1473.0,0.0,0.0,0.0,0.0,0.0,0.0,,29.6
aesni256gcm_decrypt,blanket,serdit,50,1169.0,1473.0,0.0,0.0,0.0,0.0,0.0,58450.0,,31.0
aesni256gcm_decrypt,blanket,spec,50,1169.0,1473.0,0.0,0.0,0.0,0.0,0.0,58450.0,,30.5
aesni256gcm_decrypt,taint,serdit,50,1462.0,1483.0,300.0,250.0,50.0,0.0,0.0,71750.0,,27.6
aesni256gcm_decrypt,taint,spec,50,1179.0,1483.0,300.0,250.0,50.0,0.0,0.0,58500.0,,30.9
aesni256gcm_decrypt,taintnop,serdit,50,1138.4,1483.0,0.0,0.0,0.0,0.0,0.0,0.0,,27.7
aesni256gcm_decrypt,taintnop,spec,50,1138.4,1483.0,0.0,0.0,0.0,0.0,0.0,0.0,,31.1
aesni256gcm_decrypt,taintold,serdit,50,1597.0,1490.0,650.0,500.0,150.0,0.0,0.0,77200.0,,29.0
aesni256gcm_decrypt,taintold,spec,50,1177.0,1490.0,650.0,500.0,150.0,0.0,0.0,58350.0,,30.2
aesni256gcm_decrypt,taintoldnop,serdit,50,1085.7,1490.0,0.0,0.0,0.0,0.0,0.0,0.0,,26.8
aesni256gcm_decrypt,taintoldnop,spec,50,1085.7,1490.0,0.0,0.0,0.0,0.0,0.0,0.0,,27.2
aesni256gcm_encrypt,api,serdit,50,1264.1,1239.0,100.0,50.0,50.0,0.0,0.0,61650.0,,31.2
aesni256gcm_encrypt,api,spec,50,1224.0,1239.0,100.0,50.0,50.0,0.0,0.0,60650.0,,27.8
aesni256gcm_encrypt,base,serdit,50,1213.1,1229.0,0.0,0.0,0.0,0.0,0.0,0.0,,27.8
aesni256gcm_encrypt,base,spec,50,1213.1,1229.0,0.0,0.0,0.0,0.0,0.0,0.0,,30.6
aesni256gcm_encrypt,blanket,serdit,50,1220.0,1229.0,0.0,0.0,0.0,0.0,0.0,61000.0,,27.9
aesni256gcm_encrypt,blanket,spec,50,1220.0,1229.0,0.0,0.0,0.0,0.0,0.0,61000.0,,27.2
aesni256gcm_encrypt,taint,serdit,50,1369.0,1239.0,300.0,250.0,50.0,0.0,0.0,67100.0,,28.6
aesni256gcm_encrypt,taint,spec,50,1217.0,1239.0,300.0,250.0,50.0,0.0,0.0,60350.0,,29.8
aesni256gcm_encrypt,taintnop,serdit,50,1218.9,1239.0,0.0,0.0,0.0,0.0,0.0,0.0,,29.7
aesni256gcm_encrypt,taintnop,spec,50,1218.9,1239.0,0.0,0.0,0.0,0.0,0.0,0.0,,29.0
aesni256gcm_encrypt,taintold,serdit,50,1537.2,1245.0,600.0,450.0,150.0,0.0,0.0,74109.0,,31.1
aesni256gcm_encrypt,taintold,spec,50,1212.0,1245.0,600.0,450.0,150.0,0.0,0.0,60100.0,,27.1
aesni256gcm_encrypt,taintoldnop,serdit,50,1209.4,1245.0,0.0,0.0,0.0,0.0,0.0,0.0,,30.8
aesni256gcm_encrypt,taintoldnop,spec,50,1209.4,1245.0,0.0,0.0,0.0,0.0,0.0,0.0,,29.9
chacha20_poly1305_decrypt,api,serdit,50,2412.7,5067.0,100.0,50.0,50.0,0.0,13590.0,119080.0,,29.2
chacha20_poly1305_decrypt,api,spec,50,2354.8,5067.0,100.0,50.0,50.0,0.0,12950.0,117154.0,,30.6
chacha20_poly1305_decrypt,base,serdit,50,2416.0,5053.0,0.0,0.0,0.0,0.0,0.0,0.0,,33.3
chacha20_poly1305_decrypt,base,spec,50,2416.0,5053.0,0.0,0.0,0.0,0.0,0.0,0.0,,29.2
chacha20_poly1305_decrypt,blanket,serdit,50,2394.0,5053.0,0.0,0.0,0.0,0.0,13150.0,119700.0,,33.7
chacha20_poly1305_decrypt,blanket,spec,50,2394.0,5053.0,0.0,0.0,0.0,0.0,13150.0,119700.0,,32.3
chacha20_poly1305_decrypt,taint,serdit,50,3295.0,5157.0,1950.0,1400.0,550.0,0.0,13150.0,156452.0,,30.4
chacha20_poly1305_decrypt,taint,spec,50,2423.0,5157.0,1950.0,1400.0,550.0,0.0,13500.0,120401.0,,32.1
chacha20_poly1305_decrypt,taintnop,serdit,50,2450.7,5157.0,0.0,0.0,0.0,0.0,0.0,0.0,,30.5
chacha20_poly1305_decrypt,taintnop,spec,50,2450.7,5157.0,0.0,0.0,0.0,0.0,0.0,0.0,,30.8
chacha20_poly1305_decrypt,taintold,serdit,50,3656.8,5169.0,2550.0,1900.0,650.0,0.0,12850.0,170541.0,,33.1
chacha20_poly1305_decrypt,taintold,spec,50,2421.8,5169.0,2550.0,1900.0,650.0,0.0,12900.0,119392.0,,34.7
chacha20_poly1305_decrypt,taintoldnop,serdit,50,2444.8,5169.0,0.0,0.0,0.0,0.0,0.0,0.0,,40.9
chacha20_poly1305_decrypt,taintoldnop,spec,50,2444.8,5169.0,0.0,0.0,0.0,0.0,0.0,0.0,,29.6
chacha20_poly1305_encrypt,api,serdit,50,2282.5,4820.0,100.0,50.0,50.0,0.0,13689.0,112524.0,,28.6
chacha20_poly1305_encrypt,api,spec,50,2288.6,4820.0,100.0,50.0,50.0,0.0,13794.0,113879.0,,32.9
chacha20_poly1305_encrypt,base,serdit,50,2243.9,4806.0,0.0,0.0,0.0,0.0,0.0,0.0,,32.3
chacha20_poly1305_encrypt,base,spec,50,2243.9,4806.0,0.0,0.0,0.0,0.0,0.0,0.0,,29.5
chacha20_poly1305_encrypt,blanket,serdit,50,2329.3,4806.0,0.0,0.0,0.0,0.0,13150.0,116466.0,,30.2
chacha20_poly1305_encrypt,blanket,spec,50,2329.3,4806.0,0.0,0.0,0.0,0.0,13150.0,116466.0,,32.7
chacha20_poly1305_encrypt,taint,serdit,50,3095.2,4905.0,1900.0,1350.0,550.0,0.0,13050.0,146460.0,,31.0
chacha20_poly1305_encrypt,taint,spec,50,2282.4,4905.0,1900.0,1350.0,550.0,0.0,12942.0,113398.0,,31.5
chacha20_poly1305_encrypt,taintnop,serdit,50,2266.6,4905.0,0.0,0.0,0.0,0.0,0.0,0.0,,34.0
chacha20_poly1305_encrypt,taintnop,spec,50,2266.6,4905.0,0.0,0.0,0.0,0.0,0.0,0.0,,29.3
chacha20_poly1305_encrypt,taintold,serdit,50,3429.9,4916.0,2450.0,1800.0,650.0,0.0,12800.0,159046.0,,29.3
chacha20_poly1305_encrypt,taintold,spec,50,2253.0,4916.0,2450.0,1800.0,650.0,0.0,13200.0,110952.0,,30.4
chacha20_poly1305_encrypt,taintoldnop,serdit,50,2234.2,4916.0,0.0,0.0,0.0,0.0,0.0,0.0,,33.1
chacha20_poly1305_encrypt,taintoldnop,spec,50,2234.2,4916.0,0.0,0.0,0.0,0.0,0.0,0.0,,33.4
ed25519,api,serdit,20,79960.4,171767.0,40.0,20.0,20.0,0.0,1286569.0,1598587.0,,167.3
ed25519,api,spec,20,79838.0,171767.0,40.0,20.0,20.0,0.0,1286159.0,1596600.0,,224.7
ed25519,base,serdit,20,79375.5,171749.0,0.0,0.0,0.0,0.0,0.0,0.0,,174.1
ed25519,base,spec,20,79375.5,171749.0,0.0,0.0,0.0,0.0,0.0,0.0,,239.4
ed25519,blanket,serdit,20,79487.1,171749.0,0.0,0.0,0.0,0.0,1289611.0,1589743.0,,226.8
ed25519,blanket,spec,20,80275.4,171749.0,0.0,0.0,0.0,0.0,1290807.0,1605509.0,,230.7
ed25519,taint,serdit,20,77989.5,171835.0,320.0,300.0,20.0,0.0,1274002.0,1559150.0,,220.0
ed25519,taint,spec,20,74194.4,171835.0,320.0,300.0,20.0,0.0,1275100.0,1483668.0,,157.7
ed25519,taintnop,serdit,20,77269.6,171835.0,0.0,0.0,0.0,0.0,0.0,0.0,,176.4
ed25519,taintnop,spec,20,77269.6,171835.0,0.0,0.0,0.0,0.0,0.0,0.0,,279.0
ed25519,taintold,serdit,20,80500.4,171808.0,60.0,40.0,20.0,0.0,1304787.0,1609428.0,,248.7
ed25519,taintold,spec,20,80430.4,171808.0,60.0,40.0,20.0,0.0,1304751.0,1608446.0,,170.5
ed25519,taintoldnop,serdit,20,79782.3,171808.0,0.0,0.0,0.0,0.0,0.0,0.0,,268.5
ed25519,taintoldnop,spec,20,79782.3,171808.0,0.0,0.0,0.0,0.0,0.0,0.0,,284.7
