# Experiment 09, arms base blanket api taint taintnop, the pass arm built with the NARROWING twins (default switch cost), 2026-09-05, fixpoint seeds.
bench,arm,cfg,roi_n,cycles_per_op,insts_per_op,dit_writes,dit_set,dit_clear,dit_read,dit_suppressed,dit_cycles,dit_exit,wall_s
aesni256gcm_decrypt,api,serdit,50,1332.4,1479.0,100.0,50.0,50.0,0.0,0.0,65017.0,,26.5
aesni256gcm_decrypt,api,spec,50,1175.0,1479.0,100.0,50.0,50.0,0.0,0.0,58301.0,,27.1
aesni256gcm_decrypt,base,serdit,50,1076.7,1473.0,0.0,0.0,0.0,0.0,0.0,0.0,,32.6
aesni256gcm_decrypt,base,spec,50,1076.7,1473.0,0.0,0.0,0.0,0.0,0.0,0.0,,30.8
aesni256gcm_decrypt,blanket,serdit,50,1167.0,1473.0,0.0,0.0,0.0,0.0,0.0,58350.0,,26.7
aesni256gcm_decrypt,blanket,spec,50,1167.0,1473.0,0.0,0.0,0.0,0.0,0.0,58350.0,,28.3
aesni256gcm_decrypt,taint,serdit,50,1603.3,1485.0,400.0,250.0,150.0,0.0,0.0,59103.0,,30.7
aesni256gcm_decrypt,taint,spec,50,1180.8,1485.0,400.0,250.0,150.0,0.0,0.0,46544.0,,30.2
aesni256gcm_decrypt,taintnop,serdit,50,1090.6,1485.0,0.0,0.0,0.0,0.0,0.0,0.0,,27.3
aesni256gcm_decrypt,taintnop,spec,50,1090.6,1485.0,0.0,0.0,0.0,0.0,0.0,0.0,,30.7
aesni256gcm_encrypt,api,serdit,50,1263.0,1235.0,100.0,50.0,50.0,0.0,0.0,61600.0,,27.2
aesni256gcm_encrypt,api,spec,50,1220.0,1235.0,100.0,50.0,50.0,0.0,0.0,60550.0,,30.9
aesni256gcm_encrypt,base,serdit,50,1217.0,1229.0,0.0,0.0,0.0,0.0,0.0,0.0,,27.5
aesni256gcm_encrypt,base,spec,50,1217.0,1229.0,0.0,0.0,0.0,0.0,0.0,0.0,,31.0
aesni256gcm_encrypt,blanket,serdit,50,1222.0,1229.0,0.0,0.0,0.0,0.0,0.0,61100.0,,27.9
