# Experiment 09, arms base blanket api taint taintnop, the pass arm built with the NARROWING twins (switch cost 0), 2026-09-05, fixpoint seeds.
bench,arm,cfg,roi_n,cycles_per_op,insts_per_op,dit_writes,dit_set,dit_clear,dit_read,dit_suppressed,dit_cycles,dit_exit,wall_s
aesni256gcm_decrypt,api,serdit,50,1332.4,1479.0,100.0,50.0,50.0,0.0,0.0,65017.0,,27.0
aesni256gcm_decrypt,api,spec,50,1175.0,1479.0,100.0,50.0,50.0,0.0,0.0,58301.0,,30.1
aesni256gcm_decrypt,base,serdit,50,1076.7,1473.0,0.0,0.0,0.0,0.0,0.0,0.0,,30.5
aesni256gcm_decrypt,base,spec,50,1076.7,1473.0,0.0,0.0,0.0,0.0,0.0,0.0,,32.1
aesni256gcm_decrypt,blanket,serdit,50,1167.0,1473.0,0.0,0.0,0.0,0.0,0.0,58350.0,,26.8
aesni256gcm_decrypt,blanket,spec,50,1167.0,1473.0,0.0,0.0,0.0,0.0,0.0,58350.0,,29.7
aesni256gcm_decrypt,taint,serdit,50,1665.0,1490.0,650.0,350.0,300.0,0.0,0.0,60600.0,,30.3
aesni256gcm_decrypt,taint,spec,50,1177.0,1490.0,650.0,350.0,300.0,0.0,0.0,46151.0,,27.8
aesni256gcm_decrypt,taintnop,serdit,50,1088.0,1490.0,0.0,0.0,0.0,0.0,0.0,0.0,,27.3
aesni256gcm_decrypt,taintnop,spec,50,1088.0,1490.0,0.0,0.0,0.0,0.0,0.0,0.0,,31.0
aesni256gcm_encrypt,api,serdit,50,1263.0,1235.0,100.0,50.0,50.0,0.0,0.0,61600.0,,29.4
aesni256gcm_encrypt,api,spec,50,1220.0,1235.0,100.0,50.0,50.0,0.0,0.0,60550.0,,27.0
aesni256gcm_encrypt,base,serdit,50,1217.0,1229.0,0.0,0.0,0.0,0.0,0.0,0.0,,30.5
aesni256gcm_encrypt,base,spec,50,1217.0,1229.0,0.0,0.0,0.0,0.0,0.0,0.0,,30.2
aesni256gcm_encrypt,blanket,serdit,50,1222.0,1229.0,0.0,0.0,0.0,0.0,0.0,61100.0,,29.6
aesni256gcm_encrypt,blanket,spec,50,1222.0,1229.0,0.0,0.0,0.0,0.0,0.0,61100.0,,26.7
aesni256gcm_encrypt,taint,serdit,50,1816.9,1263.0,1400.0,750.0,650.0,0.0,0.0,78095.0,,26.6
aesni256gcm_encrypt,taint,spec,50,1216.0,1263.0,1400.0,750.0,650.0,0.0,0.0,59750.0,,27.1
aesni256gcm_encrypt,taintnop,serdit,50,1214.0,1263.0,0.0,0.0,0.0,0.0,0.0,0.0,,31.2
aesni256gcm_encrypt,taintnop,spec,50,1214.0,1263.0,0.0,0.0,0.0,0.0,0.0,0.0,,27.9
chacha20_poly1305_decrypt,api,serdit,50,2389.0,5067.0,100.0,50.0,50.0,0.0,13000.0,117900.0,,33.4
chacha20_poly1305_decrypt,api,spec,50,2324.1,5067.0,100.0,50.0,50.0,0.0,12900.0,115654.0,,28.6
chacha20_poly1305_decrypt,base,serdit,50,2289.8,5057.0,0.0,0.0,0.0,0.0,0.0,0.0,,34.4
chacha20_poly1305_decrypt,base,spec,50,2289.8,5057.0,0.0,0.0,0.0,0.0,0.0,0.0,,32.6
chacha20_poly1305_decrypt,blanket,serdit,50,2305.9,5057.0,0.0,0.0,0.0,0.0,13150.0,115297.0,,29.7
chacha20_poly1305_decrypt,blanket,spec,50,2305.9,5057.0,0.0,0.0,0.0,0.0,13150.0,115297.0,,30.1
