benchmark,metric,arm,archive,rep,value,dit_exit
ditprobe,Const,A,baseline,1,228,
ditprobe,Perm,A,baseline,1,682,
ditprobe,CoreMHz,A,baseline,1,4401,
ditprobe,DitBit,A,baseline,1,0,
ditprobe,Const,C,baseline,1,683,
ditprobe,Perm,C,baseline,1,680,
ditprobe,CoreMHz,C,baseline,1,4416,
ditprobe,DitBit,C,baseline,1,1,
ditprobe,Const,P,hardened,1,226,
ditprobe,Perm,P,hardened,1,680,
ditprobe,CoreMHz,P,hardened,1,4414,
ditprobe,DitBit,P,hardened,1,0,
ditprobe,Const,F,func,1,226,
ditprobe,Perm,F,func,1,681,
ditprobe,CoreMHz,F,func,1,4415,
ditprobe,DitBit,F,func,1,0,
ditprobe,Const,X,fine,1,226,
ditprobe,Perm,X,fine,1,680,
ditprobe,CoreMHz,X,fine,1,4414,
ditprobe,DitBit,X,fine,1,0,
ditprobe,Const,N,narrow,1,226,
ditprobe,Perm,N,narrow,1,680,
ditprobe,CoreMHz,N,narrow,1,4414,
ditprobe,DitBit,N,narrow,1,0,
ditprobe,Const,Z,nopsw,1,227,
ditprobe,Perm,Z,nopsw,1,682,
ditprobe,CoreMHz,Z,nopsw,1,4409,
ditprobe,DitBit,Z,nopsw,1,0,
ditprobe,Const,C,baseline,2,681,
ditprobe,Perm,C,baseline,2,679,
ditprobe,CoreMHz,C,baseline,2,4393,
ditprobe,DitBit,C,baseline,2,1,
ditprobe,Const,P,hardened,2,226,
ditprobe,Perm,P,hardened,2,682,
ditprobe,CoreMHz,P,hardened,2,4404,
ditprobe,DitBit,P,hardened,2,0,
ditprobe,Const,F,func,2,229,
ditprobe,Perm,F,func,2,682,
ditprobe,CoreMHz,F,func,2,4415,
ditprobe,DitBit,F,func,2,0,
ditprobe,Const,X,fine,2,227,
ditprobe,Perm,X,fine,2,680,
ditprobe,CoreMHz,X,fine,2,4415,
ditprobe,DitBit,X,fine,2,0,
ditprobe,Const,N,narrow,2,227,
ditprobe,Perm,N,narrow,2,680,
ditprobe,CoreMHz,N,narrow,2,4399,
ditprobe,DitBit,N,narrow,2,0,
ditprobe,Const,Z,nopsw,2,229,
ditprobe,Perm,Z,nopsw,2,681,
ditprobe,CoreMHz,Z,nopsw,2,4411,
ditprobe,DitBit,Z,nopsw,2,0,
ditprobe,Const,A,baseline,2,227,
ditprobe,Perm,A,baseline,2,679,
ditprobe,CoreMHz,A,baseline,2,4397,
ditprobe,DitBit,A,baseline,2,0,
ditprobe,Const,P,hardened,3,227,
ditprobe,Perm,P,hardened,3,679,
ditprobe,CoreMHz,P,hardened,3,4396,
ditprobe,DitBit,P,hardened,3,0,
ditprobe,Const,F,func,3,226,
ditprobe,Perm,F,func,3,679,
ditprobe,CoreMHz,F,func,3,4375,
ditprobe,DitBit,F,func,3,0,
ditprobe,Const,X,fine,3,226,
ditprobe,Perm,X,fine,3,680,
ditprobe,CoreMHz,X,fine,3,4395,
ditprobe,DitBit,X,fine,3,0,
ditprobe,Const,N,narrow,3,226,
ditprobe,Perm,N,narrow,3,680,
ditprobe,CoreMHz,N,narrow,3,4415,
ditprobe,DitBit,N,narrow,3,0,
ditprobe,Const,Z,nopsw,3,227,
ditprobe,Perm,Z,nopsw,3,681,
ditprobe,CoreMHz,Z,nopsw,3,4415,
ditprobe,DitBit,Z,nopsw,3,0,
ditprobe,Const,A,baseline,3,226,
ditprobe,Perm,A,baseline,3,681,
ditprobe,CoreMHz,A,baseline,3,4415,
ditprobe,DitBit,A,baseline,3,0,
ditprobe,Const,C,baseline,3,681,
ditprobe,Perm,C,baseline,3,681,
ditprobe,CoreMHz,C,baseline,3,4416,
ditprobe,DitBit,C,baseline,3,1,
ditprobe,Const,F,func,4,227,
ditprobe,Perm,F,func,4,680,
ditprobe,CoreMHz,F,func,4,4415,
ditprobe,DitBit,F,func,4,0,
ditprobe,Const,X,fine,4,227,
ditprobe,Perm,X,fine,4,679,
ditprobe,CoreMHz,X,fine,4,4397,
ditprobe,DitBit,X,fine,4,0,
ditprobe,Const,N,narrow,4,226,
ditprobe,Perm,N,narrow,4,680,
ditprobe,CoreMHz,N,narrow,4,4395,
ditprobe,DitBit,N,narrow,4,0,
ditprobe,Const,Z,nopsw,4,226,
ditprobe,Perm,Z,nopsw,4,679,
ditprobe,CoreMHz,Z,nopsw,4,4395,
ditprobe,DitBit,Z,nopsw,4,0,
ditprobe,Const,A,baseline,4,227,
ditprobe,Perm,A,baseline,4,680,
ditprobe,CoreMHz,A,baseline,4,4376,
ditprobe,DitBit,A,baseline,4,0,
ditprobe,Const,C,baseline,4,681,
ditprobe,Perm,C,baseline,4,680,
ditprobe,CoreMHz,C,baseline,4,4412,
ditprobe,DitBit,C,baseline,4,1,
ditprobe,Const,P,hardened,4,227,
ditprobe,Perm,P,hardened,4,681,
ditprobe,CoreMHz,P,hardened,4,4403,
ditprobe,DitBit,P,hardened,4,0,
ditprobe,Const,X,fine,5,227,
ditprobe,Perm,X,fine,5,680,
ditprobe,CoreMHz,X,fine,5,4415,
ditprobe,DitBit,X,fine,5,0,
ditprobe,Const,N,narrow,5,226,
ditprobe,Perm,N,narrow,5,680,
ditprobe,CoreMHz,N,narrow,5,4415,
ditprobe,DitBit,N,narrow,5,0,
ditprobe,Const,Z,nopsw,5,226,
ditprobe,Perm,Z,nopsw,5,680,
ditprobe,CoreMHz,Z,nopsw,5,4406,
ditprobe,DitBit,Z,nopsw,5,0,
ditprobe,Const,A,baseline,5,226,
ditprobe,Perm,A,baseline,5,680,
ditprobe,CoreMHz,A,baseline,5,4414,
ditprobe,DitBit,A,baseline,5,0,
ditprobe,Const,C,baseline,5,680,
ditprobe,Perm,C,baseline,5,680,
ditprobe,CoreMHz,C,baseline,5,4416,
ditprobe,DitBit,C,baseline,5,1,
ditprobe,Const,P,hardened,5,226,
ditprobe,Perm,P,hardened,5,680,
ditprobe,CoreMHz,P,hardened,5,4414,
ditprobe,DitBit,P,hardened,5,0,
ditprobe,Const,F,func,5,226,
ditprobe,Perm,F,func,5,680,
ditprobe,CoreMHz,F,func,5,4415,
ditprobe,DitBit,F,func,5,0,
ditprobe,Const,N,narrow,6,226,
ditprobe,Perm,N,narrow,6,680,
ditprobe,CoreMHz,N,narrow,6,4414,
ditprobe,DitBit,N,narrow,6,0,
ditprobe,Const,Z,nopsw,6,226,
ditprobe,Perm,Z,nopsw,6,681,
ditprobe,CoreMHz,Z,nopsw,6,4415,
ditprobe,DitBit,Z,nopsw,6,0,
ditprobe,Const,A,baseline,6,226,
ditprobe,Perm,A,baseline,6,680,
ditprobe,CoreMHz,A,baseline,6,4415,
ditprobe,DitBit,A,baseline,6,0,
ditprobe,Const,C,baseline,6,679,
ditprobe,Perm,C,baseline,6,680,
ditprobe,CoreMHz,C,baseline,6,4398,
ditprobe,DitBit,C,baseline,6,1,
ditprobe,Const,P,hardened,6,226,
ditprobe,Perm,P,hardened,6,680,
ditprobe,CoreMHz,P,hardened,6,4415,
ditprobe,DitBit,P,hardened,6,0,
ditprobe,Const,F,func,6,226,
ditprobe,Perm,F,func,6,680,
ditprobe,CoreMHz,F,func,6,4414,
ditprobe,DitBit,F,func,6,0,
ditprobe,Const,X,fine,6,227,
ditprobe,Perm,X,fine,6,681,
ditprobe,CoreMHz,X,fine,6,4415,
