benchmark,metric,arm,archive,rep,value,dit_exit
ditprobe,Const,A,baseline,1,217,
ditprobe,Perm,A,baseline,1,652,
ditprobe,CoreMHz,A,baseline,1,4595,
ditprobe,DitBit,A,baseline,1,0,
ditprobe,Const,C,baseline,1,651,
ditprobe,Perm,C,baseline,1,653,
ditprobe,CoreMHz,C,baseline,1,4604,
ditprobe,DitBit,C,baseline,1,1,
ditprobe,Const,P,hardened,1,217,
ditprobe,Perm,P,hardened,1,652,
ditprobe,CoreMHz,P,hardened,1,4602,
ditprobe,DitBit,P,hardened,1,0,
ditprobe,Const,F,func,1,217,
ditprobe,Perm,F,func,1,651,
ditprobe,CoreMHz,F,func,1,4592,
ditprobe,DitBit,F,func,1,0,
ditprobe,Const,X,fine,1,217,
ditprobe,Perm,X,fine,1,653,
ditprobe,CoreMHz,X,fine,1,4591,
ditprobe,DitBit,X,fine,1,0,
ditprobe,Const,N,narrow,1,217,
ditprobe,Perm,N,narrow,1,652,
ditprobe,CoreMHz,N,narrow,1,4590,
ditprobe,DitBit,N,narrow,1,0,
ditprobe,Const,Z,nopsw,1,217,
ditprobe,Perm,Z,nopsw,1,653,
ditprobe,CoreMHz,Z,nopsw,1,4569,
ditprobe,DitBit,Z,nopsw,1,0,
ditprobe,Const,C,baseline,2,652,
ditprobe,Perm,C,baseline,2,651,
ditprobe,CoreMHz,C,baseline,2,4598,
ditprobe,DitBit,C,baseline,2,1,
ditprobe,Const,P,hardened,2,217,
ditprobe,Perm,P,hardened,2,652,
ditprobe,CoreMHz,P,hardened,2,4590,
ditprobe,DitBit,P,hardened,2,0,
ditprobe,Const,F,func,2,217,
ditprobe,Perm,F,func,2,652,
ditprobe,CoreMHz,F,func,2,4582,
ditprobe,DitBit,F,func,2,0,
ditprobe,Const,X,fine,2,217,
ditprobe,Perm,X,fine,2,653,
ditprobe,CoreMHz,X,fine,2,4583,
ditprobe,DitBit,X,fine,2,0,
ditprobe,Const,N,narrow,2,217,
ditprobe,Perm,N,narrow,2,653,
ditprobe,CoreMHz,N,narrow,2,4601,
ditprobe,DitBit,N,narrow,2,0,
ditprobe,Const,Z,nopsw,2,218,
ditprobe,Perm,Z,nopsw,2,653,
ditprobe,CoreMHz,Z,nopsw,2,4601,
ditprobe,DitBit,Z,nopsw,2,0,
ditprobe,Const,A,baseline,2,217,
ditprobe,Perm,A,baseline,2,654,
ditprobe,CoreMHz,A,baseline,2,4602,
ditprobe,DitBit,A,baseline,2,0,
ditprobe,Const,P,hardened,3,217,
ditprobe,Perm,P,hardened,3,653,
ditprobe,CoreMHz,P,hardened,3,4591,
ditprobe,DitBit,P,hardened,3,0,
ditprobe,Const,F,func,3,217,
ditprobe,Perm,F,func,3,652,
ditprobe,CoreMHz,F,func,3,4590,
