host,benchmark,timer,units,base_per_op,base_cycles_per_op,reps,mad_pct,C_blanket_x,P_pass_x,F_func_x,X_olddefaults_x,N_resolved_x,Z_nopsw_x
M5,ed25519,cntvct,cntvct_ticks_1ns,7993,36690,15,0.22,1.0057,1.1342,1.1251,1.2745,1.1307,1.0068
M5,chacha20_poly1305_encrypt,cntvct,cntvct_ticks_1ns,244,1119,15,0.85,1.0070,4.8326,4.7516,6.0872,4.8106,0.9972
M5,chacha20_poly1305_decrypt,cntvct,cntvct_ticks_1ns,257,1180,15,0.96,1.0217,4.9040,4.7916,6.2127,4.9214,0.9960
M5,aesni256gcm_encrypt,cntvct,cntvct_ticks_1ns,55,252,15,2.29,1.0096,5.2735,5.1441,7.1021,5.2663,1.0769
M5,aesni256gcm_decrypt,cntvct,cntvct_ticks_1ns,75,345,15,1.77,1.0116,4.1435,4.0735,4.5052,4.1886,1.0066
M5,argon2id,cntvct,cntvct_ticks_1ns,43119611,197919013,15,0.15,0.9977,1.0002,0.9977,1.0008,1.0004,1.0002
M5,ed25519,kperf,kperf_cycles,38072,38072,15,0.50,1.0004,1.1194,1.0988,1.2425,1.1178,0.9963
M5,chacha20_poly1305_encrypt,kperf,kperf_cycles,3770,3770,15,3.70,1.0120,2.1934,2.1646,2.5816,2.2009,0.9924
M5,chacha20_poly1305_decrypt,kperf,kperf_cycles,3919,3919,15,6.22,1.0254,2.2183,2.1804,2.6286,2.2133,0.9974
M5,aesni256gcm_encrypt,kperf,kperf_cycles,2847,2847,15,0.69,1.0099,1.3512,1.3382,1.5116,1.3532,0.9931
M5,aesni256gcm_decrypt,kperf,kperf_cycles,2930,2930,15,1.05,1.0359,1.3464,1.3382,1.3898,1.3465,0.9920
M5,argon2id,kperf,kperf_cycles,189085923,189085923,15,0.17,0.9981,1.0004,0.9980,0.9987,1.0002,1.0000
