benchmark,arm,archive,rep,mean_ticks,n,dit_exit,cycle_src,timer_src,tot_cyc,tot_ins,map_stall,flush,reg_cyc,reg_ins,reg_n,samp_cyc,samp_ins,samp_n,samp_every,pmc_off,reg_drop,pinned
ed25519,A,base,1,8086.592,1000,0,pmc,cntvct,0,0,0,0,8298381,0,1025,548334,2397760,16,64,1,0,9
ed25519,C,base,1,8057.970,1000,1,pmc,cntvct,0,0,0,0,8258681,0,1025,554682,2397760,16,64,1,0,9
ed25519,B,base,1,8073.332,1000,0,pmc,cntvct,0,0,0,0,8281293,0,1025,557338,2397920,16,64,1,0,9
ed25519,T,base,1,7962.108,1000,0,pmc,cntvct,0,0,0,0,8167286,0,1025,548944,2397920,16,64,1,0,9
ed25519,P,taint,1,8050.225,1000,0,pmc,cntvct,0,0,0,0,8252081,0,1025,559789,2399728,16,64,1,0,9
ed25519,Z,taintnop,1,8034.341,1000,0,pmc,cntvct,0,0,0,0,8231526,0,1025,553704,2399824,16,64,1,0,9
ed25519,C,base,2,8025.627,1000,1,pmc,cntvct,0,0,0,0,8228577,0,1025,554856,2397760,16,64,1,0,9
ed25519,B,base,2,8053.906,1000,0,pmc,cntvct,0,0,0,0,8257962,0,1025,556710,2397920,16,64,1,0,9
ed25519,T,base,2,7961.812,1000,0,pmc,cntvct,0,0,0,0,8160638,0,1025,548148,2397920,16,64,1,0,9
ed25519,P,taint,2,8047.517,1000,0,pmc,cntvct,0,0,0,0,8252263,0,1025,559827,2399728,16,64,1,0,9
ed25519,Z,taintnop,2,8040.024,1000,0,pmc,cntvct,0,0,0,0,8239961,0,1025,554497,2399824,16,64,1,0,9
ed25519,A,base,2,7955.311,1000,0,pmc,cntvct,0,0,0,0,8156142,0,1025,549552,2397760,16,64,1,0,9
ed25519,B,base,3,8067.640,1000,0,pmc,cntvct,0,0,0,0,8277082,0,1025,556491,2397920,16,64,1,0,9
ed25519,T,base,3,7959.648,1000,0,pmc,cntvct,0,0,0,0,8158104,0,1025,548473,2397920,16,64,1,0,9
ed25519,P,taint,3,8053.847,1000,0,pmc,cntvct,0,0,0,0,8259458,0,1025,560210,2399728,16,64,1,0,9
ed25519,Z,taintnop,3,8037.919,1000,0,pmc,cntvct,0,0,0,0,8236173,0,1025,553535,2399824,16,64,1,0,9
ed25519,A,base,3,7968.618,1000,0,pmc,cntvct,0,0,0,0,8170342,0,1025,549756,2397760,16,64,1,0,9
