primitive,arm,iters,cycles,instructions,ticks,dit_exit
aes_dec,A,200000,169525437,941084429,36824384,0
aes_dec,C,200000,167548781,941088104,36381371,1
aes_dec,C,200000,167479054,941063949,36362787,1
aes_dec,A,200000,168796044,941081928,36657962,0
aes_dec,A,200000,169430455,941072125,36784574,0
aes_dec,C,200000,168050870,941078958,36483649,1
aes_dec,C,200000,167792890,941067555,36430030,1
aes_dec,A,200000,168272382,941067572,36526857,0
aes_dec,A,200000,170499587,941056506,37011447,0
aes_dec,C,200000,167899033,941068950,36446071,1
aes_dec,C,200000,168488327,941079759,36582909,1
aes_dec,A,200000,170419578,941079540,37008905,0
aes_dec,A,200000,168204956,941075592,36515482,0
aes_dec,C,200000,168252408,941083985,36532207,1
aes_dec,C,200000,167912336,941085848,36452047,1
aes_dec,A,200000,171109869,941079059,37153785,0
aes_dec,A,200000,169493286,941087082,36802033,0
aes_dec,C,200000,167957160,941080302,36467672,1
aes_dec,C,200000,168807032,941097874,36655671,1
aes_dec,A,200000,169517138,941075650,36810408,0
aes_dec,A,200000,168650205,941067334,36615594,0
aes_dec,C,200000,169505860,941067585,36801991,1
aes_dec,C,200000,167441783,941083681,36357436,1
aes_dec,A,200000,169685768,941060132,36838300,0
aes_dec,A,200000,168588109,941048897,36596909,0
aes_dec,C,200000,169995566,941074501,36900377,1
aes_dec,C,200000,168655227,941062063,36621803,1
aes_dec,A,200000,170147484,941052641,36931936,0
aes_dec,A,200000,170316380,941060347,36984887,0
aes_dec,C,200000,167458606,941060815,36370496,1
aes_dec,C,200000,167842880,941064376,36443572,1
aes_dec,A,200000,168524911,941075894,36596243,0
aes_dec,A,200000,168672233,941067826,36623469,0
aes_dec,C,200000,168041844,941060105,36480023,1
aes_dec,C,200000,169729009,941077232,36845591,1
aes_dec,A,200000,169607176,941064995,36823467,0
aes_dec,A,200000,169905027,941066109,36902794,0
aes_dec,C,200000,167664157,941060869,36408179,1
aes_dec,C,200000,169691825,941069263,36843901,1
aes_dec,A,200000,169815251,941072256,36880526,0
aes_dec,A,200000,170083035,941056897,36921519,0
aes_dec,C,200000,169858281,941074942,36872002,1
