primitive,arm,iters,cycles,instructions,ticks,dit_exit
control,A,200000,57755766,155645303,12540100,0
control,C,200000,167702095,155675785,36417447,1
control,C,200000,167684172,155675112,36405429,1
control,A,200000,57696889,155637821,12524665,0
control,A,200000,57809747,155633510,12553184,0
control,C,200000,167675331,155675598,36402971,1
control,C,200000,167677920,155683251,36411429,1
control,A,200000,57655258,155635886,12517082,0
control,A,200000,57725385,155641634,12530415,0
control,C,200000,167678627,155672986,36410013,1
control,C,200000,167470136,155648817,36362936,1
control,A,200000,57733985,155626000,12535475,0
control,A,200000,57772659,155635108,12542474,0
control,C,200000,168171141,155808556,36592535,1
control,C,200000,167688408,155682840,36410012,1
control,A,200000,57697302,155635522,12524933,0
control,A,200000,57656241,155641807,12525374,0
control,C,200000,167759686,155698268,36427947,1
control,C,200000,167697967,155675555,36404471,1
control,A,200000,57708221,155637237,12528808,0
control,A,200000,57779757,155648612,12547058,0
control,C,200000,167751435,155692447,36426280,1
control,C,200000,167742086,155685911,36435905,1
control,A,200000,57617753,155626277,12504165,0
control,A,200000,57760627,155645464,12537957,0
control,C,200000,167802136,155692557,36438656,1
control,C,200000,168295664,155711604,36545791,1
control,A,200000,57706615,155637722,12529058,0
control,A,200000,57688142,155633520,12533850,0
control,C,200000,167723359,155685427,36414280,1
control,C,200000,167688818,155682731,36413553,1
control,A,200000,57773923,155630349,12542642,0
control,A,200000,57713954,155641706,12529766,0
control,C,200000,167723754,155690673,36427471,1
control,C,200000,167630119,155668079,36402637,1
control,A,200000,57764852,155618321,12535832,0
control,A,200000,57612029,155622259,12500623,0
control,C,200000,167725077,155683033,36420554,1
control,C,200000,167782637,155692672,36432114,1
control,A,200000,57735431,155641456,12532267,0
control,A,200000,57859718,155655107,12561617,0
control,C,200000,167719397,155687044,36431595,1
ed25519_sign,A,200000,8575747981,37757621767,1861746603,0
ed25519_sign,C,200000,8623845038,37757272026,1872153032,1
ed25519_sign,C,200000,8623223484,37757137928,1871997320,1
ed25519_sign,A,200000,8571668667,37757266414,1860844678,0
ed25519_sign,A,200000,8575145044,37757263375,1861599951,0
ed25519_sign,C,200000,8624228388,37757218853,1872241192,1
ed25519_sign,C,200000,8622971268,37757158108,1872021444,1
ed25519_sign,A,200000,8572930570,37757352974,1861167788,0
ed25519_sign,A,200000,8576036950,37757281733,1861880358,0
ed25519_sign,C,200000,8624628126,37757237473,1872603694,1
ed25519_sign,C,200000,8623825728,37757222283,1872914554,1
ed25519_sign,A,200000,8571860684,37757394066,1862619839,0
ed25519_sign,A,200000,8575172422,37757383361,1863695996,0
ed25519_sign,C,200000,8626245990,37757216907,1875036102,1
ed25519_sign,C,200000,8625276884,37757339716,1875405394,1
ed25519_sign,A,200000,8572401352,37757328803,1865384838,0
ed25519_sign,A,200000,8571667222,37757263746,1863806007,0
ed25519_sign,C,200000,8625752329,37757208557,1877136648,1
ed25519_sign,C,200000,8624419901,37757279890,1879945305,1
ed25519_sign,A,200000,8575843092,37757438287,1870089377,0
