benchmark,arm,archive,rep,mean_ticks,n,dit_exit,cycle_src,timer_src,tot_cyc,tot_ins,map_stall,flush,reg_cyc,reg_ins,reg_n,samp_cyc,samp_ins,samp_n,samp_every,pmc_off,reg_drop
ed25519,A,base,1,7533.852,1000,0,kperf,cntvct,173071429,750626324,74803973,5275,38537131,167239625,1025,0,0,0,64,0,0
ed25519,C,base,1,7562.230,1000,1,kperf,cntvct,171900884,750065224,75269627,5165,38485904,167213533,1025,0,0,0,64,0,0
ed25519,B,base,1,7647.210,1000,0,kperf,cntvct,172795372,750738044,75354092,11325,38951139,167255179,1025,0,0,0,64,0,0
ed25519,T,base,1,7558.634,1000,0,kperf,cntvct,171968948,750572826,74420081,5273,38505496,167274502,1025,0,0,0,64,0,0
ed25519,P,taint,1,7586.953,1000,0,kperf,cntvct,352631595,754682654,96718809,3503632,38607548,167318665,1025,0,0,0,64,0,0
ed25519,Z,taintnop,1,7557.744,1000,0,kperf,cntvct,173298514,754648109,74490203,5291,38498470,167322211,1025,0,0,0,64,0,0
ed25519,C,base,2,7571.332,1000,1,kperf,cntvct,172446905,750153332,75639814,5166,38551297,167197099,1025,0,0,0,64,0,0
ed25519,B,base,2,7644.466,1000,0,kperf,cntvct,172456176,750224779,75301745,11389,38936310,167211059,1025,0,0,0,64,0,0
ed25519,T,base,2,7558.963,1000,0,kperf,cntvct,171999961,750249828,74543893,5240,38476981,167211928,1025,0,0,0,64,0,0
ed25519,P,taint,2,7629.930,1000,0,kperf,cntvct,352994360,754282869,96787953,3504307,38865747,167336782,1025,0,0,0,64,0,0
ed25519,Z,taintnop,2,7578.943,1000,0,kperf,cntvct,172729201,754220230,74723972,5284,38580342,167343525,1025,0,0,0,64,0,0
ed25519,A,base,2,7536.646,1000,0,kperf,cntvct,172496222,750141558,74873160,5559,38389191,167201199,1025,0,0,0,64,0,0
ed25519,B,base,3,7668.664,1000,0,kperf,cntvct,172432945,750075282,75392085,11319,38990781,167223608,1025,0,0,0,64,0,0
ed25519,T,base,3,7551.401,1000,0,kperf,cntvct,172222107,750234832,74580821,5241,38436363,167229889,1025,0,0,0,64,0,0
ed25519,P,taint,3,7608.351,1000,0,kperf,cntvct,352600564,754201210,96863360,3504157,38722607,167320721,1025,0,0,0,64,0,0
ed25519,Z,taintnop,3,7578.230,1000,0,kperf,cntvct,172677723,754067997,74573745,5272,38589273,167337592,1025,0,0,0,64,0,0
ed25519,A,base,3,7556.680,1000,0,kperf,cntvct,172311215,750284004,74936027,5433,38507269,167217320,1025,0,0,0,64,0,0
ed25519,C,base,3,7562.833,1000,1,kperf,cntvct,171855394,750237877,75399470,5166,38521732,167219536,1025,0,0,0,64,0,0
ed25519,T,base,4,7537.967,1000,0,kperf,cntvct,171890598,749929638,74526703,5270,38402710,167226682,1025,0,0,0,64,0,0
ed25519,P,taint,4,7602.655,1000,0,kperf,cntvct,352374695,754128556,96595409,3503278,38638651,167329672,1025,0,0,0,64,0,0
ed25519,Z,taintnop,4,7549.600,1000,0,kperf,cntvct,172704199,754353348,74564865,5385,38439562,167334239,1025,0,0,0,64,0,0
ed25519,A,base,4,7579.815,1000,0,kperf,cntvct,172408941,750126936,75023128,5469,38560152,167226835,1025,0,0,0,64,0,0
ed25519,C,base,4,7585.352,1000,1,kperf,cntvct,172396576,750119022,75431077,5167,38593862,167218471,1025,0,0,0,64,0,0
ed25519,B,base,4,7645.150,1000,0,kperf,cntvct,172758876,750049727,75220671,11326,39076892,167229169,1025,0,0,0,64,0,0
ed25519,P,taint,5,7591.499,1000,0,kperf,cntvct,352375046,754132520,96657546,3503511,38656543,167319875,1025,0,0,0,64,0,0
ed25519,Z,taintnop,5,7554.301,1000,0,kperf,cntvct,172777841,754234335,74552723,5279,38579647,167319185,1025,0,0,0,64,0,0
ed25519,A,base,5,7547.422,1000,0,kperf,cntvct,172564954,750337795,74850655,5367,38480705,167212114,1025,0,0,0,64,0,0
ed25519,C,base,5,7550.136,1000,1,kperf,cntvct,171819878,750252752,74932344,5166,38463191,167206888,1025,0,0,0,64,0,0
ed25519,B,base,5,7670.822,1000,0,kperf,cntvct,172584448,750203490,75383702,11326,39051212,167218001,1025,0,0,0,64,0,0
ed25519,T,base,5,7549.649,1000,0,kperf,cntvct,171802099,750240952,74443699,5316,38431243,167222968,1025,0,0,0,64,0,0
ed25519,Z,taintnop,6,7567.120,1000,0,kperf,cntvct,172473918,754063901,74364605,5309,38507155,167339019,1025,0,0,0,64,0,0
ed25519,A,base,6,7543.815,1000,0,kperf,cntvct,172140586,750134299,74718877,5647,38455099,167214263,1025,0,0,0,64,0,0
ed25519,C,base,6,7570.675,1000,1,kperf,cntvct,171941492,750233813,75358945,5166,38500199,167212244,1025,0,0,0,64,0,0
ed25519,B,base,6,7643.743,1000,0,kperf,cntvct,172111418,750048520,75275928,11360,38885578,167216189,1025,0,0,0,64,0,0
ed25519,T,base,6,7518.767,1000,0,kperf,cntvct,171623847,749907762,74480615,5284,38289859,167209369,1025,0,0,0,64,0,0
ed25519,P,taint,6,7630.414,1000,0,kperf,cntvct,352650315,754191366,96602476,3503165,38851867,167350278,1025,0,0,0,64,0,0
ed25519,A,base,7,7564.341,1000,0,kperf,cntvct,172289761,750247793,74879226,5269,38525280,167217632,1025,0,0,0,64,0,0
ed25519,C,base,7,7566.938,1000,1,kperf,cntvct,172072573,750035688,75518149,5169,38507438,167201703,1025,0,0,0,64,0,0
ed25519,B,base,7,7664.947,1000,0,kperf,cntvct,172526730,750275753,75304024,11329,38942812,167230807,1025,0,0,0,64,0,0
ed25519,T,base,7,7550.689,1000,0,kperf,cntvct,171966534,750066699,74401378,5345,38515478,167241441,1025,0,0,0,64,0,0
ed25519,P,taint,7,7582.824,1000,0,kperf,cntvct,352003576,754141427,96578016,3503190,38601778,167317925,1025,0,0,0,64,0,0
ed25519,Z,taintnop,7,7550.300,1000,0,kperf,cntvct,172464450,753980301,74479550,5290,38455677,167322281,1025,0,0,0,64,0,0
ed25519,C,base,8,7575.535,1000,1,kperf,cntvct,172163112,750214245,75467702,5165,38554225,167208486,1025,0,0,0,64,0,0
ed25519,B,base,8,7665.561,1000,0,kperf,cntvct,172299733,750017142,75319760,11319,38983774,167223625,1025,0,0,0,64,0,0
ed25519,T,base,8,7572.834,1000,0,kperf,cntvct,172263551,750273769,74539061,5270,38562033,167232714,1025,0,0,0,64,0,0
ed25519,P,taint,8,7617.042,1000,0,kperf,cntvct,352555268,753981830,97077466,3501260,38773666,167339514,1025,0,0,0,64,0,0
ed25519,Z,taintnop,8,7568.370,1000,0,kperf,cntvct,172557676,754227689,74514886,5306,38583409,167333502,1025,0,0,0,64,0,0
ed25519,A,base,8,7552.098,1000,0,kperf,cntvct,172343851,750236917,74940361,5481,38470426,167212198,1025,0,0,0,64,0,0
ed25519,B,base,9,7641.980,1000,0,kperf,cntvct,172275221,750213560,75369367,11322,38897353,167209489,1025,0,0,0,64,0,0
ed25519,T,base,9,7534.711,1000,0,kperf,cntvct,171861668,750200784,74451230,5308,38390518,167219672,1025,0,0,0,64,0,0
ed25519,P,taint,9,7598.147,1000,0,kperf,cntvct,352613773,754251337,96684066,3505077,38695068,167321603,1025,0,0,0,64,0,0
ed25519,Z,taintnop,9,7563.293,1000,0,kperf,cntvct,172479052,754134755,74526089,5316,38518498,167334309,1025,0,0,0,64,0,0
ed25519,A,base,9,7548.036,1000,0,kperf,cntvct,172146381,750038177,74476950,5370,38422903,167208105,1025,0,0,0,64,0,0
ed25519,C,base,9,7563.602,1000,1,kperf,cntvct,172298546,750061915,75508118,5164,38495987,167197039,1025,0,0,0,64,0,0
ed25519,T,base,10,7532.921,1000,0,kperf,cntvct,171987509,750183405,74544341,5262,38497607,167211396,1025,0,0,0,64,0,0
ed25519,P,taint,10,7603.553,1000,0,kperf,cntvct,352924952,754232743,97150441,3504244,38722115,167331404,1025,0,0,0,64,0,0
ed25519,Z,taintnop,10,7547.096,1000,0,kperf,cntvct,172387248,754142238,74512832,5748,38457704,167326496,1025,0,0,0,64,0,0
ed25519,A,base,10,7551.616,1000,0,kperf,cntvct,172932526,750177526,74900874,5390,38595576,167200468,1025,0,0,0,64,0,0
ed25519,C,base,10,7564.829,1000,1,kperf,cntvct,171559998,750147366,74962605,5172,38483586,167202357,1025,0,0,0,64,0,0
ed25519,B,base,10,7658.331,1000,0,kperf,cntvct,172614095,750256748,75428449,11374,38983309,167208969,1025,0,0,0,64,0,0
ed25519,P,taint,11,7577.686,1000,0,kperf,cntvct,352495081,754204918,96490300,3503677,38631593,167323456,1025,0,0,0,64,0,0
ed25519,Z,taintnop,11,7573.388,1000,0,kperf,cntvct,172575502,754346331,74486160,5308,38585754,167339925,1025,0,0,0,64,0,0
ed25519,A,base,11,7544.676,1000,0,kperf,cntvct,172002032,750086895,74580080,5361,38459969,167212368,1025,0,0,0,64,0,0
ed25519,C,base,11,7568.659,1000,1,kperf,cntvct,171707136,750254450,75037519,5168,38494515,167202051,1025,0,0,0,64,0,0
ed25519,B,base,11,7649.623,1000,0,kperf,cntvct,172542926,750149137,75277417,11355,38974602,167229813,1025,0,0,0,64,0,0
ed25519,T,base,11,7540.705,1000,0,kperf,cntvct,171920577,750257738,74435529,5299,38476289,167229443,1025,0,0,0,64,0,0
ed25519,Z,taintnop,12,7540.469,1000,0,kperf,cntvct,172538985,754053180,74436878,5595,38440049,167319877,1025,0,0,0,64,0,0
ed25519,A,base,12,7562.845,1000,0,kperf,cntvct,172833098,750377278,75064425,5395,38555038,167204562,1025,0,0,0,64,0,0
ed25519,C,base,12,7567.977,1000,1,kperf,cntvct,172050674,750089046,75330391,5167,38509422,167204556,1025,0,0,0,64,0,0
ed25519,B,base,12,7694.521,1000,0,kperf,cntvct,173852995,750242027,75232845,11354,39123343,167246089,1025,0,0,0,64,0,0
ed25519,T,base,12,7535.086,1000,0,kperf,cntvct,171809297,749929044,74362788,5374,38412537,167213208,1025,0,0,0,64,0,0
ed25519,P,taint,12,7596.091,1000,0,kperf,cntvct,352077426,754055327,96782519,3502009,38738874,167332260,1025,0,0,0,64,0,0
ed25519,A,base,13,7551.827,1000,0,kperf,cntvct,172181747,750215675,74925751,5318,38476661,167209387,1025,0,0,0,64,0,0
ed25519,C,base,13,7571.437,1000,1,kperf,cntvct,172102379,750047870,75403915,5165,38538534,167211326,1025,0,0,0,64,0,0
ed25519,B,base,13,7668.531,1000,0,kperf,cntvct,172287595,750008230,75324266,11318,38954343,167228054,1025,0,0,0,64,0,0
ed25519,T,base,13,7523.908,1000,0,kperf,cntvct,171921946,750217198,74552461,5331,38362638,167208579,1025,0,0,0,64,0,0
ed25519,P,taint,13,7599.651,1000,0,kperf,cntvct,352403918,754294159,96717482,3504235,38710131,167321436,1025,0,0,0,64,0,0
ed25519,Z,taintnop,13,7552.355,1000,0,kperf,cntvct,172753124,754169155,74679292,5275,38489128,167325183,1025,0,0,0,64,0,0
ed25519,C,base,14,7568.877,1000,1,kperf,cntvct,172106476,750212533,75372331,5167,38504293,167209196,1025,0,0,0,64,0,0
ed25519,B,base,14,7648.268,1000,0,kperf,cntvct,172337368,750019621,75342847,11330,38913430,167210897,1025,0,0,0,64,0,0
ed25519,T,base,14,7526.524,1000,0,kperf,cntvct,172625645,750251145,74416181,5246,38512255,167209446,1025,0,0,0,64,0,0
ed25519,P,taint,14,7597.233,1000,0,kperf,cntvct,352715987,754216926,96659653,3503144,38656003,167330913,1025,0,0,0,64,0,0
ed25519,Z,taintnop,14,7546.858,1000,0,kperf,cntvct,172584803,754066686,74377883,5299,38493496,167325673,1025,0,0,0,64,0,0
ed25519,A,base,14,7508.632,1000,0,kperf,cntvct,171885847,750028639,74245547,5284,38303861,167196179,1025,0,0,0,64,0,0
ed25519,B,base,15,7650.789,1000,0,kperf,cntvct,172501490,750117217,75390783,11325,38938137,167209859,1025,0,0,0,64,0,0
ed25519,T,base,15,7532.581,1000,0,kperf,cntvct,172050598,750187897,74456100,5339,38411829,167225884,1025,0,0,0,64,0,0
ed25519,P,taint,15,7632.858,1000,0,kperf,cntvct,353273317,754099462,97037438,3503316,38848535,167351943,1025,0,0,0,64,0,0
ed25519,Z,taintnop,15,7542.494,1000,0,kperf,cntvct,172985681,754114684,74501725,5845,38542190,167321631,1025,0,0,0,64,0,0
ed25519,A,base,15,7539.813,1000,0,kperf,cntvct,172139714,750083816,74658919,5678,38398756,167213890,1025,0,0,0,64,0,0
ed25519,C,base,15,7559.418,1000,1,kperf,cntvct,172450504,750163349,75356876,5171,38491288,167202411,1025,0,0,0,64,0,0
chacha20_poly1305_encrypt,A,base,1,231.602,1000,0,kperf,cntvct,12132158,47556727,1541401,5267,3739591,18693078,1025,0,0,0,64,0,0
chacha20_poly1305_encrypt,C,base,1,231.668,1000,1,kperf,cntvct,11661972,47346091,1657855,5157,3816206,18653459,1025,0,0,0,64,0,0
chacha20_poly1305_encrypt,B,base,1,270.845,1000,0,kperf,cntvct,12054071,47546085,1701351,11345,3905565,18709688,1025,0,0,0,64,0,0
