benchmark,metric,arm,archive,rep,value,dit_exit
ditprobe,Const,A,base,1,217,
ditprobe,Perm,A,base,1,652,
ditprobe,CoreMHz,A,base,1,4606,
ditprobe,DitBit,A,base,1,0,
ditprobe,Const,C,base,1,652,
ditprobe,Perm,C,base,1,652,
ditprobe,CoreMHz,C,base,1,4607,
ditprobe,DitBit,C,base,1,1,
ditprobe,Const,P,taint,1,217,
ditprobe,Perm,P,taint,1,652,
ditprobe,CoreMHz,P,taint,1,4585,
ditprobe,DitBit,P,taint,1,0,
ditprobe,Const,Z,taintnop,1,218,
ditprobe,Perm,Z,taintnop,1,652,
ditprobe,CoreMHz,Z,taintnop,1,4601,
ditprobe,DitBit,Z,taintnop,1,0,
ditprobe,Const,C,base,2,652,
ditprobe,Perm,C,base,2,653,
ditprobe,CoreMHz,C,base,2,4601,
ditprobe,DitBit,C,base,2,1,
ditprobe,Const,P,taint,2,217,
ditprobe,Perm,P,taint,2,652,
ditprobe,CoreMHz,P,taint,2,4589,
ditprobe,DitBit,P,taint,2,0,
ditprobe,Const,Z,taintnop,2,217,
ditprobe,Perm,Z,taintnop,2,653,
ditprobe,CoreMHz,Z,taintnop,2,4590,
ditprobe,DitBit,Z,taintnop,2,0,
ditprobe,Const,A,base,2,217,
ditprobe,Perm,A,base,2,652,
ditprobe,CoreMHz,A,base,2,4590,
ditprobe,DitBit,A,base,2,0,
ditprobe,Const,P,taint,3,218,
ditprobe,Perm,P,taint,3,654,
ditprobe,CoreMHz,P,taint,3,4601,
ditprobe,DitBit,P,taint,3,0,
ditprobe,Const,Z,taintnop,3,218,
ditprobe,Perm,Z,taintnop,3,651,
ditprobe,CoreMHz,Z,taintnop,3,4590,
ditprobe,DitBit,Z,taintnop,3,0,
ditprobe,Const,A,base,3,217,
ditprobe,Perm,A,base,3,652,
ditprobe,CoreMHz,A,base,3,4590,
ditprobe,DitBit,A,base,3,0,
ditprobe,Const,C,base,3,652,
ditprobe,Perm,C,base,3,654,
ditprobe,CoreMHz,C,base,3,4604,
ditprobe,DitBit,C,base,3,1,
ditprobe,Const,P,taint,4,217,
ditprobe,Perm,P,taint,4,653,
ditprobe,CoreMHz,P,taint,4,4601,
ditprobe,DitBit,P,taint,4,0,
ditprobe,Const,Z,taintnop,4,219,
ditprobe,Perm,Z,taintnop,4,653,
ditprobe,CoreMHz,Z,taintnop,4,4589,
ditprobe,DitBit,Z,taintnop,4,0,
ditprobe,Const,A,base,4,217,
ditprobe,Perm,A,base,4,654,
ditprobe,CoreMHz,A,base,4,4595,
ditprobe,DitBit,A,base,4,0,
ditprobe,Const,C,base,4,653,
ditprobe,Perm,C,base,4,653,
ditprobe,CoreMHz,C,base,4,4604,
ditprobe,DitBit,C,base,4,1,
ditprobe,Const,P,taint,5,218,
ditprobe,Perm,P,taint,5,652,
ditprobe,CoreMHz,P,taint,5,4581,
ditprobe,DitBit,P,taint,5,0,
ditprobe,Const,Z,taintnop,5,217,
ditprobe,Perm,Z,taintnop,5,653,
ditprobe,CoreMHz,Z,taintnop,5,4595,
ditprobe,DitBit,Z,taintnop,5,0,
ditprobe,Const,A,base,5,217,
ditprobe,Perm,A,base,5,652,
ditprobe,CoreMHz,A,base,5,4570,
ditprobe,DitBit,A,base,5,0,
ditprobe,Const,C,base,5,653,
ditprobe,Perm,C,base,5,653,
ditprobe,CoreMHz,C,base,5,4595,
ditprobe,DitBit,C,base,5,1,
