arm,function,need,underdit,collateral,total,switches
prim,<library total>,1975,2819,844,3197,95
api,<library total>,2810,5425,2615,7284,430
pass,<library total>,3033,5921,2888,8041,489
func,<library total>,3033,7719,4686,8041,499
nogate,<library total>,5287,12481,7194,16287,1088
prim,mbedtls_ssl_ticket_parse,0,0,0,0,0
prim,ssl_session_load,0,0,0,0,0
prim,mbedtls_ssl_session_load,0,0,0,0,0
prim,mbedtls_ssl_set_hs_psk,0,0,0,0,0
prim,setup_psa_key_derivation,0,0,0,0,0
prim,mbedtls_ssl_tls13_create_psk_binder,0,0,0,0,0
prim,mbedtls_ssl_tls13_evolve_secret,0,0,0,0,0
prim,mbedtls_ct_memcmp,0,0,0,0,0
prim,ssl_tls13_session_copy_ticket,0,0,0,0,0
prim,ssl_tls13_offered_psks_check_identity_match,0,0,0,0,0
prim,ssl_tls13_parse_pre_shared_key_ext,0,0,0,0,0
prim,mbedtls_ssl_handshake_server_step,0,0,0,0,0
prim,mbedtls_ssl_tls13_handshake_server_step,0,0,0,0,0
api,mbedtls_ssl_ticket_parse,0,0,0,0,0
api,ssl_session_load,0,0,0,0,0
api,mbedtls_ssl_session_load,0,0,0,0,0
api,mbedtls_ssl_set_hs_psk,0,0,0,0,0
api,setup_psa_key_derivation,0,0,0,0,0
api,mbedtls_ssl_tls13_create_psk_binder,0,0,0,0,0
api,mbedtls_ssl_tls13_evolve_secret,0,0,0,0,0
api,mbedtls_ct_memcmp,0,0,0,0,0
api,ssl_tls13_session_copy_ticket,0,0,0,0,0
api,ssl_tls13_offered_psks_check_identity_match,0,0,0,0,0
api,ssl_tls13_parse_pre_shared_key_ext,0,0,0,0,0
api,mbedtls_ssl_handshake_server_step,0,0,0,0,0
api,mbedtls_ssl_tls13_handshake_server_step,0,0,0,0,0
pass,mbedtls_ssl_ticket_parse,23,67,44,78,6
pass,ssl_session_load,134,269,135,270,14
pass,mbedtls_ssl_session_load,13,30,17,31,8
pass,mbedtls_ssl_set_hs_psk,13,29,16,81,5
pass,setup_psa_key_derivation,0,0,0,0,0
pass,mbedtls_ssl_tls13_create_psk_binder,12,32,20,133,9
pass,mbedtls_ssl_tls13_evolve_secret,15,45,30,132,10
pass,mbedtls_ct_memcmp,5,10,5,15,3
pass,ssl_tls13_session_copy_ticket,8,14,6,17,4
pass,ssl_tls13_offered_psks_check_identity_match,0,0,0,0,0
pass,ssl_tls13_parse_pre_shared_key_ext,0,0,0,0,0
pass,mbedtls_ssl_handshake_server_step,0,0,0,0,0
pass,mbedtls_ssl_tls13_handshake_server_step,0,0,0,0,0
func,mbedtls_ssl_ticket_parse,23,77,54,78,5
func,ssl_session_load,134,263,129,270,14
func,mbedtls_ssl_session_load,13,27,14,31,8
func,mbedtls_ssl_set_hs_psk,13,75,62,81,5
func,setup_psa_key_derivation,0,0,0,0,0
func,mbedtls_ssl_tls13_create_psk_binder,12,125,113,133,14
func,mbedtls_ssl_tls13_evolve_secret,15,124,109,132,12
func,mbedtls_ct_memcmp,5,14,9,15,2
func,ssl_tls13_session_copy_ticket,8,16,8,17,3
func,ssl_tls13_offered_psks_check_identity_match,0,0,0,0,0
func,ssl_tls13_parse_pre_shared_key_ext,0,0,0,0,0
func,mbedtls_ssl_handshake_server_step,0,0,0,0,0
func,mbedtls_ssl_tls13_handshake_server_step,0,0,0,0,0
nogate,mbedtls_ssl_ticket_parse,23,67,44,78,6
nogate,ssl_session_load,134,269,135,270,14
nogate,mbedtls_ssl_session_load,13,30,17,31,8
nogate,mbedtls_ssl_set_hs_psk,13,29,16,81,5
nogate,setup_psa_key_derivation,0,0,0,0,0
nogate,mbedtls_ssl_tls13_create_psk_binder,13,41,28,133,10
nogate,mbedtls_ssl_tls13_evolve_secret,15,45,30,132,10
nogate,mbedtls_ct_memcmp,5,10,5,15,3
nogate,ssl_tls13_session_copy_ticket,8,17,9,17,2
nogate,ssl_tls13_offered_psks_check_identity_match,68,222,154,229,29
nogate,ssl_tls13_parse_pre_shared_key_ext,132,440,308,448,37
nogate,mbedtls_ssl_handshake_server_step,0,0,0,0,0
nogate,mbedtls_ssl_tls13_handshake_server_step,6,12,6,191,4
