arm,function,undertaint_ops,sites
api_off,mbedtls_mpi_core_mla,14420459,55
api_off,mbedtls_mpi_core_sub,13554242,10
api_off,mbedtls_mpi_cmp_mpi,7622647,31
api_off,mbedtls_mpi_sub_abs,6509486,66
api_off,__memset_zva64,4200058,33
api_off,mbedtls_mpi_core_sub_int,2872349,6
api_off,mbedtls_mpi_core_cond_swap,2705583,16
api_off,calloc,2153286,38
api_off,mbedtls_mpi_core_mul,2015982,20
api_off,mbedtls_mpi_copy,1900762,36
api_off,__memcpy_generic,1839072,53
api_off,mbedtls_mpi_mul_mpi,1677032,64
api_off,add_sub_mpi,1487117,36
api_off,free,1407109,23
api_off,mbedtls_mpi_core_add,1186781,10
api_off,mbedtls_mpi_safe_cond_swap,779073,62
api_off,mbedtls_mpi_add_abs,680693,59
api_off,mbedtls_mpi_core_bitlen,652203,10
api_off,ecp_mod_p255,648500,19
api_off,mbedtls_mpi_core_shift_r,630509,27
api_off,mbedtls_mpi_mul_mod,215648,20
api_off,mbedtls_mpi_cmp_int,194605,15
api_off,mbedtls_mpi_gcd,194112,93
api_off,mbedtls_mpi_bitlen,162754,3
api_off,mbedtls_zeroize_and_free,138564,4
api_off,mbedtls_mpi_inv_mod,98524,80
api_off,explicit_bzero,62032,1
api_off,ecp_double_add_mxz,38189,42
api_off,ecp_mul_restartable_internal,31060,55
api_off,mbedtls_debug_print_msg,27108,12
api_off,mbedtls_mpi_get_bit,24705,7
api_off,_int_malloc,23724,357
api_off,_int_free_chunk,11282,33
api_off,__libc_calloc2,7759,42
api_off,mbedtls_mpi_core_random,7442,139
api_off,mbedtls_mpi_core_lt_ct,7352,41
api_off,mbedtls_mpi_core_write_le,4598,20
api_off,mbedtls_mpi_core_read_le,4086,21
api_off,mbedtls_ssl_print_extension,4034,17
api_off,mbedtls_mpi_add_mod,3959,11
api_off,mbedtls_debug_print_buf,3015,10
api_off,malloc_consolidate,2971,52
api_off,unlink_chunk.isra.0,2412,22
api_off,mbedtls_mpi_free,2364,8
api_off,psa_get_and_lock_key_slot,2356,21
api_off,mbedtls_mpi_sub_mod,2313,5
api_off,ecp_mod_p256,2238,220
api_off,ctr_drbg_update_internal,2220,25
api_off,mbedtls_ct_memcmp,2188,7
api_off,mbedtls_mpi_set_bit,2140,33
api_off,mbedtls_mpi_lset,2088,14
api_off,mbedtls_ssl_print_extensions,1941,16
api_off,mbedtls_ctr_drbg_random_with_add,1798,20
api_off,mbedtls_mpi_core_shift_l,1607,30
api_off,mbedtls_asn1_get_tag,1560,17
api_off,psa_hash_finish,1522,9
api_off,psa_key_derivation_input_bytes,1409,10
api_off,mbedtls_mpi_shift_l,1170,31
api_off,mbedtls_ssl_write_record,1148,61
api_off,mbedtls_ssl_decrypt_buf,1105,84
api_off,mbedtls_ssl_fetch_input,1027,27
api_off,ssl_tls13_parse_supported_groups_ext,1026,47
api_off,mbedtls_mpi_core_read_be,1024,27
api_off,psa_generate_random,1020,20
api_off,mbedtls_sha256_clone,1002,8
api_off,psa_wipe_key_slot,947,14
api_off,ssl_tls13_process_client_hello,927,128
api_off,mbedtls_ssl_tls13_hkdf_expand_label,919,21
api_off,mbedtls_ssl_read_record,893,54
api_off,psa_key_derivation_output_bytes,879,10
api_off,psa_free_key_slot,863,17
api_off,ssl_parse_record_header,852,35
api_off,mbedtls_ssl_tls13_handshake_client_step,823,192
api_off,mbedtls_ssl_encrypt_buf,820,84
api_off,mbedtls_ssl_flush_output,771,28
api_off,psa_get_and_lock_key_slot_with_policy,770,24
api_off,mbedtls_x509_get_name,693,35
api_off,mbedtls_mpi_div_mpi,666,33
api_off,mbedtls_mpi_mod_mpi,658,41
api_off,mbedtls_mpi_resize_clear,651,14
api_off,mbedtls_psa_ecp_load_representation,566,43
api_off,mbedtls_ssl_parse_sig_alg_ext,564,39
api_off,mbedtls_aes_crypt_ecb,561,2
api_off,mbedtls_ssl_tls13_check_received_extension,542,22
api_off,mbedtls_cipher_update,490,5
api_off,mbedtls_ecp_group_free,489,16
api_off,_int_free_merge_chunk,489,30
api_off,mbedtls_mpi_random,475,18
api_off,psa_key_derivation_hkdf_read,462,6
api_off,srv_send,460,26
api_off,cli_recv,436,15
api_off,_int_free_create_chunk,413,29
api_off,mbedtls_ssl_tls13_evolve_secret,407,20
api_off,mbedtls_ssl_sig_alg_to_str,400,17
api_off,mbedtls_ssl_add_hs_msg_to_checksum,388,17
api_off,psa_mac_compute,388,21
api_off,psa_hash_setup,384,12
api_off,mbedtls_ecp_group_load,363,22
api_off,mbedtls_psa_hash_clone,360,10
api_off,psa_aead_encrypt,355,30
api_off,mbedtls_ssl_write_client_hello,354,109
api_off,mbedtls_psa_hash_abort,342,15
api_off,ssl_tls13_parse_pre_shared_key_ext,341,86
api_off,mbedtls_ssl_tls13_compute_handshake_transform,326,52
api_off,srv_recv,314,15
api_off,psa_unregister_read,312,6
api_off,psa_destroy_key,309,7
api_off,mbedtls_ssl_prepare_handshake_record,304,15
api_off,psa_aead_decrypt,304,31
api_off,psa_key_derivation_setup_kdf,301,4
api_off,mbedtls_ssl_write_handshake_msg_ext,300,19
api_off,psa_raw_key_agreement,293,42
api_off,mbedtls_asn1_get_len,282,9
api_off,ssl_update_checksum_start,272,14
api_off,psa_export_key,270,31
api_off,ssl_extract_add_data_from_record,268,17
api_off,ssl_handshake_init,252,37
api_off,mbedtls_mpi_size,243,5
api_off,ssl_tls13_write_server_hello_body,242,64
api_off,mbedtls_ssl_tls13_write_client_hello_exts,240,79
api_off,mbedtls_ssl_named_group_to_str,240,10
api_off,mbedtls_psa_external_get_random,234,4
api_off,mbedtls_mpi_read_binary,226,9
api_off,mbedtls_mpi_init,222,2
api_off,psa_key_derivation_abort,222,3
api_off,ssl_tls13_parse_key_shares_ext,219,54
api_off,mbedtls_psa_key_agreement_ecdh,217,36
api_off,mbedtls_ecp_read_key,215,26
api_off,psa_mac_compute_internal,214,10
api_off,psa_unregister_read_under_mutex,212,7
api_off,mbedtls_ssl_tls13_write_identities_of_pre_shared_key_ext,208,58
api_off,ssl_write_supported_groups_ext,204,27
api_off,mbedtls_ecp_check_privkey,199,14
api_off,cli_send,195,21
api_off,mbedtls_platform_zeroize,193,3
api_off,ssl_update_checksum_sha256,192,4
api_off,mbedtls_mpi_read_binary_le,192,14
api_off,mbedtls_asn1_get_alg,189,39
api_off,mbedtls_ssl_write_sig_alg_ext,183,27
api_off,mbedtls_psa_get_random,183,4
api_off,mbedtls_ssl_tls13_generate_and_write_xxdh_key_exchange,178,30
api_off,psa_generate_key_custom,175,30
api_off,mbedtls_ecp_point_read_binary,171,31
api_off,mbedtls_ssl_tls13_is_supported_versions_ext_present_in_exts,168,21
api_off,x509_get_crt_ext,168,26
api_off,mbedtls_ecp_check_pubkey,168,23
api_off,mbedtls_sha512_init,162,8
api_off,mbedtls_mpi_core_fill_random,161,15
api_off,ssl_tls13_calc_finished_core,160,11
api_off,mbedtls_ssl_tls13_export_handshake_psk,156,16
api_off,mbedtls_ecp_group_init,156,14
api_off,ssl_session_load,153,39
api_off,mbedtls_ssl_handshake_free,150,25
api_off,mbedtls_ssl_tls13_process_finished_message,150,22
