   14420459 ops   55 sites  mbedtls_mpi_core_mla
   13554242 ops   10 sites  mbedtls_mpi_core_sub
    7622647 ops   31 sites  mbedtls_mpi_cmp_mpi
    6509486 ops   66 sites  mbedtls_mpi_sub_abs
    4200058 ops   33 sites  __memset_zva64
    2872349 ops    6 sites  mbedtls_mpi_core_sub_int
    2705583 ops   16 sites  mbedtls_mpi_core_cond_swap
    2151630 ops   38 sites  calloc
    2015982 ops   20 sites  mbedtls_mpi_core_mul
    1900762 ops   36 sites  mbedtls_mpi_copy
    1838952 ops   53 sites  __memcpy_generic
    1677032 ops   64 sites  mbedtls_mpi_mul_mpi
    1487117 ops   36 sites  add_sub_mpi
    1407109 ops   23 sites  free
    1186781 ops   10 sites  mbedtls_mpi_core_add
     779073 ops   62 sites  mbedtls_mpi_safe_cond_swap
     680693 ops   59 sites  mbedtls_mpi_add_abs
     652203 ops   10 sites  mbedtls_mpi_core_bitlen
     648500 ops   19 sites  ecp_mod_p255
     630509 ops   27 sites  mbedtls_mpi_core_shift_r
