seed_set,tu,function,need,underdit,collateral,total,switches,precision_pct,coverage_pct
glue,aes,mbedtls_aes_crypt_ecb,9,16,7,47,9,56.2,34.0
glue,aes,mbedtls_aes_setkey_dec,98,156,58,157,6,62.8,99.4
glue,aes,mbedtls_aes_setkey_enc,131,166,35,374,8,78.9,44.4
glue,aes,mbedtls_internal_aes_decrypt,234,269,35,270,3,87.0,99.6
glue,aes,mbedtls_internal_aes_encrypt,234,269,35,270,3,87.0,99.6
glue,aesce,mbedtls_aesce_crypt_ecb,100,112,12,113,2,89.3,99.1
glue,constant_time,mbedtls_ct_memcmp,5,10,5,15,3,50.0,66.7
glue,gcm,gcm_mask,89,145,56,151,3,61.4,96.0
glue,gcm,gcm_mult,44,62,18,62,2,71.0,100.0
glue,gcm,mbedtls_gcm_auth_decrypt,4,37,33,38,5,10.8,97.4
glue,gcm,mbedtls_gcm_crypt_and_tag,11,39,28,40,6,28.2,97.5
glue,gcm,mbedtls_gcm_finish,100,153,53,154,3,65.4,99.4
glue,gcm,mbedtls_gcm_setkey,133,173,40,205,8,76.9,84.4
glue,gcm,mbedtls_gcm_starts,19,49,30,88,5,38.8,55.7
glue,gcm,mbedtls_gcm_update,128,222,94,251,8,57.7,88.4
glue,gcm,mbedtls_gcm_update_ad,65,111,46,114,3,58.6,97.4
glue,rsa,mbedtls_rsa_private,97,355,258,356,61,27.3,99.7
glue,rsa,mbedtls_rsa_rsaes_pkcs1_v15_decrypt,136,175,39,176,7,77.7,99.4
glue,rsa,rsa_check_context,39,98,59,99,14,39.8,99.0
glue,rsa,rsa_unblind,38,65,27,71,12,58.5,91.5
glue,ssl_ticket,mbedtls_ssl_ticket_parse,23,67,44,78,6,34.3,85.9
glue,ssl_tls,mbedtls_ssl_session_load,13,30,17,31,8,43.3,96.8
glue,ssl_tls,mbedtls_ssl_set_hs_psk,13,29,16,81,5,44.8,35.8
glue,ssl_tls,setup_psa_key_derivation,26,67,41,69,10,38.8,97.1
glue,ssl_tls,ssl_compute_master,56,180,124,181,18,31.1,99.4
glue,ssl_tls,ssl_session_load,134,269,135,270,14,49.8,99.6
glue,ssl_tls12_server,ssl_decrypt_encrypted_pms,6,15,9,133,3,40.0,11.3
glue,ssl_tls13_keys,mbedtls_ssl_tls13_create_psk_binder,12,32,20,133,9,37.5,24.1
glue,ssl_tls13_keys,mbedtls_ssl_tls13_evolve_secret,15,45,30,132,10,33.3,34.1
glue2,ssl_tls13_server,ssl_tls13_session_copy_ticket,8,14,6,17,4,57.1,82.4
nogate,ssl_tls12_server,mbedtls_ssl_handshake_server_step,17,38,21,3861,8,44.7,1.0
nogate,ssl_tls12_server,ssl_decrypt_encrypted_pms,6,15,9,133,3,40.0,11.3
nogate,ssl_tls12_server,ssl_parse_encrypted_pms,83,114,31,115,6,72.8,99.1
prim,aes,mbedtls_aes_crypt_ecb,9,16,7,47,9,56.2,34.0
prim,aes,mbedtls_aes_setkey_dec,98,156,58,157,6,62.8,99.4
prim,aes,mbedtls_aes_setkey_enc,131,166,35,374,8,78.9,44.4
prim,aes,mbedtls_internal_aes_decrypt,234,269,35,270,3,87.0,99.6
prim,aes,mbedtls_internal_aes_encrypt,234,269,35,270,3,87.0,99.6
prim,aesce,mbedtls_aesce_crypt_ecb,100,112,12,113,2,89.3,99.1
prim,gcm,gcm_mask,89,145,56,151,3,61.4,96.0
prim,gcm,gcm_mult,44,62,18,62,2,71.0,100.0
prim,gcm,mbedtls_gcm_auth_decrypt,4,37,33,38,5,10.8,97.4
prim,gcm,mbedtls_gcm_crypt_and_tag,11,39,28,40,6,28.2,97.5
prim,gcm,mbedtls_gcm_finish,100,153,53,154,3,65.4,99.4
prim,gcm,mbedtls_gcm_setkey,133,173,40,205,8,76.9,84.4
prim,gcm,mbedtls_gcm_starts,19,49,30,88,5,38.8,55.7
prim,gcm,mbedtls_gcm_update,128,222,94,251,8,57.7,88.4
prim,gcm,mbedtls_gcm_update_ad,65,111,46,114,3,58.6,97.4
prim,rsa,mbedtls_rsa_private,97,355,258,356,61,27.3,99.7
prim,rsa,rsa_check_context,39,98,59,99,14,39.8,99.0
prim,rsa,rsa_unblind,38,65,27,71,12,58.5,91.5
