scenario,config,gap,cycles,insts,predictions,load_predictions,behind_clear,behind_clear_retired,in_sequence,leak_entry,behind_set_squashed,behind_clear_squashed_younger,behind_clear_squashed_samepath,rename_serializing,dit_tagged_set,branch_mispredicts,value_mispredicts,claim_violations,clears_committed,clears_reg_committed,early_published,early_lead_cycles,held_branch,held_valuepred,checksum
arch,nodit,24,2060.0,6114.0,2136.0,2042.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1456
arch,serializing,24,5589.0,6241.0,1137.0,1023.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,2176.0,7.0,1.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,1456
arch,flush-after,24,6908.0,6241.0,3301.0,3188.0,2165.0,0.0,1018.0,1018.0,0.0,0.0,1147.0,0.0,4150.0,5.0,1.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,1456
arch,frontier,24,2154.0,6241.0,1134.0,1021.0,1129.0,1128.0,0.0,0.0,0.0,1.0,0.0,0.0,2176.0,7.0,1.0,0.0,64.0,0.0,64.0,1152.0,64.0,0.0,1456
arch,frontier-reg,24,2298.0,6369.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3520.0,3.0,0.0,0.0,0.0,128.0,0.0,0.0,0.0,0.0,1456
arch,commit,24,2142.0,6241.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3710.0,7.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,1456
arch,writeback,24,2154.0,6241.0,1134.0,1021.0,1129.0,1128.0,0.0,0.0,0.0,1.0,0.0,0.0,2176.0,7.0,1.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,1456
arch,branch-only,24,2154.0,6241.0,1134.0,1021.0,1129.0,1128.0,0.0,0.0,0.0,1.0,0.0,0.0,2176.0,7.0,1.0,0.0,64.0,0.0,64.0,1152.0,64.0,0.0,1456
branch,nodit,24,220012.0,333598.0,106109.0,100822.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6050.0,0.0,69.0,253.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67725
branch,serializing,24,531359.0,369137.0,94850.0,94736.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17884.0,163449.0,122.0,0.0,0.0,5922.0,0.0,0.0,0.0,0.0,0.0,67725
branch,flush-after,24,632516.0,369137.0,94850.0,94736.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17880.0,270601.0,122.0,0.0,0.0,5922.0,0.0,0.0,0.0,0.0,0.0,67725
branch,frontier,24,257722.0,369137.0,24016.0,23902.0,23886.0,23886.0,0.0,0.0,0.0,0.0,0.0,6038.0,234656.0,122.0,0.0,0.0,5922.0,0.0,5922.0,5929.0,5974.0,0.0,67725
branch,frontier-reg,24,263474.0,380916.0,12016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6039.0,259281.0,122.0,0.0,0.0,0.0,11844.0,0.0,0.0,0.0,0.0,67725
branch,commit,24,263242.0,369137.0,130.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6038.0,258543.0,122.0,0.0,0.0,5922.0,0.0,0.0,0.0,0.0,0.0,67725
branch,writeback,24,257721.0,369137.0,95682.0,95568.0,95552.0,94720.0,832.0,0.0,0.0,0.0,0.0,6038.0,162990.0,122.0,0.0,0.0,5922.0,0.0,0.0,0.0,0.0,0.0,67725
branch,branch-only,24,257722.0,369137.0,24016.0,23902.0,23886.0,23886.0,0.0,0.0,0.0,0.0,0.0,6038.0,234656.0,122.0,0.0,0.0,5922.0,0.0,5922.0,5929.0,5974.0,0.0,67725
value,nodit,24,220164.0,333662.0,111625.0,101406.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6117.0,0.0,72.0,263.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67725
value,serializing,24,670428.0,381166.0,108348.0,99851.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29925.0,35526.0,68.0,255.0,0.0,11906.0,0.0,0.0,0.0,0.0,0.0,67725
value,flush-after,24,881865.0,381166.0,206132.0,188025.0,97784.0,0.0,0.0,0.0,1028.0,0.0,96756.0,29870.0,154015.0,135.0,263.0,0.0,11906.0,0.0,0.0,0.0,0.0,0.0,67725
value,frontier,24,261855.0,381166.0,96487.0,92759.0,87718.0,87718.0,0.0,0.0,0.0,0.0,0.0,6116.0,55793.0,71.0,255.0,0.0,11906.0,0.0,11906.0,17458.0,12037.0,0.0,67725
value,frontier-reg,24,267132.0,404913.0,34285.0,5225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6049.0,143384.0,67.0,256.0,0.0,0.0,23812.0,0.0,0.0,0.0,0.0,67725
value,commit,24,267113.0,381166.0,5749.0,5104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6054.0,143499.0,73.0,189.0,0.0,11906.0,0.0,0.0,0.0,0.0,0.0,67725
value,writeback,24,262042.0,381166.0,104596.0,100869.0,95760.0,94736.0,1024.0,0.0,0.0,0.0,0.0,6052.0,47755.0,71.0,254.0,0.0,11906.0,0.0,0.0,0.0,0.0,0.0,67725
value,branch-only,24,261855.0,381166.0,97581.0,93853.0,88798.0,87822.0,976.0,0.0,0.0,0.0,0.0,6116.0,54709.0,71.0,255.0,61.0,11906.0,0.0,11906.0,173085.0,12037.0,0.0,67725
