scenario,config,gap,cycles,insts,predictions,load_predictions,behind_clear,behind_clear_retired,in_sequence,leak_entry,behind_set_squashed,behind_clear_squashed_younger,behind_clear_squashed_samepath,rename_serializing,dit_tagged_set,branch_mispredicts,value_mispredicts,claim_violations,clears_committed,clears_reg_committed,early_published,early_lead_cycles,held_branch,held_valuepred,checksum
arch,nodit,0,1449.0,3042.0,2247.0,2028.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1456
arch,nodit,6,1497.0,3810.0,2305.0,2041.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1456
arch,nodit,12,1697.0,4578.0,2267.0,2045.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1456
arch,nodit,24,2060.0,6114.0,2136.0,2042.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1456
arch,nodit,48,2831.0,9186.0,2203.0,2046.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1456
arch,nodit,96,4355.0,15330.0,2138.0,2046.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1456
arch,nodit,192,7439.0,27618.0,2299.0,2047.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1456
arch,serializing,0,4910.0,3169.0,1110.0,1016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,2176.0,5.0,1.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,1456
arch,serializing,6,4922.0,3937.0,1017.0,1017.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,2176.0,5.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,1456
arch,serializing,12,5209.0,4705.0,1174.0,1021.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,2176.0,7.0,1.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,1456
arch,serializing,24,5589.0,6241.0,1137.0,1023.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,2176.0,7.0,1.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,1456
arch,serializing,48,6524.0,9313.0,1182.0,1024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,2176.0,5.0,1.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,1456
arch,serializing,96,7601.0,15457.0,1110.0,1023.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,2176.0,4.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,1456
arch,serializing,192,10673.0,27745.0,1019.0,1019.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,2176.0,4.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,1456
arch,flush-after,0,6326.0,3169.0,3810.0,3622.0,2694.0,0.0,943.0,943.0,0.0,1.0,1750.0,0.0,5524.0,7.0,2.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,1456
arch,flush-after,6,6384.0,3937.0,3624.0,3602.0,2579.0,0.0,958.0,958.0,0.0,0.0,1621.0,0.0,5031.0,6.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,1456
arch,flush-after,12,6538.0,4705.0,3328.0,3027.0,2151.0,0.0,1018.0,1018.0,0.0,1.0,1132.0,0.0,4787.0,9.0,1.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,1456
arch,flush-after,24,6908.0,6241.0,3301.0,3188.0,2165.0,0.0,1018.0,1018.0,0.0,0.0,1147.0,0.0,4150.0,5.0,1.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,1456
arch,flush-after,48,7873.0,9313.0,2142.0,1984.0,960.0,0.0,960.0,960.0,0.0,0.0,0.0,0.0,3520.0,7.0,1.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,1456
arch,flush-after,96,9397.0,15457.0,1755.0,1682.0,339.0,0.0,339.0,339.0,0.0,0.0,0.0,0.0,2932.0,5.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,1456
arch,flush-after,192,12465.0,27745.0,1019.0,1019.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2176.0,4.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,1456
arch,frontier,0,1609.0,3169.0,55.0,12.0,55.0,54.0,0.0,0.0,0.0,1.0,0.0,0.0,3509.0,5.0,0.0,0.0,64.0,0.0,64.0,961.0,64.0,0.0,1456
arch,frontier,6,1609.0,3937.0,42.0,42.0,42.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,3373.0,5.0,0.0,0.0,64.0,0.0,64.0,967.0,64.0,0.0,1456
arch,frontier,12,1775.0,4705.0,134.0,93.0,132.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,3421.0,6.0,1.0,0.0,64.0,0.0,64.0,960.0,64.0,0.0,1456
