row,family,size,cycles_A,instrs_A,ditwrites_A,cycles_C,instrs_C,ditwrites_C,cycles_B,instrs_B,ditwrites_B,cycles_H,instrs_H,ditwrites_H,cycles_Be,instrs_Be,ditwrites_Be,cycles_He,instrs_He,ditwrites_He
AEAD-AES-128-CBC-SHA1 open [1350 B],AEAD-AES-128-CBC-SHA1 open,1350,8290.5000,17442.4000,,8185.6000,17442.4000,0.0000,8351.6000,17527.4000,6.0000,8308.5000,17522.4000,5.0000,8165.1500,17527.4000,6.0000,8155.6000,17522.4000,5.0000
AEAD-AES-128-CBC-SHA1 open [16 B],AEAD-AES-128-CBC-SHA1 open,16,2701.4861,5433.1111,,2727.8194,5433.1111,0.0000,2892.6667,5518.1111,6.0000,2847.3472,5513.1111,5.0000,2704.2778,5518.1111,6.0000,2699.5972,5513.1111,5.0000
AEAD-AES-128-CBC-SHA1 open [16384 B],AEAD-AES-128-CBC-SHA1 open,16384,41452.0000,69303.6667,,41256.6667,69303.6667,0.0000,41447.6667,69388.6667,6.0000,41518.0000,69383.6667,5.0000,41309.0000,69388.6667,6.0000,41388.0000,69383.6667,5.0000
AEAD-AES-128-CBC-SHA1 open [256 B],AEAD-AES-128-CBC-SHA1 open,256,5832.1667,13619.2667,,5769.6333,13619.2667,0.0000,5899.0667,13704.2667,6.0000,5856.1667,13699.2667,5.0000,5702.5667,13704.2667,6.0000,5705.8000,13699.2667,5.0000
AEAD-AES-128-CBC-SHA1 open [8192 B],AEAD-AES-128-CBC-SHA1 open,8192,23397.5000,41081.3333,,23253.5000,41081.3333,0.0000,23446.0000,41166.3333,6.0000,23444.6667,41161.3333,5.0000,23281.5000,41166.3333,6.0000,23290.1667,41161.3333,5.0000
AEAD-AES-128-CBC-SHA1 open init,AEAD-AES-128-CBC-SHA1 open init,,1090.5273,2218.0485,,1098.0606,2218.0485,0.0000,1204.5273,2255.0485,3.0000,1157.2182,2250.0485,2.0000,1122.4788,2255.0485,3.0000,1118.0606,2250.0485,2.0000
AEAD-AES-128-CBC-SHA1 seal [1350 B],AEAD-AES-128-CBC-SHA1 seal,1350,5835.5312,6319.2500,,5846.9062,6319.2500,0.0000,6167.3438,6436.2500,8.0000,6131.5312,6432.2500,7.0000,5878.2500,6436.2500,8.0000,5875.2812,6432.2500,7.0000
AEAD-AES-128-CBC-SHA1 seal [16 B],AEAD-AES-128-CBC-SHA1 seal,16,863.1523,1765.0406,,869.2589,1765.0406,0.0000,1114.6599,1866.0406,7.0000,1080.5279,1862.0406,6.0000,888.6650,1866.0406,7.0000,885.6244,1862.0406,6.0000
AEAD-AES-128-CBC-SHA1 seal [16384 B],AEAD-AES-128-CBC-SHA1 seal,16384,61136.0000,54549.6667,,61119.3333,54549.6667,0.0000,61401.0000,54650.6667,7.0000,61371.3333,54646.6667,6.0000,61148.0000,54650.6667,7.0000,61148.0000,54646.6667,6.0000
AEAD-AES-128-CBC-SHA1 seal [256 B],AEAD-AES-128-CBC-SHA1 seal,256,1742.0769,2635.0769,,1747.5385,2635.0769,0.0000,2049.4712,2736.0769,7.0000,2014.3462,2732.0769,6.0000,1774.1538,2736.0769,7.0000,1772.6731,2732.0769,6.0000
AEAD-AES-128-CBC-SHA1 seal [8192 B],AEAD-AES-128-CBC-SHA1 seal,8192,30962.5000,28180.3333,,30962.1667,28180.3333,0.0000,31256.6667,28281.3333,7.0000,31224.8333,28277.3333,6.0000,30984.8333,28281.3333,7.0000,30988.6667,28277.3333,6.0000
AEAD-AES-128-CBC-SHA1 seal init,AEAD-AES-128-CBC-SHA1 seal init,,1096.6708,2239.0497,,1104.4037,2239.0497,0.0000,1213.7081,2276.0497,3.0000,1167.4720,2271.0497,2.0000,1131.7516,2276.0497,3.0000,1128.3478,2271.0497,2.0000
AEAD-AES-128-CCM-Bluetooth seal [1350 B],AEAD-AES-128-CCM-Bluetooth seal,1350,7809.9143,8356.2286,,7810.2286,8356.2286,0.0000,7886.2286,8375.2286,2.0000,7935.2286,8371.2286,1.0000,7814.1714,8375.2286,2.0000,7836.4857,8371.2286,1.0000
AEAD-AES-128-CCM-Bluetooth seal [16 B],AEAD-AES-128-CCM-Bluetooth seal,16,448.1884,868.0160,,448.1202,868.0160,0.0000,524.1964,887.0160,2.0000,476.1082,883.0160,1.0000,450.2184,887.0160,2.0000,466.1062,883.0160,1.0000
AEAD-AES-128-CCM-Bluetooth seal [16384 B],AEAD-AES-128-CCM-Bluetooth seal,16384,89740.3333,90558.6667,,89591.0000,90558.6667,0.0000,89849.3333,90577.6667,2.0000,89884.3333,90573.6667,1.0000,89774.3333,90577.6667,2.0000,89789.0000,90573.6667,1.0000
AEAD-AES-128-CCM-Bluetooth seal [256 B],AEAD-AES-128-CCM-Bluetooth seal,256,1759.4702,2192.0530,,1760.3311,2192.0530,0.0000,1836.2649,2211.0530,2.0000,1793.2715,2207.0530,1.0000,1760.4834,2211.0530,2.0000,1773.4238,2207.0530,1.0000
AEAD-AES-128-CCM-Bluetooth seal [8192 B],AEAD-AES-128-CCM-Bluetooth seal,8192,45027.8333,45641.3333,,44969.0000,45641.3333,0.0000,45131.5000,45660.3333,2.0000,45167.8333,45656.3333,1.0000,45058.3333,45660.3333,2.0000,45073.0000,45656.3333,1.0000
AEAD-AES-128-CCM-Bluetooth seal init,AEAD-AES-128-CCM-Bluetooth seal init,,174.1404,331.0077,,174.1113,331.0077,0.0000,325.0426,352.0077,2.0000,277.9700,347.0077,1.0000,174.1559,352.0077,2.0000,174.1317,347.0077,1.0000
AEAD-AES-128-GCM open [1350 B],AEAD-AES-128-GCM open,1350,1740.4066,4531.0879,,1737.5385,4531.0879,0.0000,1928.3516,4584.0879,3.0000,1898.1319,4578.0879,2.0000,1849.6703,4584.0879,3.0000,1794.5714,4578.0879,2.0000
AEAD-AES-128-GCM open [16 B],AEAD-AES-128-GCM open,16,436.0812,779.0203,,436.1650,779.0203,0.0000,630.4797,832.0203,3.0000,608.0660,826.0203,2.0000,548.3858,832.0203,3.0000,548.2792,826.0203,2.0000
AEAD-AES-128-GCM open [16384 B],AEAD-AES-128-GCM open,16384,15236.8889,46208.8889,,15239.3333,46208.8889,0.0000,15447.2222,46261.8889,3.0000,15414.6667,46255.8889,2.0000,15295.1111,46261.8889,3.0000,15289.3333,46255.8889,2.0000
AEAD-AES-128-GCM open [256 B],AEAD-AES-128-GCM open,256,617.1502,1352.0273,,618.1706,1352.0273,0.0000,824.8874,1405.0273,3.0000,797.0205,1399.0273,2.0000,748.0990,1405.0273,3.0000,666.9488,1399.0273,2.0000
AEAD-AES-128-GCM open [8192 B],AEAD-AES-128-GCM open,8192,7810.5556,23424.4444,,7812.6667,23424.4444,0.0000,8021.9444,23477.4444,3.0000,7988.6111,23471.4444,2.0000,7942.3889,23477.4444,3.0000,7862.7778,23471.4444,2.0000
AEAD-AES-128-GCM open init,AEAD-AES-128-GCM open init,,524.2247,648.0180,,526.1483,648.0180,0.0000,651.1258,669.0180,2.0000,601.0427,664.0180,1.0000,532.1888,669.0180,2.0000,531.1551,664.0180,1.0000
AEAD-AES-128-GCM seal [1350 B],AEAD-AES-128-GCM seal,1350,1662.4535,4488.0930,,1661.3488,4488.0930,0.0000,1862.1860,4507.0930,2.0000,1834.8140,4503.0930,1.0000,1787.0698,4507.0930,2.0000,1799.8953,4503.0930,1.0000
AEAD-AES-128-GCM seal [16 B],AEAD-AES-128-GCM seal,16,427.1624,740.0158,,428.1089,740.0158,0.0000,596.2693,759.0158,2.0000,571.0495,755.0158,1.0000,547.1149,759.0158,2.0000,533.0891,755.0158,1.0000
AEAD-AES-128-GCM seal [16384 B],AEAD-AES-128-GCM seal,16384,14221.3750,46166.0000,,14218.2500,46166.0000,0.0000,14412.5000,46185.0000,2.0000,14381.3750,46181.0000,1.0000,14357.3750,46185.0000,2.0000,14343.2500,46181.0000,1.0000
AEAD-AES-128-GCM seal [256 B],AEAD-AES-128-GCM seal,256,608.9088,1309.0281,,606.1193,1309.0281,0.0000,786.1018,1328.0281,2.0000,758.9544,1324.0281,1.0000,734.9544,1328.0281,2.0000,719.9789,1324.0281,1.0000
AEAD-AES-128-GCM seal [8192 B],AEAD-AES-128-GCM seal,8192,7307.1875,23381.5000,,7304.1250,23381.5000,0.0000,7491.2500,23400.5000,2.0000,7462.1875,23396.5000,1.0000,7438.1875,23400.5000,2.0000,7423.6250,23396.5000,1.0000
AEAD-AES-128-GCM seal init,AEAD-AES-128-GCM seal init,,524.2670,648.0181,,526.2217,648.0181,0.0000,651.0995,669.0181,2.0000,601.0724,664.0181,1.0000,532.2624,669.0181,2.0000,531.2557,664.0181,1.0000
AEAD-AES-128-GCM-SIV open [1350 B],AEAD-AES-128-GCM-SIV open,1350,7919.7647,9624.2353,,7929.7647,9624.2353,0.0000,8056.9412,9677.2353,3.0000,8010.5000,9671.2353,2.0000,7948.5588,9677.2353,3.0000,7948.5588,9671.2353,2.0000
