n,op,A_cycles_per_op,entries_per_op,C_pct,B_pct,Bs_pct,H_pct,Hs_pct,MAD_pct
1,"AES-128 single block",33.8,1.0,-0.10,277.38,359.98,-2.47,143.72,0.015
2,"EVP AES-GCM encrypt, 16 B",172.7,3.4,0.16,303.59,346.48,0.64,173.29,0.126
3,"AEAD AES-GCM seal, 16 B",190.1,1.0,-0.07,80.78,82.66,10.32,43.55,0.111
4,"AEAD AES-GCM open, 16 B",205.6,1.2,0.30,86.78,111.71,20.73,76.74,0.178
5,"AEAD ChaCha20-Poly1305 seal, 16 B",579.5,1.7,-0.10,44.41,47.84,3.82,35.23,0.145
6,"AEAD AES-GCM seal, 1350 B (a TLS record)",716.5,1.0,-0.28,21.33,21.55,2.38,11.54,0.376
7,"AEAD AES-GCM seal, 16 KB",5787.2,1.1,-0.02,3.02,3.20,0.79,2.02,0.060
8,"CMAC-AES-128, 16 KB",40816.9,1032.7,-0.70,236.94,285.78,-3.93,124.68,0.083
9,"ECDSA P-256 sign",42784.9,4.5,-3.85,1.63,1.97,-3.46,-2.90,0.167
10,"RNG, 16 B",6791.5,3.2,-25.35,7.35,8.48,-25.37,-22.15,0.066
