n,row,A_cycles_per_op,C_pct,B_pct,Bs_pct,H_pct,Hs_pct,MAD_pct
1,"AES-128 encrypt setup",39.9,-0.23,481.20,506.15,5.12,334.33,0.053
2,"EVP-AES-128-CBC decrypt [16 B]",103.3,0.56,325.09,530.68,23.05,323.33,2.040
3,"EVP-AES-128-GCM decrypt [16 B]",137.8,7.42,409.56,473.52,18.42,253.87,0.119
4,"CMAC-AES-128-CBC [16 B]",56.1,0.00,398.83,487.68,2.68,240.68,0.231
5,"EVP-AES-128-CTR decrypt [256 B]",112.2,0.01,294.23,407.84,6.24,229.40,0.032
6,"EVP-AES-128-CBC decrypt [256 B]",149.2,-1.78,224.96,360.24,2.11,222.39,0.935
7,"EVP-AES-128-CTR encrypt [256 B]",102.2,0.06,324.36,400.17,6.86,201.91,0.023
8,"EVP-AES-128-CBC encrypt [16 B]",93.6,10.37,353.66,426.58,10.22,200.36,0.223
9,"AEAD-AES-128-CCM-Bluetooth seal init",63.6,8.17,315.45,334.66,9.72,186.69,0.090
10,"EVP-AES-128-CTR decrypt [16 B]",112.3,-44.60,243.65,356.45,-16.92,178.36,21.870
11,"EVP-AES-128-GCM encrypt [16 B]",172.7,0.09,302.59,348.14,0.73,173.48,0.056
12,"EVP-AES-128-GCM decrypt [256 B]",225.1,0.98,253.29,290.27,8.95,159.28,0.295
13,"AEAD-ChaCha20-Poly1305 seal init",36.7,-13.65,263.03,345.05,-11.51,159.18,1.664
14,"AES-128 decrypt setup",71.0,-0.03,247.80,257.34,-0.17,150.77,0.155
15,"EVP-AES-128-CTR encrypt [16 B]",102.4,-48.97,266.41,343.97,-33.94,145.70,13.287
16,"AES-128 encrypt",33.8,-0.09,277.43,365.89,-2.60,143.57,0.147
17,"AES-128 decrypt",33.8,0.00,278.47,365.94,-2.64,143.57,0.068
18,"CMAC-AES-128-CBC [256 B]",625.0,1.24,268.68,323.85,-1.63,143.49,0.021
19,"AEAD-AES-128-GCM-SIV open init",80.1,0.63,222.25,254.20,-0.04,129.42,0.384
20,"CMAC-AES-128-CBC [1350 B]",3397.6,-1.44,240.88,292.16,-4.01,127.72,0.029
21,"AEAD-AES-128-GCM-SIV seal init",80.1,0.65,221.59,254.08,-0.11,127.32,0.185
22,"CMAC-AES-128-CBC [16384 B]",40795.9,-1.01,236.01,286.08,-3.78,126.63,0.100
23,"CMAC-AES-128-CBC [8192 B]",20409.5,-1.12,237.13,286.38,-3.81,125.01,0.120
24,"AEAD-AES-128-CBC-SHA1 seal [16 B]",383.5,5.28,49.38,132.56,10.34,116.55,0.641
25,"EVP-AES-128-GCM encrypt [256 B]",265.8,-0.68,194.99,227.16,-4.86,114.09,0.373
26,"EVP-AES-128-CBC decrypt [1350 B]",348.1,0.42,99.54,156.75,3.16,97.33,1.136
27,"AEAD-AES-128-GCM open [16 B]",205.0,0.28,88.31,113.22,20.48,77.00,0.019
28,"EVP-AES-128-CTR decrypt [1350 B]",368.4,0.04,92.96,126.99,5.30,72.82,0.055
29,"CMAC-AES-128-CBC init",311.3,2.67,112.70,134.47,2.97,72.32,3.798
30,"EVP-AES-128-CTR decrypt init",200.2,-1.70,93.85,95.51,7.56,62.34,6.032
31,"EVP-AES-128-CTR encrypt init",193.2,2.67,96.96,100.29,10.59,62.28,5.437
32,"EVP-AES-128-CTR encrypt [1350 B]",357.2,0.21,97.50,118.01,3.15,61.35,0.035
33,"EVP-AES-128-CBC encrypt init",196.3,1.97,95.14,100.59,8.54,61.24,3.937
