n,op,A_cycles_per_op,entries_per_op,C_pct,B_pct,Bs_pct,H_pct,Hs_pct,MAD_pct
1,"AES-128 single block",33.8,1.0,-0.09,277.43,365.89,-2.60,143.57,0.147
2,"EVP AES-GCM encrypt, 16 B",172.7,3.3,0.09,302.59,348.14,0.73,173.48,0.056
3,"AEAD AES-GCM seal, 16 B",190.7,1.0,-0.20,81.87,82.75,9.56,44.18,0.107
4,"AEAD AES-GCM open, 16 B",205.0,1.2,0.28,88.31,113.22,20.48,77.00,0.019
5,"AEAD ChaCha20-Poly1305 seal, 16 B",579.5,1.6,0.01,44.44,48.02,21.76,35.36,2.972
6,"AEAD AES-GCM seal, 1350 B (a TLS record)",718.0,1.0,-0.47,21.64,21.54,2.12,11.81,0.044
7,"AEAD AES-GCM seal, 16 KB",5794.9,1.1,-0.00,3.04,3.22,0.69,1.96,0.019
8,"CMAC-AES-128, 16 KB",40795.9,1027.6,-1.01,236.01,286.08,-3.78,126.63,0.100
9,"ECDSA P-256 sign",42742.4,4.8,-3.78,1.75,2.12,-3.42,-2.88,0.111
10,"RNG, 16 B",6795.1,3.0,-25.37,6.98,8.33,-25.44,-21.15,0.137
geomean_all,"geometric mean of arm/A over the rows above, all cells",,,-3.39,79.36,90.97,1.17,46.50,
geomean_clean,"geometric mean of arm/A over the rows above, suspect cells left out",,,-3.39,79.36,90.97,1.17,46.50,
