mb,arm,binary,checksum,leak,in_sequence_exit,cycles,insts,predictions,load_predictions,alu_predictions,pred_correct,dit_tagged_set,behind_clear,behind_clear_retired,in_sequence,in_sequence_entry,behind_clear_squashed_younger,behind_clear_squashed_samepath,behind_set_squashed,claim_violations,branch_mispredicts,value_mispredicts,cs_candidates,cs_simplified,cs_mult_by_zero,cs_mult_by_one,cs_dit_suppressed,dmp_fills,dmp_drop_dit,dmp_scan_attempts,dmp_scans,dmp_words_examined,dmp_ptr_candidates,dmp_gen_pointer,dmp_issued_ptr,dit_set_committed,dit_clear_committed
mb1,base,mb1_valuepred_base,496316728891688568,4038.0,0.0,48219.0,53274.0,4038.0,0.0,4038.0,4037.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mb1,apple,mb1_valuepred_expedite,496316728891688568,0.0,0.0,48392.0,53277.0,0.0,0.0,0.0,3.0,98384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
mb1,expedite,mb1_valuepred_expedite,496316728891688568,0.0,0.0,48262.0,53277.0,0.0,0.0,0.0,0.0,98225.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
mb2,base,mb2_compsimp_base,2475239992942155744,3552.0,0.0,20528.0,45080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4096.0,3552.0,3552.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mb2,apple,mb2_compsimp_expedite,2475239992942155744,0.0,0.0,20560.0,45082.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
mb2,expedite,mb2_compsimp_expedite,2475239992942155744,0.0,0.0,20530.0,45082.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
mb3,base,mb3_dmp_base,34377768512,64516.0,0.0,65663.0,98332.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,8193.0,0.0,8193.0,8193.0,65544.0,65537.0,64516.0,64516.0,0.0,0.0
mb3,apple,mb3_dmp_expedite,34377768512,8.0,0.0,49249.0,98334.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8192.0,8191.0,1.0,1.0,8.0,8.0,8.0,8.0,1.0,1.0
mb3,expedite,mb3_dmp_expedite,34377768512,0.0,0.0,49174.0,98334.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,8191.0,8191.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
mb4,base,mb4_specrule_base,378594930135363716,0.0,0.0,204079.0,238668.0,51332.0,42803.0,8529.0,44889.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2399.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mb4,apple,mb4_specrule_expedite,378594930135363716,0.0,0.0,344449.0,244812.0,91004.0,72262.0,18742.0,80708.0,311663.0,42574.0,0.0,0.0,0.0,2.0,40485.0,2086.0,0.0,5600.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,2048.0
mb4,expedite,mb4_specrule_expedite,378594930135363716,0.0,0.0,199712.0,244812.0,3733.0,1567.0,2166.0,2984.0,351293.0,475.0,245.0,0.0,0.0,190.0,40.0,0.0,0.0,2183.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,2048.0
mb4,writeback,mb4_specrule_expedite,378594930135363716,2129.0,2129.0,200293.0,244812.0,45566.0,35021.0,10545.0,41916.0,225613.0,38804.0,32924.0,2129.0,0.0,1641.0,2109.0,0.0,0.0,2265.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,2048.0
mb4nt,base,mb4_specrule_base,378594930135363716,0.0,0.0,204079.0,238668.0,51332.0,42803.0,8529.0,44889.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2399.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mb4nt,apple,mb4_specrule_notwin,378594930135363716,0.0,0.0,344209.0,244812.0,86505.0,67976.0,18529.0,80637.0,312408.0,38447.0,0.0,0.0,0.0,0.0,36835.0,1611.0,0.0,5645.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,2048.0
mb4nt,expedite,mb4_specrule_notwin,378594930135363716,0.0,0.0,200934.0,244812.0,5868.0,2987.0,2881.0,5526.0,369986.0,798.0,666.0,0.0,0.0,123.0,9.0,0.0,0.0,2228.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,2048.0
mb4nt,writeback,mb4_specrule_notwin,378594930135363716,2271.0,2271.0,200177.0,244812.0,43168.0,33428.0,9740.0,41933.0,225339.0,37657.0,34010.0,2271.0,0.0,1358.0,17.0,0.0,0.0,2304.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,2048.0
cs,base,dit_clear_shadow_g24_arm64,1456,0.0,0.0,2063.0,6115.0,2316.0,2046.0,270.0,2313.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
