rep,bench,arm,ns_per_op,err,probe_off,probe_on
0,CoinSelection,null,3148400.00,0.2,0.2182,0.8684
0,ComplexMemPool,null,34423500.00,1.7,0.2182,0.8684
0,ConnectBlockAllEcdsa,null,26969187.50,1.0,0.2182,0.8684
0,SignTransactionECDSA,null,52861.07,0.2,0.2182,0.8684
0,SignTransactionSchnorr,null,42086.27,0.2,0.2182,0.8684
0,TxGraphTrim,null,9010750.00,0.0,0.2182,0.8684
0,WalletAvailableCoins,null,26059500.00,0.2,0.2182,0.8684
0,WalletCreateTxUseOnlyPresetInputs,null,558712.35,0.1,0.2182,0.8684
0,WalletCreateTxUsePresetInputsAndCoinSelection,null,15353028.00,0.2,0.2182,0.8684
0,CoinSelection,always,3550941.60,0.2,0.2182,0.8684
0,ComplexMemPool,always,35114500.00,0.9,0.2182,0.8684
0,ConnectBlockAllEcdsa,always,27353500.00,1.4,0.2182,0.8684
0,SignTransactionECDSA,always,59609.89,0.2,0.2182,0.8684
0,SignTransactionSchnorr,always,42893.45,0.1,0.2182,0.8684
0,TxGraphTrim,always,9643291.00,0.0,0.2182,0.8684
0,WalletAvailableCoins,always,25665396.00,0.1,0.2182,0.8684
0,WalletCreateTxUseOnlyPresetInputs,always,591316.99,0.1,0.2182,0.8684
0,WalletCreateTxUsePresetInputsAndCoinSelection,always,15804444.33,0.6,0.2182,0.8684
0,CoinSelection,pass_hoist,3131229.10,0.4,0.2182,0.8684
0,ComplexMemPool,pass_hoist,34278708.00,0.4,0.2182,0.8684
0,ConnectBlockAllEcdsa,pass_hoist,40732833.00,0.5,0.2182,0.8684
0,SignTransactionECDSA,pass_hoist,77663.39,0.2,0.2182,0.8684
0,SignTransactionSchnorr,pass_hoist,60650.74,0.1,0.2182,0.8684
0,TxGraphTrim,pass_hoist,9363292.00,0.0,0.2182,0.8684
0,WalletAvailableCoins,pass_hoist,34542375.00,0.1,0.2182,0.8684
0,WalletCreateTxUseOnlyPresetInputs,pass_hoist,784854.51,0.3,0.2182,0.8684
0,WalletCreateTxUsePresetInputsAndCoinSelection,pass_hoist,16121736.33,1.3,0.2182,0.8684
0,CoinSelection,pass_gated,3173237.50,0.5,0.2182,0.8684
0,ComplexMemPool,pass_gated,34014958.00,0.6,0.2182,0.8684
0,ConnectBlockAllEcdsa,pass_gated,26977833.50,0.4,0.2182,0.8684
0,SignTransactionECDSA,pass_gated,59986.54,0.1,0.2182,0.8684
0,SignTransactionSchnorr,pass_gated,44045.37,0.1,0.2182,0.8684
0,TxGraphTrim,pass_gated,9114791.00,0.0,0.2182,0.8684
0,WalletAvailableCoins,pass_gated,25711583.00,0.1,0.2182,0.8684
0,WalletCreateTxUseOnlyPresetInputs,pass_gated,583222.23,0.1,0.2182,0.8684
0,WalletCreateTxUsePresetInputsAndCoinSelection,pass_gated,15464778.00,0.5,0.2182,0.8684
0,CoinSelection,pass_fa,3171566.70,0.5,0.2182,0.8684
0,ComplexMemPool,pass_fa,33927167.00,1.2,0.2182,0.8684
0,ConnectBlockAllEcdsa,pass_fa,39651542.00,0.9,0.2182,0.8684
0,SignTransactionECDSA,pass_fa,72768.14,0.3,0.2182,0.8684
0,SignTransactionSchnorr,pass_fa,58967.17,0.1,0.2182,0.8684
0,TxGraphTrim,pass_fa,9218458.00,0.0,0.2182,0.8684
0,WalletAvailableCoins,pass_fa,34065917.00,0.3,0.2182,0.8684
0,WalletCreateTxUseOnlyPresetInputs,pass_fa,639246.00,0.3,0.2182,0.8684
0,WalletCreateTxUsePresetInputsAndCoinSelection,pass_fa,15771583.33,0.8,0.2182,0.8684
0,CoinSelection,pass_fagate,3135437.50,0.5,0.2182,0.8684
0,ComplexMemPool,pass_fagate,34570958.00,1.6,0.2182,0.8684
0,ConnectBlockAllEcdsa,pass_fagate,38990958.00,0.4,0.2182,0.8684
0,SignTransactionECDSA,pass_fagate,82302.23,0.3,0.2182,0.8684
0,SignTransactionSchnorr,pass_fagate,60066.02,0.3,0.2182,0.8684
0,TxGraphTrim,pass_fagate,9097292.00,0.0,0.2182,0.8684
0,WalletAvailableCoins,pass_fagate,33457042.00,0.6,0.2182,0.8684
0,WalletCreateTxUseOnlyPresetInputs,pass_fagate,680939.10,0.1,0.2182,0.8684
0,WalletCreateTxUsePresetInputsAndCoinSelection,pass_fagate,15868333.33,0.4,0.2182,0.8684
0,CoinSelection,baseline2,3096095.80,0.2,0.2182,0.8684
0,ComplexMemPool,baseline2,35251625.00,2.8,0.2182,0.8684
0,ConnectBlockAllEcdsa,baseline2,26782062.50,0.3,0.2182,0.8684
0,SignTransactionECDSA,baseline2,56294.97,0.1,0.2182,0.8684
0,SignTransactionSchnorr,baseline2,42098.19,0.0,0.2182,0.8684
0,TxGraphTrim,baseline2,8966125.00,0.0,0.2182,0.8684
0,WalletAvailableCoins,baseline2,25025583.50,0.1,0.2182,0.8684
0,WalletCreateTxUseOnlyPresetInputs,baseline2,558474.66,0.2,0.2182,0.8684
0,WalletCreateTxUsePresetInputsAndCoinSelection,baseline2,15710680.33,1.1,0.2182,0.8684
0,CoinSelection,baseline,3203004.20,0.1,0.2182,0.8684
0,ComplexMemPool,baseline,33980584.00,0.8,0.2182,0.8684
0,ConnectBlockAllEcdsa,baseline,26740542.00,0.3,0.2182,0.8684
0,SignTransactionECDSA,baseline,54966.87,0.1,0.2182,0.8684
0,SignTransactionSchnorr,baseline,42237.95,0.1,0.2182,0.8684
0,TxGraphTrim,baseline,9439917.00,0.0,0.2182,0.8684
0,WalletAvailableCoins,baseline,25894645.50,0.2,0.2182,0.8684
0,WalletCreateTxUseOnlyPresetInputs,baseline,559724.02,0.1,0.2182,0.8684
0,WalletCreateTxUsePresetInputsAndCoinSelection,baseline,15589041.67,0.6,0.2182,0.8684
1,CoinSelection,always,3583279.20,0.3,0.2187,0.8684
1,ComplexMemPool,always,35952250.00,2.6,0.2187,0.8684
1,ConnectBlockAllEcdsa,always,26914687.50,0.7,0.2187,0.8684
1,SignTransactionECDSA,always,53912.85,0.1,0.2187,0.8684
1,SignTransactionSchnorr,always,42970.84,0.1,0.2187,0.8684
1,TxGraphTrim,always,10135208.00,0.0,0.2187,0.8684
1,WalletAvailableCoins,always,26520604.00,0.2,0.2187,0.8684
1,WalletCreateTxUseOnlyPresetInputs,always,617843.61,0.1,0.2187,0.8684
1,WalletCreateTxUsePresetInputsAndCoinSelection,always,16159041.67,0.9,0.2187,0.8684
1,CoinSelection,pass_hoist,3100825.00,0.4,0.2187,0.8684
1,ComplexMemPool,pass_hoist,34440583.00,1.1,0.2187,0.8684
1,ConnectBlockAllEcdsa,pass_hoist,40516708.00,0.2,0.2187,0.8684
1,SignTransactionECDSA,pass_hoist,76245.67,0.1,0.2187,0.8684
1,SignTransactionSchnorr,pass_hoist,61178.22,0.3,0.2187,0.8684
1,TxGraphTrim,pass_hoist,9344625.00,0.0,0.2187,0.8684
1,WalletAvailableCoins,pass_hoist,34883666.50,0.3,0.2187,0.8684
1,WalletCreateTxUseOnlyPresetInputs,pass_hoist,716039.96,0.2,0.2187,0.8684
1,WalletCreateTxUsePresetInputsAndCoinSelection,pass_hoist,15894986.00,0.6,0.2187,0.8684
1,CoinSelection,pass_gated,3176475.00,0.3,0.2187,0.8684
1,ComplexMemPool,pass_gated,34931125.00,2.4,0.2187,0.8684
1,ConnectBlockAllEcdsa,pass_gated,27081437.50,0.6,0.2187,0.8684
1,SignTransactionECDSA,pass_gated,58082.84,0.1,0.2187,0.8684
1,SignTransactionSchnorr,pass_gated,44148.00,0.1,0.2187,0.8684
1,TxGraphTrim,pass_gated,9024875.00,0.0,0.2187,0.8684
1,WalletAvailableCoins,pass_gated,26310520.50,0.1,0.2187,0.8684
1,WalletCreateTxUseOnlyPresetInputs,pass_gated,560047.70,0.1,0.2187,0.8684
1,WalletCreateTxUsePresetInputsAndCoinSelection,pass_gated,15541986.00,0.9,0.2187,0.8684
1,CoinSelection,pass_fa,3115329.20,0.4,0.2187,0.8684
1,ComplexMemPool,pass_fa,34233542.00,0.7,0.2187,0.8684
1,ConnectBlockAllEcdsa,pass_fa,39756917.00,0.8,0.2187,0.8684
1,SignTransactionECDSA,pass_fa,78852.65,0.3,0.2187,0.8684
1,SignTransactionSchnorr,pass_fa,59313.95,0.2,0.2187,0.8684
1,TxGraphTrim,pass_fa,9190958.00,0.0,0.2187,0.8684
1,WalletAvailableCoins,pass_fa,33555541.00,0.4,0.2187,0.8684
1,WalletCreateTxUseOnlyPresetInputs,pass_fa,701563.12,0.1,0.2187,0.8684
1,WalletCreateTxUsePresetInputsAndCoinSelection,pass_fa,16053889.00,1.1,0.2187,0.8684
1,CoinSelection,pass_fagate,3097362.50,0.3,0.2187,0.8684
1,ComplexMemPool,pass_fagate,34337584.00,0.8,0.2187,0.8684
1,ConnectBlockAllEcdsa,pass_fagate,38922250.00,0.4,0.2187,0.8684
1,SignTransactionECDSA,pass_fagate,74495.95,0.3,0.2187,0.8684
1,SignTransactionSchnorr,pass_fagate,60486.86,0.3,0.2187,0.8684
1,TxGraphTrim,pass_fagate,9071541.00,0.0,0.2187,0.8684
1,WalletAvailableCoins,pass_fagate,33870250.00,0.1,0.2187,0.8684
1,WalletCreateTxUseOnlyPresetInputs,pass_fagate,731799.54,0.1,0.2187,0.8684
1,WalletCreateTxUsePresetInputsAndCoinSelection,pass_fagate,15824902.67,0.6,0.2187,0.8684
1,CoinSelection,baseline2,3170179.10,0.2,0.2187,0.8684
1,ComplexMemPool,baseline2,34516750.00,1.7,0.2187,0.8684
1,ConnectBlockAllEcdsa,baseline2,26719958.50,0.1,0.2187,0.8684
1,SignTransactionECDSA,baseline2,56712.49,0.1,0.2187,0.8684
1,SignTransactionSchnorr,baseline2,42125.20,0.1,0.2187,0.8684
1,TxGraphTrim,baseline2,9125458.00,0.0,0.2187,0.8684
1,WalletAvailableCoins,baseline2,26091708.50,0.1,0.2187,0.8684
1,WalletCreateTxUseOnlyPresetInputs,baseline2,592815.82,0.1,0.2187,0.8684
1,WalletCreateTxUsePresetInputsAndCoinSelection,baseline2,15414180.33,1.0,0.2187,0.8684
1,CoinSelection,baseline,3128291.70,0.4,0.2187,0.8684
1,ComplexMemPool,baseline,34544375.00,0.6,0.2187,0.8684
1,ConnectBlockAllEcdsa,baseline,26724229.00,0.2,0.2187,0.8684
1,SignTransactionECDSA,baseline,54631.31,0.0,0.2187,0.8684
1,SignTransactionSchnorr,baseline,42233.66,0.1,0.2187,0.8684
1,TxGraphTrim,baseline,9008334.00,0.0,0.2187,0.8684
1,WalletAvailableCoins,baseline,25214895.50,0.2,0.2187,0.8684
1,WalletCreateTxUseOnlyPresetInputs,baseline,538840.52,0.1,0.2187,0.8684
1,WalletCreateTxUsePresetInputsAndCoinSelection,baseline,15455014.00,0.7,0.2187,0.8684
1,CoinSelection,null,3123870.80,0.5,0.2187,0.8684
1,ComplexMemPool,null,34132750.00,1.9,0.2187,0.8684
1,ConnectBlockAllEcdsa,null,26803500.00,0.4,0.2187,0.8684
1,SignTransactionECDSA,null,56104.97,0.1,0.2187,0.8684
