rep,bench,arm,ns_per_op,err,probe_off,probe_on
0,CoinSelection,null,3129087.50,0.2,0.2200,0.8706
0,ComplexMemPool,null,34687333.00,1.0,0.2200,0.8706
0,ConnectBlockAllEcdsa,null,26868812.50,0.5,0.2200,0.8706
0,SignTransactionECDSA,null,56740.35,0.1,0.2200,0.8706
0,SignTransactionSchnorr,null,42270.55,0.3,0.2200,0.8706
0,TxGraphTrim,null,9363791.00,0.0,0.2200,0.8706
0,WalletAvailableCoins,null,25962687.50,0.1,0.2200,0.8706
0,WalletCreateTxUseOnlyPresetInputs,null,548900.99,0.1,0.2200,0.8706
0,WalletCreateTxUsePresetInputsAndCoinSelection,null,15504888.67,0.5,0.2200,0.8706
0,CoinSelection,always,3576308.30,0.2,0.2200,0.8706
0,ComplexMemPool,always,35659542.00,1.4,0.2200,0.8706
0,ConnectBlockAllEcdsa,always,26824333.00,0.5,0.2200,0.8706
0,SignTransactionECDSA,always,61701.12,0.1,0.2200,0.8706
0,SignTransactionSchnorr,always,42869.09,0.1,0.2200,0.8706
0,TxGraphTrim,always,9875542.00,0.0,0.2200,0.8706
0,WalletAvailableCoins,always,26564479.50,0.1,0.2200,0.8706
0,WalletCreateTxUseOnlyPresetInputs,always,559784.00,0.1,0.2200,0.8706
0,WalletCreateTxUsePresetInputsAndCoinSelection,always,16230125.00,0.9,0.2200,0.8706
0,CoinSelection,pass_hoist,3108216.70,0.3,0.2200,0.8706
0,ComplexMemPool,pass_hoist,34605792.00,1.6,0.2200,0.8706
0,ConnectBlockAllEcdsa,pass_hoist,40707041.00,0.4,0.2200,0.8706
0,SignTransactionECDSA,pass_hoist,76256.55,0.2,0.2200,0.8706
0,SignTransactionSchnorr,pass_hoist,61036.61,0.2,0.2200,0.8706
0,TxGraphTrim,pass_hoist,9256666.00,0.0,0.2200,0.8706
0,WalletAvailableCoins,pass_hoist,34642125.00,0.4,0.2200,0.8706
0,WalletCreateTxUseOnlyPresetInputs,pass_hoist,725715.91,0.2,0.2200,0.8706
0,WalletCreateTxUsePresetInputsAndCoinSelection,pass_hoist,15745264.00,0.6,0.2200,0.8706
0,CoinSelection,pass_gated,3169191.70,0.5,0.2200,0.8706
0,ComplexMemPool,pass_gated,33900959.00,0.8,0.2200,0.8706
0,ConnectBlockAllEcdsa,pass_gated,26945229.50,0.3,0.2200,0.8706
0,SignTransactionECDSA,pass_gated,62197.33,0.1,0.2200,0.8706
0,SignTransactionSchnorr,pass_gated,44075.23,0.1,0.2200,0.8706
0,TxGraphTrim,pass_gated,9739291.00,0.0,0.2200,0.8706
0,WalletAvailableCoins,pass_gated,25398375.00,0.1,0.2200,0.8706
0,WalletCreateTxUseOnlyPresetInputs,pass_gated,547212.63,0.1,0.2200,0.8706
0,WalletCreateTxUsePresetInputsAndCoinSelection,pass_gated,15685277.67,0.6,0.2200,0.8706
0,CoinSelection,baseline2,3162687.50,0.3,0.2200,0.8706
0,ComplexMemPool,baseline2,34098792.00,1.4,0.2200,0.8706
0,ConnectBlockAllEcdsa,baseline2,26854520.50,0.6,0.2200,0.8706
0,SignTransactionECDSA,baseline2,50806.82,0.2,0.2200,0.8706
0,SignTransactionSchnorr,baseline2,42158.49,0.1,0.2200,0.8706
0,TxGraphTrim,baseline2,9026750.00,0.0,0.2200,0.8706
0,WalletAvailableCoins,baseline2,25473021.00,0.0,0.2200,0.8706
0,WalletCreateTxUseOnlyPresetInputs,baseline2,538135.66,0.0,0.2200,0.8706
0,WalletCreateTxUsePresetInputsAndCoinSelection,baseline2,15585208.33,0.9,0.2200,0.8706
0,CoinSelection,baseline,3180762.50,0.3,0.2200,0.8706
0,ComplexMemPool,baseline,34520875.00,0.6,0.2200,0.8706
0,ConnectBlockAllEcdsa,baseline,26873896.00,0.6,0.2200,0.8706
0,SignTransactionECDSA,baseline,55660.59,0.1,0.2200,0.8706
0,SignTransactionSchnorr,baseline,42084.86,0.1,0.2200,0.8706
0,TxGraphTrim,baseline,8954166.00,0.0,0.2200,0.8706
