rep,bench,arm,ns_per_op,err_pct,probe_off,probe_on
0,CCoinsCaching,null,156.41,0.9,0.2199,0.8760
0,CoinSelection,null,3070475.00,0.4,0.2199,0.8760
0,ComplexMemPool,null,34552500.00,1.5,0.2199,0.8760
0,ConnectBlockAllEcdsa,null,27191479.00,1.1,0.2199,0.8760
0,DeserializeBlockTest,null,729279.51,0.3,0.2199,0.8760
0,MemPoolAddTransactions,null,66059333.00,0.5,0.2199,0.8760
0,SignTransactionECDSA,null,58891.94,0.2,0.2199,0.8760
0,SignTransactionSchnorr,null,42827.91,0.3,0.2199,0.8760
0,TxGraphTrim,null,8773584.00,0.0,0.2199,0.8760
0,WalletAvailableCoins,null,25901291.50,0.2,0.2199,0.8760
0,WalletCreateTxUsePresetInputsAndCoinSelection,null,15533055.33,0.6,0.2199,0.8760
0,CCoinsCaching,dit,164.10,3.1,0.2199,0.8760
0,CoinSelection,dit,3544195.80,0.3,0.2199,0.8760
0,ComplexMemPool,dit,35149917.00,1.1,0.2199,0.8760
0,ConnectBlockAllEcdsa,dit,27005187.50,0.4,0.2199,0.8760
0,DeserializeBlockTest,dit,737608.46,0.4,0.2199,0.8760
0,MemPoolAddTransactions,dit,67772000.00,0.6,0.2199,0.8760
0,SignTransactionECDSA,dit,58644.78,0.2,0.2199,0.8760
0,SignTransactionSchnorr,dit,43906.91,0.2,0.2199,0.8760
0,TxGraphTrim,dit,9584917.00,0.0,0.2199,0.8760
0,WalletAvailableCoins,dit,25519291.50,0.3,0.2199,0.8760
0,WalletCreateTxUsePresetInputsAndCoinSelection,dit,16090069.33,1.2,0.2199,0.8760
0,CCoinsCaching,base,156.05,2.9,0.2199,0.8760
0,CheckBlockTest,base,306084.00,4.7,0.2199,0.8760
0,CoinSelection,base,3086400.00,0.2,0.2199,0.8760
0,ComplexMemPool,base,34242833.00,0.5,0.2199,0.8760
0,ConnectBlockAllEcdsa,base,26880687.50,0.1,0.2199,0.8760
0,DeserializeBlockTest,base,732840.09,0.2,0.2199,0.8760
0,MemPoolAddTransactions,base,67413250.00,0.6,0.2199,0.8760
0,SignTransactionECDSA,base,60266.24,0.1,0.2199,0.8760
0,SignTransactionSchnorr,base,43071.49,0.1,0.2199,0.8760
0,TxGraphTrim,base,8991125.00,0.0,0.2199,0.8760
0,WalletAvailableCoins,base,26170646.00,0.1,0.2199,0.8760
0,WalletCreateTxUsePresetInputsAndCoinSelection,base,15869055.33,2.4,0.2199,0.8760
1,CCoinsCaching,dit,161.25,1.0,0.2184,0.8695
1,CoinSelection,dit,3571491.70,0.2,0.2184,0.8695
1,ComplexMemPool,dit,35637042.00,0.9,0.2184,0.8695
1,ConnectBlockAllEcdsa,dit,26933354.50,0.2,0.2184,0.8695
1,DeserializeBlockTest,dit,736408.73,0.1,0.2184,0.8695
1,MemPoolAddTransactions,dit,68598042.00,0.6,0.2184,0.8695
1,SignTransactionECDSA,dit,59749.33,0.2,0.2184,0.8695
1,SignTransactionSchnorr,dit,43879.33,0.0,0.2184,0.8695
1,TxGraphTrim,dit,9757750.00,0.0,0.2184,0.8695
1,WalletAvailableCoins,dit,26449104.50,0.1,0.2184,0.8695
1,WalletCreateTxUsePresetInputsAndCoinSelection,dit,16103666.67,0.5,0.2184,0.8695
1,CCoinsCaching,base,165.62,2.6,0.2184,0.8695
1,CoinSelection,base,3183329.20,0.4,0.2184,0.8695
1,ComplexMemPool,base,34344917.00,1.3,0.2184,0.8695
1,ConnectBlockAllEcdsa,base,26908437.50,0.4,0.2184,0.8695
1,DeserializeBlockTest,base,735319.88,0.4,0.2184,0.8695
1,MemPoolAddTransactions,base,66781167.00,0.3,0.2184,0.8695
1,SignTransactionECDSA,base,67949.61,0.2,0.2184,0.8695
1,SignTransactionSchnorr,base,43115.31,0.0,0.2184,0.8695
1,TxGraphTrim,base,9234042.00,0.0,0.2184,0.8695
1,WalletAvailableCoins,base,25981875.00,0.1,0.2184,0.8695
1,WalletCreateTxUsePresetInputsAndCoinSelection,base,15490611.00,0.1,0.2184,0.8695
1,CCoinsCaching,null,169.44,1.2,0.2184,0.8695
1,CheckBlockTest,null,311458.00,1.1,0.2184,0.8695
1,CoinSelection,null,3116766.60,0.7,0.2184,0.8695
1,ComplexMemPool,null,34118916.00,0.8,0.2184,0.8695
1,ConnectBlockAllEcdsa,null,26913958.50,0.2,0.2184,0.8695
1,DeserializeBlockTest,null,736212.50,0.3,0.2184,0.8695
1,MemPoolAddTransactions,null,67457708.00,0.6,0.2184,0.8695
1,SignTransactionECDSA,null,62030.48,0.1,0.2184,0.8695
1,SignTransactionSchnorr,null,43254.69,0.2,0.2184,0.8695
1,TxGraphTrim,null,9307875.00,0.0,0.2184,0.8695
1,WalletAvailableCoins,null,25892646.00,0.2,0.2184,0.8695
1,WalletCreateTxUsePresetInputsAndCoinSelection,null,15667000.00,0.7,0.2184,0.8695
2,CCoinsCaching,base,160.19,1.2,0.2205,0.8742
2,CoinSelection,base,3173966.60,0.4,0.2205,0.8742
2,ComplexMemPool,base,35057500.00,2.7,0.2205,0.8742
2,ConnectBlockAllEcdsa,base,26943833.50,0.4,0.2205,0.8742
2,DeserializeBlockTest,base,737549.24,0.2,0.2205,0.8742
2,MemPoolAddTransactions,base,67509334.00,0.7,0.2205,0.8742
2,SignTransactionECDSA,base,55993.58,0.1,0.2205,0.8742
2,SignTransactionSchnorr,base,43196.83,0.1,0.2205,0.8742
2,TxGraphTrim,base,9196375.00,0.0,0.2205,0.8742
2,WalletAvailableCoins,base,25887812.50,0.2,0.2205,0.8742
2,WalletCreateTxUsePresetInputsAndCoinSelection,base,15602903.00,0.7,0.2205,0.8742
2,CCoinsCaching,null,162.06,1.0,0.2205,0.8742
2,CoinSelection,null,3097379.10,0.2,0.2205,0.8742
2,ComplexMemPool,null,34821333.00,1.8,0.2205,0.8742
2,ConnectBlockAllEcdsa,null,26911271.00,0.2,0.2205,0.8742
2,DeserializeBlockTest,null,736064.04,0.1,0.2205,0.8742
2,MemPoolAddTransactions,null,67030500.00,0.3,0.2205,0.8742
2,SignTransactionECDSA,null,57229.35,0.1,0.2205,0.8742
2,SignTransactionSchnorr,null,43235.57,0.1,0.2205,0.8742
2,TxGraphTrim,null,9074500.00,0.0,0.2205,0.8742
2,WalletAvailableCoins,null,26127541.50,0.1,0.2205,0.8742
2,WalletCreateTxUsePresetInputsAndCoinSelection,null,15562444.33,1.0,0.2205,0.8742
2,CCoinsCaching,dit,166.56,4.7,0.2205,0.8742
2,CoinSelection,dit,3558104.20,0.2,0.2205,0.8742
2,ComplexMemPool,dit,34973292.00,0.8,0.2205,0.8742
2,ConnectBlockAllEcdsa,dit,26912291.50,0.2,0.2205,0.8742
2,DeserializeBlockTest,dit,740428.57,0.1,0.2205,0.8742
2,MemPoolAddTransactions,dit,69105042.00,0.5,0.2205,0.8742
2,SignTransactionECDSA,dit,65354.68,0.1,0.2205,0.8742
2,SignTransactionSchnorr,dit,44080.24,0.1,0.2205,0.8742
2,TxGraphTrim,dit,9824583.00,0.0,0.2205,0.8742
2,WalletAvailableCoins,dit,25798812.50,0.1,0.2205,0.8742
2,WalletCreateTxUsePresetInputsAndCoinSelection,dit,16211305.67,0.8,0.2205,0.8742
3,CCoinsCaching,null,165.88,1.7,0.2183,0.8695
3,CoinSelection,null,3152754.10,0.3,0.2183,0.8695
3,ComplexMemPool,null,34422542.00,1.3,0.2183,0.8695
3,ConnectBlockAllEcdsa,null,26929354.50,0.2,0.2183,0.8695
3,DeserializeBlockTest,null,740516.16,0.2,0.2183,0.8695
3,MemPoolAddTransactions,null,67627833.00,0.5,0.2183,0.8695
3,SignTransactionECDSA,null,54515.82,0.1,0.2183,0.8695
3,SignTransactionSchnorr,null,43350.64,0.1,0.2183,0.8695
3,TxGraphTrim,null,9203542.00,0.0,0.2183,0.8695
3,WalletAvailableCoins,null,25576146.00,0.1,0.2183,0.8695
3,WalletCreateTxUsePresetInputsAndCoinSelection,null,15693861.00,0.5,0.2183,0.8695
3,CCoinsCaching,dit,166.47,1.7,0.2183,0.8695
3,CoinSelection,dit,3573458.30,0.3,0.2183,0.8695
3,ComplexMemPool,dit,35967875.00,2.2,0.2183,0.8695
3,ConnectBlockAllEcdsa,dit,27195270.50,1.1,0.2183,0.8695
3,DeserializeBlockTest,dit,739010.42,0.2,0.2183,0.8695
3,MemPoolAddTransactions,dit,69373167.00,0.3,0.2183,0.8695
3,SignTransactionECDSA,dit,58077.57,0.1,0.2183,0.8695
3,SignTransactionSchnorr,dit,44143.37,0.1,0.2183,0.8695
3,TxGraphTrim,dit,10023291.00,0.0,0.2183,0.8695
3,WalletAvailableCoins,dit,26011708.00,0.1,0.2183,0.8695
3,WalletCreateTxUsePresetInputsAndCoinSelection,dit,16056014.00,1.0,0.2183,0.8695
3,CCoinsCaching,base,178.19,1.6,0.2183,0.8695
3,CoinSelection,base,3199125.00,0.2,0.2183,0.8695
3,ComplexMemPool,base,35038167.00,1.0,0.2183,0.8695
3,ConnectBlockAllEcdsa,base,27025666.50,0.7,0.2183,0.8695
3,DeserializeBlockTest,base,736311.57,0.1,0.2183,0.8695
3,MemPoolAddTransactions,base,67800833.00,0.3,0.2183,0.8695
3,SignTransactionECDSA,base,54203.11,0.1,0.2183,0.8695
3,SignTransactionSchnorr,base,43313.53,0.1,0.2183,0.8695
3,TxGraphTrim,base,9235458.00,0.0,0.2183,0.8695
3,WalletAvailableCoins,base,26170792.00,0.1,0.2183,0.8695
3,WalletCreateTxUsePresetInputsAndCoinSelection,base,15555403.00,0.7,0.2183,0.8695
