rep,bench,arm,ns_per_op,err,probe_off,probe_on
0,CoinSelection,null,3018275.00,0.3,0.2193,0.8696
0,CoinSelection,always,3476150.00,0.5,0.2193,0.8696
0,CoinSelection,pass,3102654.20,0.3,0.2193,0.8696
0,CoinSelection,passnop,3089450.00,0.3,0.2193,0.8696
0,CoinSelection,baseline2,3095812.50,0.3,0.2193,0.8696
0,CoinSelection,baseline,3100558.30,0.5,0.2193,0.8696
1,CoinSelection,always,3469208.30,0.5,0.2188,0.8698
1,CoinSelection,pass,3030695.80,0.3,0.2188,0.8698
1,CoinSelection,passnop,3025204.10,0.6,0.2188,0.8698
1,CoinSelection,baseline2,3120920.90,0.5,0.2188,0.8698
1,CoinSelection,baseline,3115829.20,0.4,0.2188,0.8698
1,CoinSelection,null,3037416.60,0.5,0.2188,0.8698
2,CoinSelection,pass,3098962.50,0.2,0.2198,0.8712
2,CoinSelection,passnop,3100412.50,0.3,0.2198,0.8712
2,CoinSelection,baseline2,3138920.80,0.3,0.2198,0.8712
2,CoinSelection,baseline,3031516.70,0.3,0.2198,0.8712
2,CoinSelection,null,3097545.80,0.3,0.2198,0.8712
2,CoinSelection,always,3504720.80,0.4,0.2198,0.8712
3,CoinSelection,passnop,3035366.70,0.3,0.2194,0.8703
3,CoinSelection,baseline2,3063987.50,0.2,0.2194,0.8703
3,CoinSelection,baseline,3056254.20,0.4,0.2194,0.8703
3,CoinSelection,null,3051400.00,0.4,0.2194,0.8703
3,CoinSelection,always,3515612.50,0.4,0.2194,0.8703
3,CoinSelection,pass,3100070.80,0.4,0.2194,0.8703
4,CoinSelection,baseline2,3048700.00,0.3,0.2186,0.8715
4,CoinSelection,baseline,3085633.30,0.2,0.2186,0.8715
4,CoinSelection,null,3112533.40,0.5,0.2186,0.8715
4,CoinSelection,always,3549883.30,0.6,0.2186,0.8715
4,CoinSelection,pass,3040962.50,0.3,0.2186,0.8715
4,CoinSelection,passnop,3063941.70,0.4,0.2186,0.8715
5,CoinSelection,baseline,3134950.00,0.4,0.2182,0.8748
5,CoinSelection,null,3085283.40,0.3,0.2182,0.8748
5,CoinSelection,always,3530470.80,0.3,0.2182,0.8748
5,CoinSelection,pass,3051337.50,0.2,0.2182,0.8748
5,CoinSelection,passnop,3059883.30,0.1,0.2182,0.8748
5,CoinSelection,baseline2,3078337.50,0.3,0.2182,0.8748
6,CoinSelection,null,3151070.80,0.3,0.2175,0.8703
6,CoinSelection,always,3515204.20,0.2,0.2175,0.8703
6,CoinSelection,pass,3121829.20,0.2,0.2175,0.8703
6,CoinSelection,passnop,3067887.50,0.2,0.2175,0.8703
6,CoinSelection,baseline2,3066541.70,0.3,0.2175,0.8703
6,CoinSelection,baseline,3128979.20,0.5,0.2175,0.8703
7,CoinSelection,always,3539166.70,0.3,0.2193,0.8700
7,CoinSelection,pass,3075491.60,0.4,0.2193,0.8700
7,CoinSelection,passnop,3068450.00,0.3,0.2193,0.8700
7,CoinSelection,baseline2,3063187.50,0.6,0.2193,0.8700
7,CoinSelection,baseline,3070454.10,0.3,0.2193,0.8700
7,CoinSelection,null,3086470.80,0.3,0.2193,0.8700
8,CoinSelection,pass,3138162.50,0.2,0.2186,0.8689
8,CoinSelection,passnop,3144312.50,0.3,0.2186,0.8689
8,CoinSelection,baseline2,3053050.00,0.3,0.2186,0.8689
8,CoinSelection,baseline,3079662.50,0.2,0.2186,0.8689
8,CoinSelection,null,3078800.00,0.5,0.2186,0.8689
8,CoinSelection,always,3524079.20,0.1,0.2186,0.8689
9,CoinSelection,passnop,3099904.20,0.4,0.2183,0.8722
9,CoinSelection,baseline2,3107645.90,0.4,0.2183,0.8722
9,CoinSelection,baseline,3105708.30,0.8,0.2183,0.8722
9,CoinSelection,null,3142366.70,0.4,0.2183,0.8722
9,CoinSelection,always,3509883.30,0.3,0.2183,0.8722
9,CoinSelection,pass,3169295.80,0.6,0.2183,0.8722
10,CoinSelection,baseline2,3150895.90,0.4,0.2181,0.8696
10,CoinSelection,baseline,3144641.60,0.3,0.2181,0.8696
10,CoinSelection,null,3169508.30,0.3,0.2181,0.8696
10,CoinSelection,always,3534887.50,0.2,0.2181,0.8696
10,CoinSelection,pass,3100958.40,0.3,0.2181,0.8696
10,CoinSelection,passnop,3174933.30,0.2,0.2181,0.8696
11,CoinSelection,baseline,3069833.30,0.3,0.2186,0.8701
11,CoinSelection,null,3075845.90,0.3,0.2186,0.8701
11,CoinSelection,always,3523391.70,0.3,0.2186,0.8701
11,CoinSelection,pass,3121570.80,0.2,0.2186,0.8701
11,CoinSelection,passnop,3083875.00,0.5,0.2186,0.8701
11,CoinSelection,baseline2,3163600.00,0.3,0.2186,0.8701
12,CoinSelection,null,3141475.00,0.2,0.2180,0.8706
12,CoinSelection,always,3532729.10,0.2,0.2180,0.8706
12,CoinSelection,pass,3072529.10,0.2,0.2180,0.8706
12,CoinSelection,passnop,3067504.20,0.4,0.2180,0.8706
12,CoinSelection,baseline2,3082812.50,0.4,0.2180,0.8706
12,CoinSelection,baseline,3157883.40,0.2,0.2180,0.8706
13,CoinSelection,always,3545441.70,0.2,0.2183,0.8704
13,CoinSelection,pass,3105062.50,0.4,0.2183,0.8704
13,CoinSelection,passnop,3079462.50,0.3,0.2183,0.8704
13,CoinSelection,baseline2,3143275.00,0.2,0.2183,0.8704
13,CoinSelection,baseline,3091916.70,0.5,0.2183,0.8704
13,CoinSelection,null,3086229.20,0.3,0.2183,0.8704
14,CoinSelection,pass,3151391.70,0.5,0.2179,0.8714
14,CoinSelection,passnop,3099720.80,0.3,0.2179,0.8714
14,CoinSelection,baseline2,3153316.70,0.3,0.2179,0.8714
14,CoinSelection,baseline,3140141.70,0.2,0.2179,0.8714
14,CoinSelection,null,3099283.30,0.2,0.2179,0.8714
14,CoinSelection,always,3526608.30,0.2,0.2179,0.8714
