rep,arm,seconds,rc,thr_started,thr_total,probe_off,probe_on
0,null,23.393,0,44,2,0.2180,0.8697
0,dit,24.068,0,44,2,0.2180,0.8697
0,base,20.956,0,,,0.2180,0.8697
1,dit,21.209,0,44,2,0.2260,0.8718
1,base,23.197,0,,,0.2260,0.8718
1,null,23.239,0,44,2,0.2260,0.8718
2,base,25.827,0,,,0.2280,0.8792
2,null,24.668,0,44,2,0.2280,0.8792
2,dit,22.973,0,44,2,0.2280,0.8792
3,null,22.836,0,44,2,0.2263,0.8697
3,dit,22.492,0,44,2,0.2263,0.8697
3,base,20.996,0,,,0.2263,0.8697
4,dit,24.502,0,44,2,0.2265,0.8727
4,base,24.516,0,,,0.2265,0.8727
4,null,24.157,0,44,2,0.2265,0.8727
5,base,22.128,0,,,0.2177,0.8687
5,null,20.897,0,44,2,0.2177,0.8687
5,dit,24.760,0,44,2,0.2177,0.8687
6,null,25.238,0,44,2,0.2177,0.8690
6,dit,24.596,0,44,2,0.2177,0.8690
6,base,21.870,0,,,0.2177,0.8690
7,dit,24.786,0,44,2,0.2222,0.8695
7,base,21.262,0,,,0.2222,0.8695
7,null,22.552,0,44,2,0.2222,0.8695
8,base,23.455,0,,,0.2194,0.8689
8,null,20.789,0,44,2,0.2194,0.8689
8,dit,25.231,0,44,2,0.2194,0.8689
9,null,24.616,0,44,2,0.2188,0.8688
9,dit,21.199,0,44,2,0.2188,0.8688
9,base,21.255,0,,,0.2188,0.8688
10,dit,21.490,0,44,2,0.2218,0.8699
10,base,22.109,0,,,0.2218,0.8699
10,null,20.875,0,44,2,0.2218,0.8699
11,base,22.120,0,,,0.2218,0.8688
11,null,25.477,0,44,2,0.2218,0.8688
11,dit,21.224,0,44,2,0.2218,0.8688
